,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS058209EC7---F2-F2R---CM-EN_V,F2-F2R,CM-EN_V,0.46719457013574656,1.0,0.46719457013574656,,0.0,0.0,no,False,Ligand-Receptor,Adhesion by Prothrombin
CPI-SS0D8632EB4---EDN1-EDNRA---CM-EN_V,EDN1-EDNRA,CM-EN_V,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Endothelin
CPI-SS0263EFDDF---JAG2-NOTCH3---CM-EN_V,JAG2-NOTCH3,CM-EN_V,0.1191806331471136,1.0,0.1191806331471136,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0C93E48D7---THBS1-CD36---CM-EN_V,THBS1-CD36,CM-EN_V,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Thrombospondin precursor
CPI-SS0B99F22A2---JAG1-NOTCH3---CM-EN_V,JAG1-NOTCH3,CM-EN_V,0.09438202247191012,1.0,0.09438202247191012,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS096F3E0F2---JAG2-NOTCH4---CM-EN_V,JAG2-NOTCH4,CM-EN_V,0.7387914230019493,1.0,0.7387914230019493,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS08BFFB96E---FLRT3-ADGRL2---CM-EN_V,FLRT3-ADGRL2,CM-EN_V,0.6408977556109725,1.0,0.6408977556109725,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS083BB1EB3---TENM1-ADGRL2---CM-EN_V,TENM1-ADGRL2,CM-EN_V,0.7680722891566265,1.0,0.7680722891566265,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS075F456AF---TENM3-ADGRL2---CM-EN_V,TENM3-ADGRL2,CM-EN_V,0.7117794486215537,1.0,0.7117794486215537,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS021718DBF---TENM2-ADGRL2---CM-EN_V,TENM2-ADGRL2,CM-EN_V,0.7710144927536233,1.0,0.7710144927536233,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS0CCB5F46B---NLGN4Y-NRXN1---CM-EN_V,NLGN4Y-NRXN1,CM-EN_V,0.016129032258064516,1.0,0.016129032258064516,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuroligin
CPI-CS0215886EA---LTC4-byLTC4S-CYSLTR1---CM-EN_V,LTC4-byLTC4S-CYSLTR1,CM-EN_V,0.7968749999999999,1.0,0.7968749999999999,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Lipoxin/Leukotriene
CPI-SS007954822---WNT5A-FRZB---CM-EN_V,WNT5A-FRZB,CM-EN_V,,1.0,,,1.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0C70ADA28---EFNA5-EPHA3---CM-EN_V,EFNA5-EPHA3,CM-EN_V,0.19393939393939394,1.0,0.19393939393939394,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0FC01B947---EFNA5-EPHA4---CM-EN_V,EFNA5-EPHA4,CM-EN_V,0.21653543307086615,1.0,0.21653543307086615,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
