,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS07361522F---PGF-FLT1---CM-SM,PGF-FLT1,CM-SM,0.14918566775244302,1.0,0.14918566775244302,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM-SM,VEGFA-FLT1,CM-SM,0.4264322916666667,0.001,,0.4264322916666667,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0730D1EF3---CNTN1-MCAM---CM-SM,CNTN1-MCAM,CM-SM,0.9247546346782988,1.0,0.9247546346782988,,0.0,0.0,no,False,Adhesion-Adhesion,
CPI-SS007AA9FDE---DLK1-NOTCH3---CM-SM,DLK1-NOTCH3,CM-SM,0.16494845360824742,1.0,0.16494845360824742,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0B70EB09E---PDGFA-PDGFRA---CM-SM,PDGFA-PDGFRA,CM-SM,0.015732546705998034,1.0,0.015732546705998034,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS0F1E79A03---WNT5A-SFRP1---CM-SM,WNT5A-SFRP1,CM-SM,0.16597853014037986,1.0,0.16597853014037986,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS058209EC7---F2-F2R---CM-SM,F2-F2R,CM-SM,0.546242774566474,1.0,0.546242774566474,,0.0,0.0,no,False,Ligand-Receptor,Adhesion by Prothrombin
CPI-SS0B99F22A2---JAG1-NOTCH3---CM-SM,JAG1-NOTCH3,CM-SM,0.10447761194029848,0.001,,0.10447761194029848,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS0C93E48D7---THBS1-CD36---CM-SM,THBS1-CD36,CM-SM,0.18630136986301374,1.0,0.18630136986301374,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Thrombospondin precursor
CPI-SS0D8632EB4---EDN1-EDNRA---CM-SM,EDN1-EDNRA,CM-SM,0.6168958742632613,1.0,0.6168958742632613,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Endothelin
CPI-SS04829AC68---GJA1-GJA1---CM-SM,GJA1-GJA1,CM-SM,0.2515243902439025,0.976,0.2515243902439025,,0.0,0.0,no,False,Gap-Gap,Adhesion by GAP junction
CPI-SS04C672963---ESAM-ESAM---CM-SM,ESAM-ESAM,CM-SM,,1.0,,,1.0,0.0,no,False,Adhesion-Adhesion,
CPI-SS043E22BF5---VEGFA-NRP1---CM-SM,VEGFA-NRP1,CM-SM,0.6108291032148899,0.541,0.6108291032148899,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM-SM,VEGFA-NRP2,CM-SM,0.5194805194805194,0.846,0.5194805194805194,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS01790830C---PGF-NRP1---CM-SM,PGF-NRP1,CM-SM,0.0045523520485584255,1.0,0.0045523520485584255,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS065D9259F---PGF-NRP2---CM-SM,PGF-NRP2,CM-SM,0.002624671916010501,1.0,0.002624671916010501,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-CS0406B0B69---Cholesterol-byLIPA-RORA---CM-SM,Cholesterol-byLIPA-RORA,CM-SM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Cholesterol
CPI-SS087E0E3FB---EFNB2-EPHA4---CM-SM,EFNB2-EPHA4,CM-SM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS05ABE6795---EFNB2-EPHB6---CM-SM,EFNB2-EPHB6,CM-SM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0837E9F59---JAG1-NOTCH4---CM-SM,JAG1-NOTCH4,CM-SM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0A28DCA72---CXCL12-CXCR4---CM-SM,CXCL12-CXCR4,CM-SM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS0D37C7C70---DLK1-NOTCH4---CM-SM,DLK1-NOTCH4,CM-SM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SC0B51DC960---PGF-FLT1-complex---CM-SM,PGF-FLT1-complex,CM-SM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM-SM,VEGFA-FLT1-complex,CM-SM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM-SM,VEGFA-KDR,CM-SM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0263EFDDF---JAG2-NOTCH3---CM-SM,JAG2-NOTCH3,CM-SM,0.7611408199643492,1.0,0.7611408199643492,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0CCB5F46B---NLGN4Y-NRXN1---CM-SM,NLGN4Y-NRXN1,CM-SM,0.01609657947686117,1.0,0.01609657947686117,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS021718DBF---TENM2-ADGRL2---CM-SM,TENM2-ADGRL2,CM-SM,0.43620178041543023,1.0,0.43620178041543023,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS075F456AF---TENM3-ADGRL2---CM-SM,TENM3-ADGRL2,CM-SM,0.5171339563862929,1.0,0.5171339563862929,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS08BFFB96E---FLRT3-ADGRL2---CM-SM,FLRT3-ADGRL2,CM-SM,0.48936170212765967,1.0,0.48936170212765967,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS083BB1EB3---TENM1-ADGRL2---CM-SM,TENM1-ADGRL2,CM-SM,0.6401869158878505,1.0,0.6401869158878505,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS052119104---AREG-EGFR---CM-SM,AREG-EGFR,CM-SM,0.44897959183673464,1.0,0.44897959183673464,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS007954822---WNT5A-FRZB---CM-SM,WNT5A-FRZB,CM-SM,,1.0,,,1.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0E4E83C2E---BDNF-NGFR---CM-SM,BDNF-NGFR,CM-SM,0.4221453287197232,1.0,0.4221453287197232,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Brain-derived neurotrophic factor
CPI-SS0C70ADA28---EFNA5-EPHA3---CM-SM,EFNA5-EPHA3,CM-SM,0.5,1.0,0.5,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0BA601DC4---BDNF-NTRK2---CM-SM,BDNF-NTRK2,CM-SM,0.3933333333333333,1.0,0.3933333333333333,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Brain-derived neurotrophic factor
CPI-SS0E3AA6B7B---NTN4-NTRK2---CM-SM,NTN4-NTRK2,CM-SM,0.4264705882352941,1.0,0.4264705882352941,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Netrin
CPI-SS07361522F---PGF-FLT1---EN_H-SM,PGF-FLT1,EN_H-SM,0.295114006514658,0.001,,0.295114006514658,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---EN_H-SM,VEGFA-FLT1,EN_H-SM,0.275390625,0.224,0.275390625,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0730D1EF3---CNTN1-MCAM---EN_H-SM,CNTN1-MCAM,EN_H-SM,0.9171210468920392,1.0,0.9171210468920392,,0.0,0.0,no,False,Adhesion-Adhesion,
CPI-SS007AA9FDE---DLK1-NOTCH3---EN_H-SM,DLK1-NOTCH3,EN_H-SM,0.19201030927835053,0.001,,0.19201030927835053,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS0B70EB09E---PDGFA-PDGFRA---EN_H-SM,PDGFA-PDGFRA,EN_H-SM,0.3146509341199607,0.016,,0.3146509341199607,1.0,1.7958800173440752,yes,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS0F1E79A03---WNT5A-SFRP1---EN_H-SM,WNT5A-SFRP1,EN_H-SM,0.18744838976052852,1.0,0.18744838976052852,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
