gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EN_H	EN_V	EP	FB_H	FB_V	PR	SM	UN
LIPA	P38571	True	LICH_HUMAN	Cholesterol_byLIPA	CPI-CS0406B0B69	LIPA	0.02	0.866	0.762	0.188	0.757	0.089	0.172	0.261	0.031
PTGIS	Q16647	True	PTGIS_HUMAN	Prostacyclin_byPTGIS	CPI-CS09A35DD21	PTGIS	0.002	0.006	0.004	0.006	0.039	0.123	0.024	0.0	0.0
AKR1C3	P42330	True	AK1C3_HUMAN	ProstaglandinD2_byAKR1C3	CPI-CS0D78DAC70	AKR1C3	0.094	0.008	0.028	0.472	0.026	0.076	0.062	0.069	0.034
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS09DCEBC2B	PTGES	0.002	0.0	0.005	0.0	0.009	0.079	0.017	0.011	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS0F0453B03	PTGES	0.002	0.0	0.005	0.0	0.009	0.079	0.017	0.011	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS080C76630	PTGES	0.002	0.0	0.005	0.0	0.009	0.079	0.017	0.011	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.002	0.0	0.005	0.0	0.009	0.079	0.017	0.011	0.0
AKR1B1	P15121	True	ALDR_HUMAN	ProstaglandinF2a_byAKR1B1	CPI-CS058DED3AA	AKR1B1	0.8	0.334	0.334	0.036	0.374	0.145	0.092	0.203	0.3
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS09463D22E	TPH1	0.0	0.003	0.0	0.0	0.0	0.007	0.001	0.0	0.005
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS0FBE83390	TPH1	0.0	0.003	0.0	0.0	0.0	0.007	0.001	0.0	0.005
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS059692236	TPH1	0.0	0.003	0.0	0.0	0.0	0.007	0.001	0.0	0.005
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS09463D22E	SLC18A2	0.0	0.003	0.0	0.0	0.0	0.007	0.001	0.0	0.005
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS0FBE83390	SLC18A2	0.0	0.003	0.0	0.0	0.0	0.007	0.001	0.0	0.005
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS059692236	SLC18A2	0.0	0.003	0.0	0.0	0.0	0.007	0.001	0.0	0.005
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	LTC4S	0.032	0.002	0.0	0.083	0.012	0.004	0.005	0.017	0.028
TENM2	Q9NT68	True	TEN2_HUMAN	TENM2_FLRT3_complex	CPI-CS049AAD8F5	TENM2	0.006	0.003	0.0	0.0	0.018	0.036	0.015	0.0	0.007
FLRT3	Q9NZU0	True	FLRT3_HUMAN	TENM2_FLRT3_complex	CPI-CS049AAD8F5	FLRT3	0.006	0.003	0.0	0.0	0.018	0.036	0.015	0.0	0.007
FLRT3	Q9NZU0	True	FLRT3_HUMAN	TENM3_FLRT3_complex	CPI-CS0D62B1695	FLRT3	0.006	0.02	0.012	0.0	0.018	0.291	0.031	0.0	0.017
TENM3	Q9P273	True	TEN3_HUMAN	TENM3_FLRT1_complex	CPI-CS059C42E4B	TENM3	0.003	0.0	0.004	0.0	0.0	0.005	0.0	0.0	0.01
TENM3	Q9P273	True	TEN3_HUMAN	TENM3_FLRT3_complex	CPI-CS0D62B1695	TENM3	0.006	0.02	0.012	0.0	0.018	0.291	0.031	0.0	0.017
FLRT1	Q9NZU1	True	FLRT1_HUMAN	TENM3_FLRT1_complex	CPI-CS059C42E4B	FLRT1	0.003	0.0	0.004	0.0	0.0	0.005	0.0	0.0	0.01
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.005	1.574	1.724	0.016	0.061	0.006	0.006	0.0	0.025
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.003	0.001	0.004	0.068	0.053	0.002	0.037	0.029	0.0
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.016	0.024	0.074	0.008	0.017	0.691	0.111	0.0	0.0
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	CEACAM6	0.0	0.0	0.0	0.058	0.0	0.0	0.0	0.0	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.008	0.001	0.0	0.0	0.004	0.067	0.011	0.0	0.0
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.013	0.003	0.0	0.0	0.002	0.024	0.014	0.0	0.025
