id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN	CM|EP	CM|FB	CM|PR	CM|SM	CM|UN	EN|CM	EN|EN	EN|EP	EN|FB	EN|PR	EN|SM	EN|UN	EP|CM	EP|EN	EP|EP	EP|FB	EP|PR	EP|SM	EP|UN	FB|CM	FB|EN	FB|EP	FB|FB	FB|PR	FB|SM	FB|UN	PR|CM	PR|EN	PR|EP	PR|FB	PR|PR	PR|SM	PR|UN	SM|CM	SM|EN	SM|EP	SM|FB	SM|PR	SM|SM	SM|UN	UN|CM	UN|EN	UN|EP	UN|FB	UN|PR	UN|SM	UN|UN
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.005	0.809	0.01	0.033	0.005	0.0	0.015	0.809	1.614	0.815	0.837	0.81	0.0	0.819	0.01	0.815	0.016	0.039	0.011	0.0	0.021	0.033	0.837	0.039	0.061	0.034	0.0	0.043	0.005	0.81	0.011	0.034	0.006	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.819	0.021	0.043	0.016	0.0	0.025
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.003	0.002	0.036	0.028	0.009	0.016	0.0	0.002	0.002	0.035	0.027	0.008	0.015	0.0	0.036	0.035	0.068	0.061	0.041	0.049	0.0	0.028	0.027	0.061	0.053	0.034	0.041	0.0	0.009	0.008	0.041	0.034	0.014	0.022	0.0	0.016	0.015	0.049	0.041	0.022	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.016	0.027	0.012	0.016	0.251	0.0	0.0	0.027	0.037	0.022	0.027	0.261	0.0	0.0	0.012	0.022	0.008	0.012	0.247	0.0	0.0	0.016	0.027	0.012	0.017	0.251	0.0	0.0	0.251	0.261	0.247	0.251	0.486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.007	0.005	0.009	0.009	0.016	0.015	0.012	0.004	0.001	0.005	0.005	0.012	0.011	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.003	0.007	0.007	0.014	0.013	0.011	0.027	0.024	0.028	0.028	0.035	0.034	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.01	0.008	0.011	0.011	0.018	0.017	0.015	0.004	0.002	0.006	0.006	0.013	0.011	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.002	0.006	0.005	0.012	0.011	0.009	0.013	0.011	0.015	0.015	0.022	0.021	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.013	0.017	0.017	0.024	0.023	0.021
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.006	0.004	0.008	0.008	0.015	0.014	0.011	0.005	0.003	0.007	0.006	0.014	0.012	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.013	0.017	0.016	0.023	0.022	0.02	0.034	0.032	0.036	0.035	0.042	0.041	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.005	0.009	0.008	0.016	0.014	0.012
CPI-SS0837C7966	NLGN4Y_NRXN3	simple:Q8NFZ3	simple:Q9HDB5	NLGN4Y	NRXN3	False	False	False	curated	False	Ligand-Receptor		0.015	0.013	0.017	0.017	0.024	0.023	0.021	0.08	0.078	0.081	0.081	0.088	0.087	0.085	0.007	0.005	0.009	0.008	0.016	0.014	0.012	0.034	0.032	0.036	0.036	0.043	0.042	0.039	0.077	0.075	0.078	0.078	0.085	0.084	0.082	0.056	0.054	0.058	0.057	0.064	0.063	0.061	0.007	0.005	0.009	0.009	0.016	0.015	0.013
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.37	0.849	0.205	0.467	0.248	0.278	0.255	0.849	1.329	0.685	0.946	0.727	0.758	0.735	0.205	0.685	0.041	0.302	0.084	0.114	0.091	0.467	0.946	0.302	0.564	0.345	0.375	0.352	0.248	0.727	0.084	0.345	0.126	0.157	0.134	0.278	0.758	0.114	0.375	0.157	0.187	0.164	0.255	0.735	0.091	0.352	0.134	0.164	0.141
CPI-SS058209EC7	F2_F2R	simple:P00734	simple:P25116	F2	F2R	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.022	0.433	0.019	0.453	0.172	0.567	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.494	0.905	0.49	0.925	0.644	1.038	0.504	0.023	0.434	0.019	0.454	0.172	0.567	0.033	0.022	0.433	0.018	0.453	0.171	0.566	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
