,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS07361522F---PGF-FLT1---CM-EN_H,PGF-FLT1,CM-EN_H,0.782126168224299,1.0,0.782126168224299,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM-EN_H,VEGFA-FLT1,CM-EN_H,0.9148832684824904,0.001,,0.9148832684824904,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0FC612D4D---DLK1-NOTCH1---CM-EN_H,DLK1-NOTCH1,CM-EN_H,0.05128205128205128,1.0,0.05128205128205128,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS036B08188---PLAU-PLAUR---CM-EN_H,PLAU-PLAUR,CM-EN_H,0.2025641025641026,1.0,0.2025641025641026,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Plasminogen Activator
CPI-SS0AFCA0602---DLL4-NOTCH1---CM-EN_H,DLL4-NOTCH1,CM-EN_H,0.4604904632152589,1.0,0.4604904632152589,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS052ADA696---JAG1-NOTCH1---CM-EN_H,JAG1-NOTCH1,CM-EN_H,0.22794117647058823,0.001,,0.22794117647058823,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-CS0406B0B69---Cholesterol-byLIPA-RORA---CM-EN_H,Cholesterol-byLIPA-RORA,CM-EN_H,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Cholesterol
CPI-SS087E0E3FB---EFNB2-EPHA4---CM-EN_H,EFNB2-EPHA4,CM-EN_H,0.041666666666666664,1.0,0.041666666666666664,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0B70EB09E---PDGFA-PDGFRA---CM-EN_H,PDGFA-PDGFRA,CM-EN_H,0.018679950186799504,1.0,0.018679950186799504,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS015B29D3F---APOA1-ABCA1---CM-EN_H,APOA1-ABCA1,CM-EN_H,0.10375670840787121,0.016,,0.10375670840787121,1.0,1.7958800173440752,yes,False,Ligand-Receptor,Signaling by Apolipoprotein
CPI-SS0BDC2B411---F2-F2RL3---CM-EN_H,F2-F2RL3,CM-EN_H,0.1595959595959596,1.0,0.1595959595959596,,0.0,0.0,no,False,Ligand-Receptor,Adhesion by Prothrombin
CPI-SS09B583B3F---F2-THBD---CM-EN_H,F2-THBD,CM-EN_H,0.2961082910321489,1.0,0.2961082910321489,,0.0,0.0,no,False,Ligand-Receptor,Adhesion by Prothrombin
