,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS086CB298F---APLN-APLNR---CM-EN_V,APLN-APLNR,CM-EN_V,0.08095238095238096,1.0,0.08095238095238096,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Apelin
CPI-SS0B70EB09E---PDGFA-PDGFRA---CM-EN_V,PDGFA-PDGFRA,CM-EN_V,0.022522522522522525,1.0,0.022522522522522525,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS087E0E3FB---EFNB2-EPHA4---CM-EN_V,EFNB2-EPHA4,CM-EN_V,0.043373493975903614,1.0,0.043373493975903614,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS05ABE6795---EFNB2-EPHB6---CM-EN_V,EFNB2-EPHB6,CM-EN_V,0.042821158690176324,1.0,0.042821158690176324,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS03F33B34C---WNT5A-SFRP2---CM-EN_V,WNT5A-SFRP2,CM-EN_V,,1.0,,,1.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0D8632EB4---EDN1-EDNRA---CM-EN_V,EDN1-EDNRA,CM-EN_V,0.06766917293233082,1.0,0.06766917293233082,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Endothelin
CPI-SS0CCB5F46B---NLGN4Y-NRXN1---CM-EN_V,NLGN4Y-NRXN1,CM-EN_V,0.02857142857142856,1.0,0.02857142857142856,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS007954822---WNT5A-FRZB---CM-EN_V,WNT5A-FRZB,CM-EN_V,0.03780068728522335,1.0,0.03780068728522335,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0B99F22A2---JAG1-NOTCH3---CM-EN_V,JAG1-NOTCH3,CM-EN_V,0.1577608142493639,1.0,0.1577608142493639,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0C93E48D7---THBS1-CD36---CM-EN_V,THBS1-CD36,CM-EN_V,0.021739130434782608,1.0,0.021739130434782608,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Thrombospondin precursor
CPI-SS0263EFDDF---JAG2-NOTCH3---CM-EN_V,JAG2-NOTCH3,CM-EN_V,0.05995203836930455,1.0,0.05995203836930455,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0A28DCA72---CXCL12-CXCR4---CM-EN_V,CXCL12-CXCR4,CM-EN_V,0.7975077881619937,0.001,,0.7975077881619937,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS034083FFA---SEMA3A-NRP1---CM-EN_V,SEMA3A-NRP1,CM-EN_V,0.996219281663516,0.001,,0.996219281663516,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS08BFFB96E---FLRT3-ADGRL2---CM-EN_V,FLRT3-ADGRL2,CM-EN_V,0.717607973421927,1.0,0.717607973421927,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS021718DBF---TENM2-ADGRL2---CM-EN_V,TENM2-ADGRL2,CM-EN_V,0.7708333333333333,1.0,0.7708333333333333,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS0837E9F59---JAG1-NOTCH4---CM-EN_V,JAG1-NOTCH4,CM-EN_V,0.4840294840294841,0.001,,0.4840294840294841,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS096F3E0F2---JAG2-NOTCH4---CM-EN_V,JAG2-NOTCH4,CM-EN_V,0.49635036496350354,1.0,0.49635036496350354,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0730D1EF3---CNTN1-MCAM---CM-EN_V,CNTN1-MCAM,CM-EN_V,0.8761755485893418,1.0,0.8761755485893418,,0.0,0.0,no,False,Adhesion-Adhesion,
CPI-SS058209EC7---F2-F2R---CM-EN_V,F2-F2R,CM-EN_V,0.376311844077961,1.0,0.376311844077961,,0.0,0.0,no,False,Ligand-Receptor,Adhesion by Prothrombin
CPI-SS083BB1EB3---TENM1-ADGRL2---CM-EN_V,TENM1-ADGRL2,CM-EN_V,0.7253731343283581,1.0,0.7253731343283581,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS075F456AF---TENM3-ADGRL2---CM-EN_V,TENM3-ADGRL2,CM-EN_V,0.8036253776435045,1.0,0.8036253776435045,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-CS0406B0B69---Cholesterol-byLIPA-RORA---CM-EN_V,Cholesterol-byLIPA-RORA,CM-EN_V,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Cholesterol
CPI-SS0F1E79A03---WNT5A-SFRP1---CM-EN_V,WNT5A-SFRP1,CM-EN_V,0.009587727708533061,1.0,0.009587727708533061,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS07361522F---PGF-FLT1---CM-EN_V,PGF-FLT1,CM-EN_V,0.5847797062750333,1.0,0.5847797062750333,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM-EN_V,VEGFA-FLT1,CM-EN_V,0.9046587215601299,0.001,,0.9046587215601299,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0B51DC960---PGF-FLT1-complex---CM-EN_V,PGF-FLT1-complex,CM-EN_V,0.5082159624413144,1.0,0.5082159624413144,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS04829AC68---GJA1-GJA1---CM-EN_V,GJA1-GJA1,CM-EN_V,0.13714285714285704,0.001,,0.13714285714285704,1.0,3.0,yes,False,Gap-Gap,Adhesion by GAP junction
CPI-SS01790830C---PGF-NRP1---CM-EN_V,PGF-NRP1,CM-EN_V,0.111531190926276,1.0,0.111531190926276,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS065D9259F---PGF-NRP2---CM-EN_V,PGF-NRP2,CM-EN_V,0.14820359281437126,1.0,0.14820359281437126,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS00C24ED50---CDH5-CDH5---CM-EN_V,CDH5-CDH5,CM-EN_V,0.5016479894528676,1.0,0.5016479894528676,,0.0,0.0,no,False,Adhesion-Adhesion,Adhesion by Cadherin
CPI-SS04C672963---ESAM-ESAM---CM-EN_V,ESAM-ESAM,CM-EN_V,,1.0,,,1.0,0.0,no,False,Adhesion-Adhesion,
CPI-SS0D37C7C70---DLK1-NOTCH4---CM-EN_V,DLK1-NOTCH4,CM-EN_V,0.17202797202797204,1.0,0.17202797202797204,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM-EN_V,VEGFA-FLT1-complex,CM-EN_V,0.8745545260156807,0.001,,0.8745545260156807,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM-EN_V,VEGFA-KDR,CM-EN_V,0.8745545260156807,0.001,,0.8745545260156807,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS043E22BF5---VEGFA-NRP1---CM-EN_V,VEGFA-NRP1,CM-EN_V,0.8287937743190661,0.001,,0.8287937743190661,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM-EN_V,VEGFA-NRP2,CM-EN_V,0.8361423220973783,0.001,,0.8361423220973783,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS086CB298F---APLN-APLNR---EN_H-EN_V,APLN-APLNR,EN_H-EN_V,0.7726190476190476,0.001,,0.7726190476190476,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Apelin
CPI-SS0B70EB09E---PDGFA-PDGFRA---EN_H-EN_V,PDGFA-PDGFRA,EN_H-EN_V,0.42042042042042044,0.001,,0.42042042042042044,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS087E0E3FB---EFNB2-EPHA4---EN_H-EN_V,EFNB2-EPHA4,EN_H-EN_V,0.6578313253012048,1.0,0.6578313253012048,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS05ABE6795---EFNB2-EPHB6---EN_H-EN_V,EFNB2-EPHB6,EN_H-EN_V,0.6876574307304786,1.0,0.6876574307304786,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS03F33B34C---WNT5A-SFRP2---EN_H-EN_V,WNT5A-SFRP2,EN_H-EN_V,,1.0,,,1.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0D8632EB4---EDN1-EDNRA---EN_H-EN_V,EDN1-EDNRA,EN_H-EN_V,0.09774436090225563,1.0,0.09774436090225563,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Endothelin
CPI-SS0CCB5F46B---NLGN4Y-NRXN1---EN_H-EN_V,NLGN4Y-NRXN1,EN_H-EN_V,0.1485714285714286,1.0,0.1485714285714286,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS007954822---WNT5A-FRZB---EN_H-EN_V,WNT5A-FRZB,EN_H-EN_V,0.04810996563573882,1.0,0.04810996563573882,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0B99F22A2---JAG1-NOTCH3---EN_H-EN_V,JAG1-NOTCH3,EN_H-EN_V,0.4223918575063613,1.0,0.4223918575063613,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
