,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS0FC612D4D---DLK1-NOTCH1---CM-FB_H,DLK1-NOTCH1,CM-FB_H,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0B9B3870A---VEGFA-FLT1---CM-FB_H,VEGFA-FLT1,CM-FB_H,0.22439281942977826,0.001,,0.22439281942977826,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM-FB_H,VEGFA-FLT1-complex,CM-FB_H,0.309315866084425,0.12,0.309315866084425,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM-FB_H,VEGFA-KDR,CM-FB_H,0.309315866084425,0.908,0.309315866084425,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS043E22BF5---VEGFA-NRP1---CM-FB_H,VEGFA-NRP1,CM-FB_H,0.44537815126050423,0.001,,0.44537815126050423,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM-FB_H,VEGFA-NRP2,CM-FB_H,0.3475409836065574,0.96,0.3475409836065574,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS04829AC68---GJA1-GJA1---CM-FB_H,GJA1-GJA1,CM-FB_H,0.13714285714285718,0.001,,0.13714285714285718,1.0,3.0,yes,False,Gap-Gap,Adhesion by GAP junction
CPI-SS07361522F---PGF-FLT1---CM-FB_H,PGF-FLT1,CM-FB_H,0.10881174899866487,1.0,0.10881174899866487,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS015B29D3F---APOA1-ABCA1---CM-FB_H,APOA1-ABCA1,CM-FB_H,0.1833740831295844,0.001,,0.1833740831295844,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Apolipoprotein
CPI-SS0D8632EB4---EDN1-EDNRA---CM-FB_H,EDN1-EDNRA,CM-FB_H,0.1383855024711697,1.0,0.1383855024711697,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Endothelin
CPI-SS0A28DCA72---CXCL12-CXCR4---CM-FB_H,CXCL12-CXCR4,CM-FB_H,0.1726457399103139,0.001,,0.1726457399103139,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS052119104---AREG-EGFR---CM-FB_H,AREG-EGFR,CM-FB_H,0.3919491525423729,1.0,0.3919491525423729,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS0AFCA0602---DLL4-NOTCH1---CM-FB_H,DLL4-NOTCH1,CM-FB_H,0.31010452961672474,1.0,0.31010452961672474,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0C93E48D7---THBS1-CD36---CM-FB_H,THBS1-CD36,CM-FB_H,0.028301886792452834,1.0,0.028301886792452834,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Thrombospondin precursor
