,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS0F1E79A03---WNT5A-SFRP1---CM-FB_V,WNT5A-SFRP1,CM-FB_V,0.9146459747817653,1.0,0.9146459747817653,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS046F8AD8B---VEGFA-NRP2---CM-FB_V,VEGFA-NRP2,CM-FB_V,0.8397435897435899,0.001,,0.8397435897435899,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS065D9259F---PGF-NRP2---CM-FB_V,PGF-NRP2,CM-FB_V,0.5596221959858323,1.0,0.5596221959858323,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0B70EB09E---PDGFA-PDGFRA---CM-FB_V,PDGFA-PDGFRA,CM-FB_V,0.5551801801801801,1.0,0.5551801801801801,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS007AA9FDE---DLK1-NOTCH3---CM-FB_V,DLK1-NOTCH3,CM-FB_V,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0D37C7C70---DLK1-NOTCH4---CM-FB_V,DLK1-NOTCH4,CM-FB_V,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0D8632EB4---EDN1-EDNRA---CM-FB_V,EDN1-EDNRA,CM-FB_V,0.8770642201834862,1.0,0.8770642201834862,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Endothelin
CPI-SS058209EC7---F2-F2R---CM-FB_V,F2-F2R,CM-FB_V,0.27574171029668415,1.0,0.27574171029668415,,0.0,0.0,no,False,Ligand-Receptor,Adhesion by Prothrombin
CPI-SS052119104---AREG-EGFR---CM-FB_V,AREG-EGFR,CM-FB_V,0.46455223880597013,1.0,0.46455223880597013,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-CS0406B0B69---Cholesterol-byLIPA-RORA---CM-FB_V,Cholesterol-byLIPA-RORA,CM-FB_V,0.011299435028248596,1.0,0.011299435028248596,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Cholesterol
CPI-SS0CCB5F46B---NLGN4Y-NRXN1---CM-FB_V,NLGN4Y-NRXN1,CM-FB_V,0.6531986531986532,1.0,0.6531986531986532,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS087E0E3FB---EFNB2-EPHA4---CM-FB_V,EFNB2-EPHA4,CM-FB_V,0.04282115869017629,1.0,0.04282115869017629,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS05ABE6795---EFNB2-EPHB6---CM-FB_V,EFNB2-EPHB6,CM-FB_V,0.042821158690176324,1.0,0.042821158690176324,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS08BFFB96E---FLRT3-ADGRL2---CM-FB_V,FLRT3-ADGRL2,CM-FB_V,0.6942446043165467,1.0,0.6942446043165467,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS021718DBF---TENM2-ADGRL2---CM-FB_V,TENM2-ADGRL2,CM-FB_V,0.7950310559006211,1.0,0.7950310559006211,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS083BB1EB3---TENM1-ADGRL2---CM-FB_V,TENM1-ADGRL2,CM-FB_V,0.7275064267352184,1.0,0.7275064267352184,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS075F456AF---TENM3-ADGRL2---CM-FB_V,TENM3-ADGRL2,CM-FB_V,0.7927461139896372,1.0,0.7927461139896372,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS0837E9F59---JAG1-NOTCH4---CM-FB_V,JAG1-NOTCH4,CM-FB_V,0.16062176165803108,1.0,0.16062176165803108,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0B99F22A2---JAG1-NOTCH3---CM-FB_V,JAG1-NOTCH3,CM-FB_V,0.20945945945945946,0.001,,0.20945945945945946,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS007954822---WNT5A-FRZB---CM-FB_V,WNT5A-FRZB,CM-FB_V,0.23826714801444038,1.0,0.23826714801444038,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0BE3D537D---CDH7-CDH7---CM-FB_V,CDH7-CDH7,CM-FB_V,0.01704545454545456,1.0,0.01704545454545456,,0.0,0.0,no,False,Adhesion-Adhesion,Adhesion by Cadherin
CPI-SS0FC01B947---EFNA5-EPHA4---CM-FB_V,EFNA5-EPHA4,CM-FB_V,0.4025157232704403,1.0,0.4025157232704403,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0C93E48D7---THBS1-CD36---CM-FB_V,THBS1-CD36,CM-FB_V,0.029605263157894742,1.0,0.029605263157894742,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Thrombospondin precursor
CPI-SS0BA601DC4---BDNF-NTRK2---CM-FB_V,BDNF-NTRK2,CM-FB_V,0.4199134199134199,1.0,0.4199134199134199,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Brain-derived neurotrophic factor
CPI-SS0E4E83C2E---BDNF-NGFR---CM-FB_V,BDNF-NGFR,CM-FB_V,0.11304347826086955,1.0,0.11304347826086955,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Brain-derived neurotrophic factor
CPI-SS0C70ADA28---EFNA5-EPHA3---CM-FB_V,EFNA5-EPHA3,CM-FB_V,0.06504065040650406,1.0,0.06504065040650406,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0263EFDDF---JAG2-NOTCH3---CM-FB_V,JAG2-NOTCH3,CM-FB_V,0.4361702127659575,1.0,0.4361702127659575,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS03F33B34C---WNT5A-SFRP2---CM-FB_V,WNT5A-SFRP2,CM-FB_V,0.5849056603773585,1.0,0.5849056603773585,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS04829AC68---GJA1-GJA1---CM-FB_V,GJA1-GJA1,CM-FB_V,0.13714285714285712,1.0,0.13714285714285712,,0.0,0.0,no,False,Gap-Gap,Adhesion by GAP junction
CPI-SS01790830C---PGF-NRP1---CM-FB_V,PGF-NRP1,CM-FB_V,0.13043478260869565,1.0,0.13043478260869565,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0730D1EF3---CNTN1-MCAM---CM-FB_V,CNTN1-MCAM,CM-FB_V,0.11966987620357633,1.0,0.11966987620357633,,0.0,0.0,no,False,Adhesion-Adhesion,
CPI-SS0A28DCA72---CXCL12-CXCR4---CM-FB_V,CXCL12-CXCR4,CM-FB_V,0.11197511664074651,1.0,0.11197511664074651,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS034083FFA---SEMA3A-NRP1---CM-FB_V,SEMA3A-NRP1,CM-FB_V,0.2272727272727273,0.98,0.2272727272727273,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS07361522F---PGF-FLT1---CM-FB_V,PGF-FLT1,CM-FB_V,0.029372496662216287,1.0,0.029372496662216287,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM-FB_V,VEGFA-FLT1,CM-FB_V,0.3246492985971944,0.001,,0.3246492985971944,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS043E22BF5---VEGFA-NRP1---CM-FB_V,VEGFA-NRP1,CM-FB_V,0.7448979591836735,0.28,0.7448979591836735,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM-FB_V,VEGFA-FLT1-complex,CM-FB_V,0.5105633802816902,1.0,0.5105633802816902,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM-FB_V,VEGFA-KDR,CM-FB_V,0.5105633802816902,1.0,0.5105633802816902,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0F1E79A03---WNT5A-SFRP1---EN_H-FB_V,WNT5A-SFRP1,EN_H-FB_V,0.9175557710960234,1.0,0.9175557710960234,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS046F8AD8B---VEGFA-NRP2---EN_H-FB_V,VEGFA-NRP2,EN_H-FB_V,0.4890109890109891,0.032,,0.4890109890109891,1.0,1.494850021680094,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS065D9259F---PGF-NRP2---EN_H-FB_V,PGF-NRP2,EN_H-FB_V,0.7473435655253837,0.001,,0.7473435655253837,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0B70EB09E---PDGFA-PDGFRA---EN_H-FB_V,PDGFA-PDGFRA,EN_H-FB_V,0.8536036036036037,0.001,,0.8536036036036037,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS007AA9FDE---DLK1-NOTCH3---EN_H-FB_V,DLK1-NOTCH3,EN_H-FB_V,0.07939189189189189,0.001,,0.07939189189189189,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS0D37C7C70---DLK1-NOTCH4---EN_H-FB_V,DLK1-NOTCH4,EN_H-FB_V,0.0793918918918919,1.0,0.0793918918918919,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0D8632EB4---EDN1-EDNRA---EN_H-FB_V,EDN1-EDNRA,EN_H-FB_V,0.9137614678899082,1.0,0.9137614678899082,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Endothelin
CPI-SS058209EC7---F2-F2R---EN_H-FB_V,F2-F2R,EN_H-FB_V,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Adhesion by Prothrombin
CPI-SS052119104---AREG-EGFR---EN_H-FB_V,AREG-EGFR,EN_H-FB_V,0.5764925373134328,0.001,,0.5764925373134328,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-CS0406B0B69---Cholesterol-byLIPA-RORA---EN_H-FB_V,Cholesterol-byLIPA-RORA,EN_H-FB_V,0.7099811676082862,0.001,,0.7099811676082862,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Cholesterol
CPI-SS0CCB5F46B---NLGN4Y-NRXN1---EN_H-FB_V,NLGN4Y-NRXN1,EN_H-FB_V,0.7912457912457912,0.001,,0.7912457912457912,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS087E0E3FB---EFNB2-EPHA4---EN_H-FB_V,EFNB2-EPHA4,EN_H-FB_V,0.6876574307304786,0.001,,0.6876574307304786,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS05ABE6795---EFNB2-EPHB6---EN_H-FB_V,EFNB2-EPHB6,EN_H-FB_V,0.6876574307304786,1.0,0.6876574307304786,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS08BFFB96E---FLRT3-ADGRL2---EN_H-FB_V,FLRT3-ADGRL2,EN_H-FB_V,0.6942446043165467,1.0,0.6942446043165467,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS021718DBF---TENM2-ADGRL2---EN_H-FB_V,TENM2-ADGRL2,EN_H-FB_V,0.7701863354037266,1.0,0.7701863354037266,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS083BB1EB3---TENM1-ADGRL2---EN_H-FB_V,TENM1-ADGRL2,EN_H-FB_V,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS075F456AF---TENM3-ADGRL2---EN_H-FB_V,TENM3-ADGRL2,EN_H-FB_V,0.733160621761658,1.0,0.733160621761658,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS0837E9F59---JAG1-NOTCH4---EN_H-FB_V,JAG1-NOTCH4,EN_H-FB_V,0.4300518134715027,1.0,0.4300518134715027,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0B99F22A2---JAG1-NOTCH3---EN_H-FB_V,JAG1-NOTCH3,EN_H-FB_V,0.5608108108108107,0.001,,0.5608108108108107,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS007954822---WNT5A-FRZB---EN_H-FB_V,WNT5A-FRZB,EN_H-FB_V,0.24909747292418769,1.0,0.24909747292418769,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0BE3D537D---CDH7-CDH7---EN_H-FB_V,CDH7-CDH7,EN_H-FB_V,0.02272727272727275,1.0,0.02272727272727275,,0.0,0.0,no,False,Adhesion-Adhesion,Adhesion by Cadherin
CPI-SS0FC01B947---EFNA5-EPHA4---EN_H-FB_V,EFNA5-EPHA4,EN_H-FB_V,0.44025157232704404,1.0,0.44025157232704404,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0C93E48D7---THBS1-CD36---EN_H-FB_V,THBS1-CD36,EN_H-FB_V,0.3421052631578948,1.0,0.3421052631578948,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Thrombospondin precursor
CPI-SS0BA601DC4---BDNF-NTRK2---EN_H-FB_V,BDNF-NTRK2,EN_H-FB_V,0.4329004329004329,1.0,0.4329004329004329,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Brain-derived neurotrophic factor
CPI-SS0E4E83C2E---BDNF-NGFR---EN_H-FB_V,BDNF-NGFR,EN_H-FB_V,0.1217391304347826,1.0,0.1217391304347826,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Brain-derived neurotrophic factor
CPI-SS0C70ADA28---EFNA5-EPHA3---EN_H-FB_V,EFNA5-EPHA3,EN_H-FB_V,0.10569105691056907,1.0,0.10569105691056907,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0263EFDDF---JAG2-NOTCH3---EN_H-FB_V,JAG2-NOTCH3,EN_H-FB_V,0.7588652482269505,0.001,,0.7588652482269505,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS03F33B34C---WNT5A-SFRP2---EN_H-FB_V,WNT5A-SFRP2,EN_H-FB_V,0.5943396226415094,1.0,0.5943396226415094,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS04829AC68---GJA1-GJA1---EN_H-FB_V,GJA1-GJA1,EN_H-FB_V,1.0,0.001,,1.0,1.0,3.0,yes,False,Gap-Gap,Adhesion by GAP junction
CPI-SS01790830C---PGF-NRP1---EN_H-FB_V,PGF-NRP1,EN_H-FB_V,0.43100189035916825,0.001,,0.43100189035916825,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0730D1EF3---CNTN1-MCAM---EN_H-FB_V,CNTN1-MCAM,EN_H-FB_V,,1.0,,,1.0,0.0,no,False,Adhesion-Adhesion,
CPI-SS0A28DCA72---CXCL12-CXCR4---EN_H-FB_V,CXCL12-CXCR4,EN_H-FB_V,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS034083FFA---SEMA3A-NRP1---EN_H-FB_V,SEMA3A-NRP1,EN_H-FB_V,0.03977272727272731,1.0,0.03977272727272731,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS07361522F---PGF-FLT1---EN_H-FB_V,PGF-FLT1,EN_H-FB_V,0.1355140186915888,0.001,,0.1355140186915888,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---EN_H-FB_V,VEGFA-FLT1,EN_H-FB_V,0.06947227788911156,1.0,0.06947227788911156,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS043E22BF5---VEGFA-NRP1---EN_H-FB_V,VEGFA-NRP1,EN_H-FB_V,0.1880466472303207,1.0,0.1880466472303207,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---EN_H-FB_V,VEGFA-FLT1-complex,EN_H-FB_V,0.06220657276995304,1.0,0.06220657276995304,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---EN_H-FB_V,VEGFA-KDR,EN_H-FB_V,0.06220657276995304,1.0,0.06220657276995304,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0F1E79A03---WNT5A-SFRP1---EN_V-FB_V,WNT5A-SFRP1,EN_V-FB_V,0.9398642095053347,0.001,,0.9398642095053347,1.0,3.0,yes,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS046F8AD8B---VEGFA-NRP2---EN_V-FB_V,VEGFA-NRP2,EN_V-FB_V,0.4532967032967034,0.404,0.4532967032967034,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS065D9259F---PGF-NRP2---EN_V-FB_V,PGF-NRP2,EN_V-FB_V,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0B70EB09E---PDGFA-PDGFRA---EN_V-FB_V,PDGFA-PDGFRA,EN_V-FB_V,0.7364864864864865,0.001,,0.7364864864864865,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS007AA9FDE---DLK1-NOTCH3---EN_V-FB_V,DLK1-NOTCH3,EN_V-FB_V,0.023648648648648643,1.0,0.023648648648648643,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0D37C7C70---DLK1-NOTCH4---EN_V-FB_V,DLK1-NOTCH4,EN_V-FB_V,0.023648648648648643,1.0,0.023648648648648643,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0D8632EB4---EDN1-EDNRA---EN_V-FB_V,EDN1-EDNRA,EN_V-FB_V,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Endothelin
CPI-SS058209EC7---F2-F2R---EN_V-FB_V,F2-F2R,EN_V-FB_V,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Adhesion by Prothrombin
CPI-SS052119104---AREG-EGFR---EN_V-FB_V,AREG-EGFR,EN_V-FB_V,0.4123134328358209,1.0,0.4123134328358209,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-CS0406B0B69---Cholesterol-byLIPA-RORA---EN_V-FB_V,Cholesterol-byLIPA-RORA,EN_V-FB_V,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Cholesterol
CPI-SS0CCB5F46B---NLGN4Y-NRXN1---EN_V-FB_V,NLGN4Y-NRXN1,EN_V-FB_V,0.8215488215488216,0.001,,0.8215488215488216,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS087E0E3FB---EFNB2-EPHA4---EN_V-FB_V,EFNB2-EPHA4,EN_V-FB_V,0.6675062972292192,0.001,,0.6675062972292192,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS05ABE6795---EFNB2-EPHB6---EN_V-FB_V,EFNB2-EPHB6,EN_V-FB_V,0.6675062972292192,1.0,0.6675062972292192,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS08BFFB96E---FLRT3-ADGRL2---EN_V-FB_V,FLRT3-ADGRL2,EN_V-FB_V,0.6906474820143883,1.0,0.6906474820143883,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS021718DBF---TENM2-ADGRL2---EN_V-FB_V,TENM2-ADGRL2,EN_V-FB_V,0.7763975155279502,1.0,0.7763975155279502,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS083BB1EB3---TENM1-ADGRL2---EN_V-FB_V,TENM1-ADGRL2,EN_V-FB_V,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS075F456AF---TENM3-ADGRL2---EN_V-FB_V,TENM3-ADGRL2,EN_V-FB_V,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS0837E9F59---JAG1-NOTCH4---EN_V-FB_V,JAG1-NOTCH4,EN_V-FB_V,0.36010362694300524,1.0,0.36010362694300524,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0B99F22A2---JAG1-NOTCH3---EN_V-FB_V,JAG1-NOTCH3,EN_V-FB_V,0.4695945945945947,0.001,,0.4695945945945947,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS007954822---WNT5A-FRZB---EN_V-FB_V,WNT5A-FRZB,EN_V-FB_V,0.33574007220216606,0.004,,0.33574007220216606,1.0,2.3979400086720375,yes,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0BE3D537D---CDH7-CDH7---EN_V-FB_V,CDH7-CDH7,EN_V-FB_V,0.05681818181818187,1.0,0.05681818181818187,,0.0,0.0,no,False,Adhesion-Adhesion,Adhesion by Cadherin
CPI-SS0FC01B947---EFNA5-EPHA4---EN_V-FB_V,EFNA5-EPHA4,EN_V-FB_V,0.44025157232704404,1.0,0.44025157232704404,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0C93E48D7---THBS1-CD36---EN_V-FB_V,THBS1-CD36,EN_V-FB_V,0.6776315789473684,1.0,0.6776315789473684,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Thrombospondin precursor
CPI-SS0BA601DC4---BDNF-NTRK2---EN_V-FB_V,BDNF-NTRK2,EN_V-FB_V,0.5064935064935066,1.0,0.5064935064935066,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Brain-derived neurotrophic factor
CPI-SS0E4E83C2E---BDNF-NGFR---EN_V-FB_V,BDNF-NGFR,EN_V-FB_V,0.19999999999999998,1.0,0.19999999999999998,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Brain-derived neurotrophic factor
CPI-SS0C70ADA28---EFNA5-EPHA3---EN_V-FB_V,EFNA5-EPHA3,EN_V-FB_V,0.10569105691056907,1.0,0.10569105691056907,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0263EFDDF---JAG2-NOTCH3---EN_V-FB_V,JAG2-NOTCH3,EN_V-FB_V,0.9255319148936172,0.001,,0.9255319148936172,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS03F33B34C---WNT5A-SFRP2---EN_V-FB_V,WNT5A-SFRP2,EN_V-FB_V,0.7075471698113207,0.001,,0.7075471698113207,1.0,3.0,yes,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS04829AC68---GJA1-GJA1---EN_V-FB_V,GJA1-GJA1,EN_V-FB_V,0.9466666666666667,0.001,,0.9466666666666667,1.0,3.0,yes,False,Gap-Gap,Adhesion by GAP junction
CPI-SS01790830C---PGF-NRP1---EN_V-FB_V,PGF-NRP1,EN_V-FB_V,0.8336483931947071,0.001,,0.8336483931947071,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0730D1EF3---CNTN1-MCAM---EN_V-FB_V,CNTN1-MCAM,EN_V-FB_V,,1.0,,,1.0,0.0,no,False,Adhesion-Adhesion,
CPI-SS0A28DCA72---CXCL12-CXCR4---EN_V-FB_V,CXCL12-CXCR4,EN_V-FB_V,0.010886469673405908,1.0,0.010886469673405908,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS034083FFA---SEMA3A-NRP1---EN_V-FB_V,SEMA3A-NRP1,EN_V-FB_V,0.04545454545454544,1.0,0.04545454545454544,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Semaphorin
