,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS015B29D3F---APOA1-ABCA1---CM-PR,APOA1-ABCA1,CM-PR,0.11180124223602485,0.001,,0.11180124223602485,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Apolipoprotein
CPI-SS07361522F---PGF-FLT1---CM-PR,PGF-FLT1,CM-PR,0.0248790601243953,1.0,0.0248790601243953,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SC0B51DC960---PGF-FLT1-complex---CM-PR,PGF-FLT1-complex,CM-PR,0.008403361344537816,1.0,0.008403361344537816,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS04C672963---ESAM-ESAM---CM-PR,ESAM-ESAM,CM-PR,,1.0,,,1.0,0.0,no,False,Adhesion-Adhesion,
CPI-SS065D9259F---PGF-NRP2---CM-PR,PGF-NRP2,CM-PR,0.3136942675159235,1.0,0.3136942675159235,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0B70EB09E---PDGFA-PDGFRA---CM-PR,PDGFA-PDGFRA,CM-PR,0.5040816326530613,1.0,0.5040816326530613,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS052119104---AREG-EGFR---CM-PR,AREG-EGFR,CM-PR,0.4405458089668616,1.0,0.4405458089668616,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS0AFCA0602---DLL4-NOTCH1---CM-PR,DLL4-NOTCH1,CM-PR,0.3664383561643836,1.0,0.3664383561643836,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0E90C46BC---ENTPD1-ADORA2A---CM-PR,ENTPD1-ADORA2A,CM-PR,0.03743315508021391,1.0,0.03743315508021391,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ectonucleoside
CPI-SS0BE3D537D---CDH7-CDH7---CM-PR,CDH7-CDH7,CM-PR,0.035398230088495485,1.0,0.035398230088495485,,0.0,0.0,no,False,Adhesion-Adhesion,Adhesion by Cadherin
CPI-SS0BA601DC4---BDNF-NTRK2---CM-PR,BDNF-NTRK2,CM-PR,0.47540983606557374,1.0,0.47540983606557374,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Brain-derived neurotrophic factor
CPI-SS0A28DCA72---CXCL12-CXCR4---CM-PR,CXCL12-CXCR4,CM-PR,0.1553610503282276,1.0,0.1553610503282276,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS00373B59C---LRRC4C-PTPRF---CM-PR,LRRC4C-PTPRF,CM-PR,0.1851851851851852,1.0,0.1851851851851852,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Leucine Rich Repeat And Fibronectin
CPI-SS0CBB9D57D---LRFN5-PTPRF---CM-PR,LRFN5-PTPRF,CM-PR,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Leucine Rich Repeat And Fibronectin
CPI-SS04829AC68---GJA1-GJA1---CM-PR,GJA1-GJA1,CM-PR,0.13680154142581888,1.0,0.13680154142581888,,0.0,0.0,no,False,Gap-Gap,Adhesion by GAP junction
CPI-SS01790830C---PGF-NRP1---CM-PR,PGF-NRP1,CM-PR,0.03143418467583499,1.0,0.03143418467583499,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS087E0E3FB---EFNB2-EPHA4---CM-PR,EFNB2-EPHA4,CM-PR,0.05089820359281437,1.0,0.05089820359281437,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-CS0406B0B69---Cholesterol-byLIPA-RORA---CM-PR,Cholesterol-byLIPA-RORA,CM-PR,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Cholesterol
CPI-SS052ADA696---JAG1-NOTCH1---CM-PR,JAG1-NOTCH1,CM-PR,0.2616033755274262,0.001,,0.2616033755274262,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS0FC612D4D---DLK1-NOTCH1---CM-PR,DLK1-NOTCH1,CM-PR,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0B9B3870A---VEGFA-FLT1---CM-PR,VEGFA-FLT1,CM-PR,0.39253628196268137,0.001,,0.39253628196268137,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM-PR,VEGFA-FLT1-complex,CM-PR,0.5048076923076924,1.0,0.5048076923076924,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM-PR,VEGFA-KDR,CM-PR,0.5048076923076924,1.0,0.5048076923076924,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS043E22BF5---VEGFA-NRP1---CM-PR,VEGFA-NRP1,CM-PR,0.7576177285318559,0.001,,0.7576177285318559,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM-PR,VEGFA-NRP2,CM-PR,0.805524861878453,0.001,,0.805524861878453,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS015B29D3F---APOA1-ABCA1---EC-PR,APOA1-ABCA1,EC-PR,0.037267080745341616,1.0,0.037267080745341616,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Apolipoprotein
CPI-SS07361522F---PGF-FLT1---EC-PR,PGF-FLT1,EC-PR,0.16447823082239116,0.001,,0.16447823082239116,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SC0B51DC960---PGF-FLT1-complex---EC-PR,PGF-FLT1-complex,EC-PR,0.22163865546218486,1.0,0.22163865546218486,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS04C672963---ESAM-ESAM---EC-PR,ESAM-ESAM,EC-PR,1.0,0.001,,1.0,1.0,3.0,yes,False,Adhesion-Adhesion,
