gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EN_H	EN_V	EP	FB_H	FB_V	PR	UN
LIPA	P38571	True	LICH_HUMAN	Cholesterol_byLIPA	CPI-CS0406B0B69	LIPA	0.03	0.617	0.774	0.181	0.361	0.084	0.176	0.015
PTGIS	Q16647	True	PTGIS_HUMAN	Prostacyclin_byPTGIS	CPI-CS09A35DD21	PTGIS	0.004	0.003	0.0	0.011	0.06	0.073	0.019	0.002
AKR1C3	P42330	True	AK1C3_HUMAN	ProstaglandinD2_byAKR1C3	CPI-CS0D78DAC70	AKR1C3	0.15	0.012	0.012	0.479	0.025	0.093	0.04	0.021
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS09DCEBC2B	PTGES	0.004	0.0	0.0	0.011	0.044	0.03	0.01	0.002
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS0F0453B03	PTGES	0.004	0.0	0.0	0.011	0.044	0.03	0.01	0.002
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS080C76630	PTGES	0.004	0.0	0.0	0.011	0.044	0.03	0.01	0.002
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.004	0.0	0.0	0.011	0.044	0.03	0.01	0.002
AKR1B1	P15121	True	ALDR_HUMAN	ProstaglandinF2a_byAKR1B1	CPI-CS058DED3AA	AKR1B1	0.417	0.283	0.333	0.085	0.18	0.114	0.107	0.083
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS09463D22E	TPH1	0.001	0.003	0.012	0.0	0.0	0.0	0.005	0.0
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS0FBE83390	TPH1	0.001	0.003	0.012	0.0	0.0	0.0	0.005	0.0
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS059692236	TPH1	0.001	0.003	0.012	0.0	0.0	0.0	0.005	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS09463D22E	SLC18A2	0.001	0.003	0.012	0.0	0.0	0.0	0.005	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS0FBE83390	SLC18A2	0.001	0.003	0.012	0.0	0.0	0.0	0.005	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS059692236	SLC18A2	0.001	0.003	0.012	0.0	0.0	0.0	0.005	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	LTC4S	0.034	0.003	0.0	0.074	0.013	0.006	0.002	0.011
TENM2	Q9NT68	True	TEN2_HUMAN	TENM2_FLRT3_complex	CPI-CS049AAD8F5	TENM2	0.009	0.009	0.012	0.011	0.022	0.016	0.012	0.002
FLRT3	Q9NZU0	True	FLRT3_HUMAN	TENM2_FLRT3_complex	CPI-CS049AAD8F5	FLRT3	0.009	0.009	0.012	0.011	0.022	0.016	0.012	0.002
FLRT3	Q9NZU0	True	FLRT3_HUMAN	TENM3_FLRT3_complex	CPI-CS0D62B1695	FLRT3	0.009	0.003	0.0	0.021	0.022	0.092	0.026	0.002
TENM3	Q9P273	True	TEN3_HUMAN	TENM3_FLRT1_complex	CPI-CS059C42E4B	TENM3	0.006	0.0	0.0	0.0	0.003	0.002	0.0	0.0
TENM3	Q9P273	True	TEN3_HUMAN	TENM3_FLRT3_complex	CPI-CS0D62B1695	TENM3	0.009	0.003	0.0	0.021	0.022	0.092	0.026	0.002
FLRT1	Q9NZU1	True	FLRT1_HUMAN	TENM3_FLRT1_complex	CPI-CS059C42E4B	FLRT1	0.006	0.0	0.0	0.0	0.003	0.002	0.0	0.0
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.005	0.787	0.94	0.0	0.013	0.002	0.007	0.008
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.004	0.0	0.0	0.043	0.028	0.003	0.04	0.002
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.013	0.015	0.036	0.011	0.057	0.234	0.026	0.003
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	CEACAM6	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.007	0.003	0.012	0.0	0.003	0.036	0.0	0.002
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.01	0.003	0.012	0.0	0.013	0.011	0.005	0.003
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.007	0.006	0.048	0.0	0.009	0.04	0.012	0.002
NLGN4Y	Q8NFZ3	False	NLGNY_HUMAN		CPI-SS0837C7966	NLGN4Y	0.031	0.119	0.155	0.043	0.057	0.191	0.081	0.003
GJA1	P17302	False	CXA1_HUMAN		CPI-SS04829AC68	GJA1	0.169	0.754	0.774	0.064	0.421	0.15	0.04	0.042
F2	P00734	False	THRB_HUMAN		CPI-SS058209EC7	F2	0.001	0.0	0.0	0.734	0.0	0.0	0.0	0.0
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.03	0.191	0.345	0.032	0.171	0.15	0.036	0.006
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	AGT	0.042	0.003	0.0	0.691	0.022	0.002	0.005	0.006
AGT	P01019	False	ANGT_HUMAN		CPI-SS069924427	AGT	0.042	0.003	0.0	0.691	0.022	0.002	0.005	0.006
APLN	Q9ULZ1	False	APEL_HUMAN		CPI-SS086CB298F	APLN	0.016	0.705	0.798	0.011	0.022	0.008	0.007	0.011
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0E4E83C2E	BDNF	0.007	0.012	0.06	0.0	0.019	0.201	0.045	0.003
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.007	0.012	0.06	0.0	0.019	0.201	0.045	0.003
NTN4	Q9HB63	False	NET4_HUMAN		CPI-SS0E3AA6B7B	NTN4	0.001	0.0	0.0	0.0	0.003	0.003	0.005	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.007	0.003	0.012	0.0	0.003	0.036	0.0	0.002
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS0626DF0EB	LRRTM3	0.01	0.003	0.012	0.0	0.013	0.011	0.005	0.003
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS03466C597	LRRTM4	0.007	0.006	0.048	0.0	0.009	0.04	0.012	0.002
NLGN4Y	Q8NFZ3	False	NLGNY_HUMAN		CPI-SS0CCB5F46B	NLGN4Y	0.031	0.119	0.155	0.043	0.057	0.191	0.081	0.003
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS093707FE0	CLSTN2	0.007	0.003	0.012	0.0	0.003	0.036	0.0	0.002
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS08D8F6957	LRRTM3	0.01	0.003	0.012	0.0	0.013	0.011	0.005	0.003
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS06157E5AF	LRRTM4	0.007	0.006	0.048	0.0	0.009	0.04	0.012	0.002
NLGN4Y	Q8NFZ3	False	NLGNY_HUMAN		CPI-SS07C26C799	NLGN4Y	0.031	0.119	0.155	0.043	0.057	0.191	0.081	0.003
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0FDAB7BA8	CXCL10	0.0	0.0	0.0	0.0	0.003	0.021	0.002	0.0
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0B1B18F2D	CXCL12	0.146	0.012	0.036	0.053	0.133	0.264	0.071	0.031
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0315F51DD	CXCL8	0.001	0.024	0.024	0.0	0.006	0.0	0.0	0.0
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.146	0.012	0.036	0.053	0.133	0.264	0.071	0.031
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.007	0.003	0.012	0.074	0.019	0.009	0.0	0.013
C1QL1	O75973	False	C1QRF_HUMAN		CPI-SS0F62347D4	C1QL1	0.05	0.003	0.024	0.021	0.054	0.038	0.007	0.005
IHH	Q14623	False	IHH_HUMAN		CPI-SC0037338E6	IHH	0.0	0.0	0.0	0.074	0.0	0.0	0.0	0.0
IHH	Q14623	False	IHH_HUMAN		CPI-SC0C3E862AA	IHH	0.0	0.0	0.0	0.074	0.0	0.0	0.0	0.0
IHH	Q14623	False	IHH_HUMAN		CPI-SS055233B99	IHH	0.0	0.0	0.0	0.074	0.0	0.0	0.0	0.0
EDN1	P05305	False	EDN1_HUMAN		CPI-SS0D8632EB4	EDN1	0.002	0.036	0.107	0.0	0.009	0.0	0.005	0.0
EDN2	P20800	False	EDN2_HUMAN		CPI-SS056AA08CF	EDN2	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EDN3	P14138	False	EDN3_HUMAN		CPI-SS03D5CBF55	EDN3	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0C70ADA28	EFNA5	0.024	0.04	0.048	0.011	0.139	0.127	0.076	0.003
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.024	0.04	0.048	0.011	0.139	0.127	0.076	0.003
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.075	0.529	0.524	0.064	0.092	0.239	0.512	0.018
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS068ACD209	EFNA5	0.024	0.04	0.048	0.011	0.139	0.127	0.076	0.003
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0ECC9DF3E	EFNB2	0.075	0.529	0.524	0.064	0.092	0.239	0.512	0.018
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS05ABE6795	EFNB2	0.075	0.529	0.524	0.064	0.092	0.239	0.512	0.018
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.092	0.216	0.095	0.394	0.076	0.008	0.014	0.023
EGF	P01133	False	EGF_HUMAN		CPI-SS09947DDD9	EGF	0.042	0.024	0.048	0.0	0.016	0.0	0.0	0.019
FLRT1	Q9NZU1	False	FLRT1_HUMAN		CPI-SS0430C8A78	FLRT1	0.006	0.0	0.0	0.0	0.003	0.002	0.0	0.0
FLRT2	O43155	False	FLRT2_HUMAN		CPI-SS0474E1C15	FLRT2	0.058	0.012	0.036	0.032	0.13	0.19	0.033	0.013
FLRT3	Q9NZU0	False	FLRT3_HUMAN		CPI-SS052641D5A	FLRT3	0.009	0.009	0.012	0.223	0.022	0.092	0.026	0.002
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS038A612D7	TENM1	0.004	0.0	0.0	0.011	0.003	0.136	0.033	0.002
TENM2	Q9NT68	False	TEN2_HUMAN		CPI-SS0BCB3D402	TENM2	0.025	0.009	0.012	0.011	0.139	0.016	0.012	0.005
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS0EA023E51	TENM3	0.05	0.003	0.0	0.021	0.158	0.127	0.06	0.013
TENM4	Q6N022	False	TEN4_HUMAN		CPI-SS01F00A48A	TENM4	0.066	0.003	0.012	0.032	0.073	0.097	0.01	0.011
FLRT3	Q9NZU0	False	FLRT3_HUMAN		CPI-SS08BFFB96E	FLRT3	0.009	0.009	0.012	0.223	0.022	0.092	0.026	0.002
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS083BB1EB3	TENM1	0.004	0.0	0.0	0.011	0.003	0.136	0.033	0.002
TENM2	Q9NT68	False	TEN2_HUMAN		CPI-SS021718DBF	TENM2	0.025	0.009	0.012	0.011	0.139	0.016	0.012	0.005
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS075F456AF	TENM3	0.05	0.003	0.0	0.021	0.158	0.127	0.06	0.013
TENM4	Q6N022	False	TEN4_HUMAN		CPI-SS0FD44484F	TENM4	0.066	0.003	0.012	0.032	0.073	0.097	0.01	0.011
MDK	P21741	False	MK_HUMAN		CPI-SS027E12A36	MDK	0.648	0.128	0.25	0.84	0.911	0.918	0.61	0.163
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	PTN	0.369	0.024	0.119	0.064	0.592	0.649	0.255	0.055
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.013	0.0	0.0	0.011	0.006	0.122	0.021	0.002
DLK1	P80370	False	DLK1_HUMAN		CPI-SS007AA9FDE	DLK1	0.054	0.161	0.083	0.745	0.804	0.476	0.183	0.053
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	JAG1	0.156	0.337	0.321	0.064	0.361	0.193	0.419	0.053
JAG2	Q9Y219	False	JAG2_HUMAN		CPI-SS0263EFDDF	JAG2	0.056	0.261	0.333	0.032	0.006	0.002	0.007	0.024
DLK1	P80370	False	DLK1_HUMAN		CPI-SS0D37C7C70	DLK1	0.054	0.161	0.083	0.745	0.804	0.476	0.183	0.053
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0837E9F59	JAG1	0.156	0.337	0.321	0.064	0.361	0.193	0.419	0.053
JAG2	Q9Y219	False	JAG2_HUMAN		CPI-SS096F3E0F2	JAG2	0.056	0.261	0.333	0.032	0.006	0.002	0.007	0.024
PENK	P01210	False	PENK_HUMAN		CPI-SS0D1EF9598	PENK	0.005	0.0	0.0	0.0	0.259	0.049	0.002	0.006
PENK	P01210	False	PENK_HUMAN		CPI-SS0D97012FB	PENK	0.005	0.0	0.0	0.0	0.259	0.049	0.002	0.006
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS0133239EA	ADCYAP1	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.002
VIP	P01282	False	VIP_HUMAN		CPI-SS06102CC06	VIP	0.0	0.009	0.012	0.0	0.003	0.024	0.0	0.0
PGF	P49763	False	PLGF_HUMAN		CPI-SS07361522F	PGF	0.023	0.31	0.619	0.064	0.098	0.078	0.36	0.002
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	VEGFA	0.699	0.255	0.214	0.809	0.791	0.187	0.155	0.43
PGF	P49763	False	PLGF_HUMAN		CPI-SC0B51DC960	PGF	0.023	0.31	0.619	0.064	0.098	0.078	0.36	0.002
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SC0AFC650CD	VEGFA	0.699	0.255	0.214	0.809	0.791	0.187	0.155	0.43
PGF	P49763	False	PLGF_HUMAN		CPI-SS01790830C	PGF	0.023	0.31	0.619	0.064	0.098	0.078	0.36	0.002
SEMA3A	Q14563	False	SEM3A_HUMAN		CPI-SS034083FFA	SEMA3A	0.223	0.04	0.048	0.053	0.054	0.152	0.112	0.047
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS043E22BF5	VEGFA	0.699	0.255	0.214	0.809	0.791	0.187	0.155	0.43
PGF	P49763	False	PLGF_HUMAN		CPI-SS065D9259F	PGF	0.023	0.31	0.619	0.064	0.098	0.078	0.36	0.002
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS046F8AD8B	VEGFA	0.699	0.255	0.214	0.809	0.791	0.187	0.155	0.43
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	PDGFA	0.06	0.474	0.381	0.106	0.187	0.097	0.555	0.011
NPY	P01303	False	NPY_HUMAN		CPI-SS0666DE74B	NPY	0.001	0.0	0.0	0.011	0.044	0.0	0.0	0.002
RSPO1	Q2MKA7	False	RSPO1_HUMAN		CPI-SS09B2320BC	RSPO1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS056D0AD0D	RSPO2	0.001	0.0	0.0	0.0	0.003	0.0	0.0	0.0
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0C3906934	RSPO3	0.526	0.012	0.071	0.064	0.187	0.142	0.033	0.196
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	SEMA3E	0.012	0.015	0.024	0.0	0.016	0.027	0.055	0.006
TAC1	P20366	False	TKN1_HUMAN		CPI-SS02A8BD654	TAC1	0.015	0.0	0.0	0.011	0.354	0.472	0.155	0.016
TAC3	Q9UHF0	False	TKNK_HUMAN		CPI-SS0CDDDEE9F	TAC3	0.006	0.0	0.012	0.0	0.016	0.028	0.002	0.0
CD160	O95971	False	BY55_HUMAN		CPI-SS0879B8E95	CD160	0.005	0.0	0.0	0.0	0.0	0.008	0.005	0.005
