id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN_H	CM|EN_V	CM|EP	CM|FB_H	CM|FB_V	CM|PR	CM|UN	EN_H|CM	EN_H|EN_H	EN_H|EN_V	EN_H|EP	EN_H|FB_H	EN_H|FB_V	EN_H|PR	EN_H|UN	EN_V|CM	EN_V|EN_H	EN_V|EN_V	EN_V|EP	EN_V|FB_H	EN_V|FB_V	EN_V|PR	EN_V|UN	EP|CM	EP|EN_H	EP|EN_V	EP|EP	EP|FB_H	EP|FB_V	EP|PR	EP|UN	FB_H|CM	FB_H|EN_H	FB_H|EN_V	FB_H|EP	FB_H|FB_H	FB_H|FB_V	FB_H|PR	FB_H|UN	FB_V|CM	FB_V|EN_H	FB_V|EN_V	FB_V|EP	FB_V|FB_H	FB_V|FB_V	FB_V|PR	FB_V|UN	PR|CM	PR|EN_H	PR|EN_V	PR|EP	PR|FB_H	PR|FB_V	PR|PR	PR|UN	UN|CM	UN|EN_H	UN|EN_V	UN|EP	UN|FB_H	UN|FB_V	UN|PR	UN|UN
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.005	0.629	0.761	0.0	0.008	0.004	0.006	0.011	0.629	1.253	1.385	0.0	0.632	0.628	0.63	0.635	0.761	1.385	1.517	0.0	0.764	0.76	0.762	0.767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.632	0.764	0.0	0.012	0.007	0.01	0.014	0.004	0.628	0.76	0.0	0.007	0.003	0.005	0.01	0.006	0.63	0.762	0.0	0.01	0.005	0.007	0.012	0.011	0.635	0.767	0.0	0.014	0.01	0.012	0.017
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.003	0.0	0.0	0.016	0.014	0.003	0.024	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.03	0.027	0.016	0.037	0.017	0.014	0.0	0.0	0.027	0.024	0.014	0.035	0.014	0.003	0.0	0.0	0.016	0.014	0.003	0.024	0.004	0.024	0.0	0.0	0.037	0.035	0.024	0.045	0.025	0.004	0.0	0.0	0.017	0.014	0.004	0.025	0.004
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.012	0.013	0.02	0.009	0.037	0.185	0.024	0.01	0.013	0.013	0.02	0.009	0.037	0.186	0.025	0.011	0.02	0.02	0.027	0.016	0.044	0.192	0.031	0.017	0.009	0.009	0.016	0.005	0.033	0.182	0.021	0.007	0.037	0.037	0.044	0.033	0.061	0.209	0.049	0.034	0.185	0.186	0.192	0.182	0.209	0.358	0.197	0.183	0.024	0.025	0.031	0.021	0.049	0.197	0.036	0.022	0.01	0.011	0.017	0.007	0.034	0.183	0.022	0.008
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.005	0.004	0.007	0.0	0.005	0.009	0.025	0.005	0.004	0.002	0.006	0.0	0.003	0.008	0.023	0.003	0.009	0.007	0.011	0.0	0.008	0.013	0.028	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.002	0.006	0.0	0.003	0.008	0.023	0.003	0.029	0.027	0.031	0.0	0.028	0.033	0.048	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.002	0.006	0.0	0.003	0.008	0.023	0.003
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.007	0.005	0.009	0.0	0.007	0.011	0.027	0.007	0.004	0.002	0.006	0.0	0.003	0.008	0.023	0.003	0.007	0.005	0.009	0.0	0.007	0.011	0.027	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.007	0.011	0.0	0.008	0.013	0.028	0.008	0.011	0.009	0.013	0.0	0.01	0.015	0.03	0.01	0.005	0.004	0.007	0.0	0.005	0.009	0.025	0.005	0.007	0.005	0.009	0.0	0.006	0.011	0.026	0.006
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.006	0.004	0.008	0.0	0.005	0.01	0.025	0.005	0.005	0.003	0.006	0.0	0.004	0.008	0.024	0.004	0.018	0.016	0.02	0.0	0.017	0.022	0.037	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.01	0.0	0.008	0.012	0.028	0.008	0.028	0.026	0.03	0.0	0.028	0.032	0.048	0.028	0.01	0.008	0.012	0.0	0.009	0.014	0.029	0.009	0.004	0.002	0.006	0.0	0.003	0.007	0.023	0.003
CPI-SS0837C7966	NLGN4Y_NRXN3	simple:Q8NFZ3	simple:Q9HDB5	NLGN4Y	NRXN3	False	False	False	curated	False	Ligand-Receptor		0.017	0.015	0.019	0.0	0.016	0.021	0.036	0.016	0.058	0.056	0.06	0.0	0.057	0.062	0.077	0.057	0.067	0.065	0.069	0.0	0.066	0.071	0.086	0.066	0.009	0.008	0.011	0.0	0.009	0.013	0.029	0.009	0.027	0.025	0.029	0.0	0.027	0.031	0.047	0.027	0.12	0.118	0.122	0.0	0.119	0.124	0.139	0.119	0.048	0.046	0.05	0.0	0.047	0.052	0.067	0.047	0.006	0.004	0.008	0.0	0.005	0.01	0.025	0.005
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.177	0.631	0.603	0.106	0.367	0.189	0.109	0.137	0.631	1.084	1.056	0.559	0.82	0.642	0.562	0.59	0.603	1.056	1.028	0.531	0.792	0.614	0.535	0.562	0.106	0.559	0.531	0.034	0.295	0.117	0.038	0.065	0.367	0.82	0.792	0.295	0.556	0.378	0.298	0.326	0.189	0.642	0.614	0.117	0.378	0.201	0.121	0.149	0.109	0.562	0.535	0.038	0.298	0.121	0.041	0.069	0.137	0.59	0.562	0.065	0.326	0.149	0.069	0.097
CPI-SS058209EC7	F2_F2R	simple:P00734	simple:P25116	F2	F2R	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.02	0.288	0.251	0.019	0.248	0.158	0.183	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.436	0.703	0.667	0.435	0.664	0.573	0.599	0.437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
