,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS065D9259F---PGF-NRP2---EN_V-EN_V,PGF-NRP2,EN_V-EN_V,0.944015444015444,0.001,,0.944015444015444,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS07361522F---PGF-FLT1---EN_V-EN_V,PGF-FLT1,EN_V-EN_V,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS04C672963---ESAM-ESAM---EN_V-EN_V,ESAM-ESAM,EN_V-EN_V,1.0,0.001,,1.0,1.0,3.0,yes,False,Adhesion-Adhesion,
CPI-SS04829AC68---GJA1-GJA1---EN_V-EN_V,GJA1-GJA1,EN_V-EN_V,1.0,0.001,,1.0,1.0,3.0,yes,False,Gap-Gap,Adhesion by GAP junction
CPI-SS00C24ED50---CDH5-CDH5---EN_V-EN_V,CDH5-CDH5,EN_V-EN_V,1.0,0.001,,1.0,1.0,3.0,yes,False,Adhesion-Adhesion,Adhesion by Cadherin
CPI-SC0B51DC960---PGF-FLT1-complex---EN_V-EN_V,PGF-FLT1-complex,EN_V-EN_V,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS065D9259F---PGF-NRP2---EN_V-FB_V,PGF-NRP2,EN_V-FB_V,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS07361522F---PGF-FLT1---EN_V-FB_V,PGF-FLT1,EN_V-FB_V,0.4259012016021362,0.001,,0.4259012016021362,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS09B2ACA25---HBEGF-EGFR---EN_V-FB_V,HBEGF-EGFR,EN_V-FB_V,0.7887323943661972,0.001,,0.7887323943661972,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS007954822---WNT5A-FRZB---EN_V-FB_V,WNT5A-FRZB,EN_V-FB_V,0.8400000000000001,0.001,,0.8400000000000001,1.0,3.0,yes,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0FC01B947---EFNA5-EPHA4---EN_V-FB_V,EFNA5-EPHA4,EN_V-FB_V,0.8673469387755103,0.001,,0.8673469387755103,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0F1E79A03---WNT5A-SFRP1---EN_V-FB_V,WNT5A-SFRP1,EN_V-FB_V,0.9442622950819671,0.001,,0.9442622950819671,1.0,3.0,yes,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS087E0E3FB---EFNB2-EPHA4---EN_V-FB_V,EFNB2-EPHA4,EN_V-FB_V,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0B70EB09E---PDGFA-PDGFRA---EN_V-FB_V,PDGFA-PDGFRA,EN_V-FB_V,0.7415254237288136,0.001,,0.7415254237288136,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS065D9259F---PGF-NRP2---EN_V-PR,PGF-NRP2,EN_V-PR,0.6158301158301157,0.001,,0.6158301158301157,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS07361522F---PGF-FLT1---EN_V-PR,PGF-FLT1,EN_V-PR,0.4599465954606141,0.001,,0.4599465954606141,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS04C672963---ESAM-ESAM---EN_V-PR,ESAM-ESAM,EN_V-PR,0.5485312899106003,0.001,,0.5485312899106003,1.0,3.0,yes,False,Adhesion-Adhesion,
CPI-SS09B2ACA25---HBEGF-EGFR---EN_V-PR,HBEGF-EGFR,EN_V-PR,0.7746478873239436,0.001,,0.7746478873239436,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS0CB6F5575---APP-PLXNA4---EN_V-PR,APP-PLXNA4,EN_V-PR,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Amyloid-beta precursor protein
CPI-SS0DF830287---APLP2-PLXNA4---EN_V-PR,APLP2-PLXNA4,EN_V-PR,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Amyloid-like protein
CPI-SS0C93E48D7---THBS1-CD36---EN_V-PR,THBS1-CD36,EN_V-PR,0.5572587917042381,0.001,,0.5572587917042381,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Thrombospondin precursor
CPI-SS065D9259F---PGF-NRP2---EN_V-SM,PGF-NRP2,EN_V-SM,0.6602316602316601,0.001,,0.6602316602316601,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS07361522F---PGF-FLT1---EN_V-SM,PGF-FLT1,EN_V-SM,0.562082777036048,0.001,,0.562082777036048,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS04C672963---ESAM-ESAM---EN_V-SM,ESAM-ESAM,EN_V-SM,0.5766283524904214,0.001,,0.5766283524904214,1.0,3.0,yes,False,Adhesion-Adhesion,
CPI-SS04829AC68---GJA1-GJA1---EN_V-SM,GJA1-GJA1,EN_V-SM,0.5119363395225465,0.001,,0.5119363395225465,1.0,3.0,yes,False,Gap-Gap,Adhesion by GAP junction
CPI-SS09B2ACA25---HBEGF-EGFR---EN_V-SM,HBEGF-EGFR,EN_V-SM,0.6056338028169014,0.001,,0.6056338028169014,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS03E7FB333---HBEGF-ERBB2---EN_V-SM,HBEGF-ERBB2,EN_V-SM,0.7475961538461539,0.001,,0.7475961538461539,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS0EE09A201---CDH2-CDH2---EN_V-SM,CDH2-CDH2,EN_V-SM,0.691304347826087,0.001,,0.691304347826087,1.0,3.0,yes,False,Adhesion-Adhesion,Adhesion by Cadherin
