,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS0A28DCA72---CXCL12-CXCR4---EN_V-EN_V,CXCL12-CXCR4,EN_V-EN_V,0.835965978128797,1.0,0.835965978128797,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS007954822---WNT5A-FRZB---EN_V-EN_V,WNT5A-FRZB,EN_V-EN_V,0.45421245421245415,1.0,0.45421245421245415,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0FC01B947---EFNA5-EPHA4---EN_V-EN_V,EFNA5-EPHA4,EN_V-EN_V,0.4764705882352941,1.0,0.4764705882352941,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS073F3FAD5---WNT5A-ROR1---EN_V-EN_V,WNT5A-ROR1,EN_V-EN_V,0.6310679611650486,1.0,0.6310679611650486,,0.0,0.0,no,False,Ligand-Receptor,Signaling by WNT
CPI-SS00373B59C---LRRC4C-PTPRF---EN_V-EN_V,LRRC4C-PTPRF,EN_V-EN_V,0.35555555555555557,1.0,0.35555555555555557,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Leucine Rich Repeat And Fibronectin
CPI-SS0CBB9D57D---LRFN5-PTPRF---EN_V-EN_V,LRFN5-PTPRF,EN_V-EN_V,0.42162162162162165,1.0,0.42162162162162165,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Leucine Rich Repeat And Fibronectin
CPI-SS0EE09A201---CDH2-CDH2---EN_V-EN_V,CDH2-CDH2,EN_V-EN_V,0.5513626834381552,1.0,0.5513626834381552,,0.0,0.0,no,False,Adhesion-Adhesion,Adhesion by Cadherin
CPI-SS087E0E3FB---EFNB2-EPHA4---EN_V-EN_V,EFNB2-EPHA4,EN_V-EN_V,0.8298279158699808,1.0,0.8298279158699808,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS09B2ACA25---HBEGF-EGFR---EN_V-EN_V,HBEGF-EGFR,EN_V-EN_V,0.7193877551020407,1.0,0.7193877551020407,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS03E7FB333---HBEGF-ERBB2---EN_V-EN_V,HBEGF-ERBB2,EN_V-EN_V,0.7134986225895317,1.0,0.7134986225895317,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS0C93E48D7---THBS1-CD36---EN_V-EN_V,THBS1-CD36,EN_V-EN_V,0.22310126582278483,1.0,0.22310126582278483,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Thrombospondin precursor
CPI-SS0B70EB09E---PDGFA-PDGFRA---EN_V-EN_V,PDGFA-PDGFRA,EN_V-EN_V,0.2569558101472995,1.0,0.2569558101472995,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS0F1E79A03---WNT5A-SFRP1---EN_V-EN_V,WNT5A-SFRP1,EN_V-EN_V,0.3310185185185185,1.0,0.3310185185185185,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
