id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	EN_V|EN_V	EN_V|FB_V	EN_V|PR	EN_V|SM	EN_V|UN	FB_V|EN_V	FB_V|FB_V	FB_V|PR	FB_V|SM	FB_V|UN	PR|EN_V	PR|FB_V	PR|PR	PR|SM	PR|UN	SM|EN_V	SM|FB_V	SM|PR	SM|SM	SM|UN	UN|EN_V	UN|FB_V	UN|PR	UN|SM	UN|UN
CPI-SS0EE09A201	CDH2_CDH2	simple:P19022	simple:P19022	CDH2	CDH2	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.263	0.365	0.266	0.477	0.0	0.365	0.466	0.367	0.578	0.0	0.266	0.367	0.268	0.479	0.0	0.477	0.578	0.479	0.69	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0DA0F5556	CDH3_CDH3	simple:P22223	simple:P22223	CDH3	CDH3	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.002	0.004	0.001	0.002	0.0	0.004	0.006	0.003	0.004	0.0	0.001	0.003	0.001	0.002	0.0	0.002	0.004	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	1.597	0.812	0.814	0.811	1.051	0.812	0.027	0.029	0.026	0.267	0.814	0.029	0.031	0.028	0.269	0.811	0.026	0.028	0.025	0.266	1.051	0.267	0.269	0.266	0.506
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.043	0.157	0.062	0.03	0.0	0.157	0.27	0.175	0.143	0.0	0.062	0.175	0.081	0.049	0.0	0.03	0.143	0.049	0.017	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.298	0.471	0.447	0.293	0.221	0.471	0.644	0.62	0.466	0.394	0.447	0.62	0.596	0.441	0.369	0.293	0.466	0.441	0.287	0.215	0.221	0.394	0.369	0.215	0.143
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.007	0.017	0.013	0.008	0.0	0.026	0.036	0.032	0.027	0.0	0.008	0.019	0.014	0.01	0.0	0.012	0.023	0.018	0.014	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0EEFFA23C	LRRTM1_NRXN3	simple:Q86UE6	simple:Q9HDB5	LRRTM1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.006	0.016	0.012	0.007	0.0	0.005	0.016	0.011	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.005	0.016	0.011	0.007	0.0	0.008	0.019	0.014	0.01	0.0	0.006	0.017	0.012	0.008	0.0	0.007	0.018	0.013	0.009	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.008	0.019	0.014	0.01	0.0	0.021	0.031	0.027	0.022	0.0	0.009	0.019	0.015	0.01	0.0	0.01	0.02	0.016	0.011	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0731F750C	NLGN1_NRXN3	simple:Q8N2Q7	simple:Q9HDB5	NLGN1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.005	0.016	0.011	0.007	0.0	0.007	0.017	0.013	0.008	0.0	0.006	0.017	0.012	0.008	0.0	0.006	0.016	0.012	0.007	0.0	0.0	0.0	0.0	0.0	0.0
