	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
287	NPPA	0.8470173	0.1542191	-2.456645	44.55244	1
300	DHRS3	0.0050455476	0.02311105	2.1734154	19.265514	1
576	AUNIP	0.0045906166	0.0008539919	-2.2977285	7.7852983	1
1003	AL358075.2	0.0047412086	0.00074405054	-2.519966	8.846029	1
1121	GLIS1	0.07060652	0.016758127	-2.068399	44.55244	1
1352	PTGFR	0.0047564968	0.02604513	2.4285545	22.735308	1
1583	LINC02785	0.0019341124	-3.3469405e-10	-4.3463326	6.104163	1
1744	CASQ2	0.0109030465	0.0010706172	-3.2325618	21.697552	1
1749	MAB21L3	0.0029682147	0.00042733882	-2.5405974	5.5214443	1
1792	PHGDH	0.10573152	0.6057782	2.5172584	44.55244	1
1872	GJA5	0.08610516	0.01062383	-3.006954	44.55244	1
2059	S100A9	0.0036031445	0.00057551626	-2.4546885	5.92067	1
2061	S100A8	0.010580793	0.0018728356	-2.4366763	14.684583	1
2067	S100A5	0.003929728	0.00057214743	-2.5838327	6.8159733	1
2070	S100A2	0.021073638	0.004902446	-2.0815635	25.952019	1
2193	IQGAP3	0.0029132417	0.000400414	-2.5901225	5.7391796	1
2383	LRRC52-AS1	0.12144962	0.012803376	-3.235725	44.55244	1
2523	PAPPA2	0.032665975	0.007694045	-2.0717545	32.150574	1
2621	NIBAN1	0.007715014	0.047694854	2.612535	44.55244	1
2643	ERVMER61-1	0.005593285	0.0011045523	-2.2407644	7.7411766	1
2838	RAB7B	0.016075091	0.0037919923	-2.055193	18.40361	1
2847	IKBKE	0.118009284	0.027815871	-2.080965	44.55244	1
2912	KCNH1	0.003915135	0.025987893	2.69986	26.562294	1
2992	C1orf143	0.063493505	0.0083543705	-2.9111102	44.55244	1
3146	ACTA1	0.049635265	0.010340408	-2.2520912	28.949984	1
3610	VSNL1	0.24457836	0.05578999	-2.1302247	44.55244	1
3781	ALK	0.085184656	0.015262537	-2.4728699	44.55244	1
3980	FSHR	0.0066345967	0.0008519306	-2.8226633	11.610904	1
4227	MTHFD2	0.107359774	0.5720954	2.4127111	44.55244	1
4262	TACR1	0.0054354114	0.00065050734	-2.8827524	9.7696905	1
4484	GPAT2	0.00990808	0.0018427882	-2.3649647	14.018125	1
4905	NCKAP5	0.0056630196	0.0012369516	-2.1078777	7.887289	1
4983	LYPD6B	0.046433568	0.009002571	-2.353926	44.55244	1
5001	NMI	0.0042293044	0.0009590034	-2.0314279	5.817389	1
5106	SCN7A	0.0152308475	0.0034557246	-2.108222	17.28029	1
5271	FRZB	0.39073774	0.08548552	-2.191131	44.55244	1
5334	STAT4	0.007444139	0.001529165	-2.2112236	10.314872	1
5466	GPR1	0.003507047	0.0005303771	-2.5165312	6.233057	1
5480	KLF7-IT1	0.0034996157	0.0007847137	-2.0245602	5.332155	1
5647	DES	0.0901876	0.019195518	-2.226262	44.55244	1
6198	GADL1	0.0018942984	0.01467652	2.8893533	16.114414	1
6378	CCRL2	0.0183298	0.003477178	-2.3651466	26.87152	1
7037	MYLK	0.4863713	0.069096036	-2.8135934	44.55244	1
7389	STRIT1	6.3447274e-05	0.0063880165	5.31088	9.813378	1
7464	LINC01324	0.0016988227	0.010318775	2.5340607	10.894593	1
7610	LAMP3	0.00016319106	0.0066622454	4.68332	9.118773	1
7660	LIPH	0.12949736	0.031174926	-2.050958	44.55244	1
7729	FGF12	0.008112526	0.0018993135	-2.0383213	9.817575	1
7789	TNK2-AS1	0.010914081	0.0019606831	-2.4181545	16.501993	1
7981	AFAP1-AS1	0.00512062	0.00026342628	-3.8444865	12.531625	1
7990	LINC02517	0.0019627553	6.872137e-05	-3.6118581	5.7635117	1
8357	HOPX	0.029870246	0.0069568134	-2.0864422	24.41215	1
8364	IGFBP7-AS1	0.003865943	0.0005865206	-2.5302892	6.6748657	1
8747	SGMS2	0.0069772406	0.0013047968	-2.3328254	10.060281	1
8939	SLC7A11-AS1	0.00027715322	0.0047056437	3.671507	6.1105456	1
8940	SLC7A11	0.009686929	0.078549534	3.0065103	44.55244	1
9147	FSTL5	0.0033020598	0.017230866	2.3488634	15.142434	1
9250	VEGFC	0.022955539	0.10232854	2.1514325	44.55244	1
9433	IRX2	0.6334802	0.14353774	-2.1410923	44.55244	1
9441	IRX1	0.1877551	0.025511255	-2.8747704	44.55244	1
9741	CARD6	0.013415647	0.0032109264	-2.0293236	16.806747	1
10059	BHMT2	0.00060470856	0.00524214	2.9223192	5.8240323	1
10711	AC005592.1	0.010886095	0.0014911452	-2.7875414	18.855076	1
10755	C5orf46	0.008343535	0.0008448904	-3.159628	13.433769	1
10774	ABLIM3	0.009559437	0.040233195	2.061957	32.052807	1
10783	AC131025.1	0.0039245863	0.0004944899	-2.7591162	8.210296	1
10877	NIPAL4	0.0033573764	0.0005993284	-2.3056357	5.3595414	1
10912	C1QTNF2	0.022443311	0.0023567749	-3.197862	43.121075	1
11030	LINC01411	0.10376141	0.0120947035	-3.0903332	44.55244	1
11570	GPX5	0.0007277711	0.004430884	2.4524887	5.195735	1
11606	ZFP57	0.0033757868	0.00048549683	-2.5696063	6.1874433	1
12003	C6orf223	0.0072865896	0.0014651897	-2.238571	9.8694515	1
12096	AL034374.1	0.0019721417	9.079949e-05	-3.4409935	5.7039657	1
12267	MRAP2	0.027507415	0.0044809612	-2.5913336	37.28877	1
12490	CALHM5	0.011934457	0.0020281004	-2.499533	18.887764	1
12771	ULBP1	0.0012156614	0.011075019	3.0864172	13.401624	1
13403	AC018647.1	0.020358693	0.0027868114	-2.825165	35.102386	1
13428	SFRP4	0.022239193	0.0015051576	-3.7987905	37.44846	1
13472	LINC01449	0.0027131308	0.00037369344	-2.570151	5.1127048	1
13903	ASNS	0.006031262	0.03292416	2.429266	31.264784	1
14197	LMOD2	0.37784052	0.06837254	-2.4645617	44.55244	1
14735	MYOM2	0.09047165	0.013393032	-2.746845	44.55244	1
14811	PRAG1	0.022656519	0.004462146	-2.3184953	30.300278	1
14864	FAM167A	0.0009197783	0.0058627804	2.5477295	6.532842	1
14981	PHYHIP	0.003178588	0.00043761177	-2.608438	5.899295	1
15076	PNOC	0.017866625	0.0022805368	-2.9159606	13.289401	1
15197	AC069120.1	0.0069536376	0.0013068912	-2.3258567	10.481977	1
15237	AC027702.1	0.00062885165	0.0052446662	2.8744028	6.4982734	1
15813	ABRA	0.017744154	0.0010861048	-3.9111483	37.580612	1
15859	AARD	0.025739215	0.0042411415	-2.573416	38.245247	1
15868	TNFRSF11B	0.0074885115	0.0007805446	-3.107349	12.656864	1
15968	MYC	0.0024343308	0.0122975325	2.2903762	12.002289	1
15998	TMEM71	0.039140087	0.009237199	-2.0712667	44.55244	1
16309	CER1	0.0023817266	0.00015865205	-3.2622597	6.270139	1
16525	HRCT1	0.008307923	0.001774284	-2.1654098	11.69288	1
16691	ANXA1	0.43779606	0.079105556	-2.466915	44.55244	1
16719	PSAT1	0.057390552	0.43705064	2.9267337	44.55244	1
16758	NTRK2	0.0031362264	0.014182427	2.1418567	11.325199	1
16849	BARX1	0.0011739659	0.0058759134	2.2298326	5.9583783	1
16862	FBP1	0.017746454	0.0037669563	-2.206367	21.564787	1
16978	ABCA1	0.026443629	0.13504754	2.3480978	44.55244	1
17742	PLXDC2	0.08618232	0.3611203	2.065742	44.55244	1
17970	GDF2	0.18059802	0.024015391	-2.9055548	44.55244	1
18178	OIT3	0.2473578	0.011054705	-4.4714584	44.55244	1
18179	PLA2G12B	0.0044683386	0.0003775027	-3.2580886	10.467629	1
18396	ANKRD1	0.8626299	0.09232017	-3.2226293	44.55244	1
19025	ASCL2	0.0014583948	0.008970222	2.5410771	10.064847	1
19026	C11orf21	0.004360633	0.019932719	2.167038	17.351208	1
19338	SAA1	0.006634599	0.0007612734	-2.967049	11.57471	1
