	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
1	FAM138A	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
2	OR4F5	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
3	AL627309.1	0.0025655203	6.9849193e-10	-1.8341116	4.473827	0
4	AL627309.3	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
5	AL627309.2	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
6	AL627309.5	0.020083936	0.026870044	0.40257105	0.26505667	0
7	AL627309.4	0.001148003	6.9849193e-10	-1.102995	2.0507665	0
8	AP006222.2	0.001037266	6.9849193e-10	-1.0266334	2.2470615	0
9	AL732372.1	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
10	OR4F29	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
11	AC114498.1	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
12	OR4F16	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
13	AL669831.2	0.0010152058	6.9849193e-10	-1.0109261	2.0638227	0
14	LINC01409	0.065625966	0.06433736	-0.028176432	0.02972463	0
15	FAM87B	0.00018516195	6.9849193e-10	-0.24508315	0.49833658	0
16	LINC01128	0.13280988	0.12280123	-0.11215894	0.19518554	0
17	LINC00115	0.011855959	0.010038986	-0.21982962	0.119124465	0
18	FAM41C	0.0065918877	0.007904691	0.23010682	0.106475875	0
19	AL645608.6	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
20	AL645608.2	0.0042876783	0.0068158144	0.5637617	0.21582979	0
21	AL645608.4	0.0014495737	6.9849193e-10	-1.2925296	2.9565208	0
22	LINC02593	0.051649626	0.05147679	-0.004743763	0.004326157	0
23	SAMD11	0.32360616	0.16518585	-0.96589273	7.853358	0
24	NOC2L	0.22965221	0.21406277	-0.100961305	0.24394532	0
25	KLHL17	0.010817497	0.02357159	1.0560668	0.8011005	0
26	PLEKHN1	0.0010924066	6.9849193e-10	-1.0651622	2.0448136	0
27	PERM1	0.0006962436	6.9849193e-10	-0.76234233	1.546274	0
28	AL645608.7	0.0009771198	0.006635382	1.9493	0.6143813	0
29	HES4	0.2574704	0.3466122	0.42747962	1.959715	0
30	ISG15	0.2166722	0.296341	0.4499612	1.9848466	0
31	AL645608.1	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
32	AGRN	0.06992868	0.15798293	1.1644309	3.3863456	0
33	AL645608.5	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
34	AL645608.8	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
35	RNF223	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
36	C1orf159	0.01386512	0.031540707	1.1303145	0.91555226	0
37	AL390719.3	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
38	LINC01342	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
39	AL390719.2	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
40	TTLL10-AS1	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
41	TTLL10	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
42	TNFRSF18	0.0005349375	0.003917785	1.6798288	0.40793267	0
43	TNFRSF4	-4.3655746e-08	0.04242818	5.4406223	2.986548	0
44	SDF4	0.4503202	0.6125935	0.44313174	4.0765033	0
45	B3GALT6	0.15040898	0.27138096	0.84717494	4.8508105	0
46	C1QTNF12	0.0044788853	0.0067096422	0.49278152	0.19183151	0
47	AL162741.1	0.000541402	0.003058313	1.396637	0.38317722	0
48	UBE2J2	0.26950058	0.3607561	0.4193857	2.6040797	0
49	LINC01786	0.000996908	6.9849193e-10	-0.9977668	1.9231803	0
50	SCNN1D	0.0044719647	0.0060619647	0.36801067	0.1430158	0
51	ACAP3	0.045871314	0.09383866	1.0167702	1.8782175	0
52	PUSL1	0.06625592	0.09817158	0.5602654	0.97893053	0
53	INTS11	0.120354556	0.20108368	0.7357245	2.317431	0
54	AL139287.1	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
55	CPTP	0.05966225	0.13123937	1.124281	2.9315689	0
56	TAS1R3	0.00039279577	0.0039616777	1.8328443	0.43168914	0
57	DVL1	0.04510562	0.065621816	0.5310522	0.76053154	0
58	MXRA8	0.027627708	0.034217104	0.298864	0.24731565	0
59	AURKAIP1	0.97053283	1.0689316	0.13918394	1.8953097	0
60	CCNL2	0.21860251	0.30720156	0.4889795	2.3977525	0
61	MRPL20-AS1	0.092086256	0.1189433	0.3657125	0.65340185	0
62	MRPL20	1.1069643	1.0252398	-0.11054357	1.3970138	0
63	AL391244.2	0.0031691827	0.01861509	2.2341275	1.1674917	0
64	ANKRD65	0.0012895	6.9849193e-10	-1.1950315	2.2824988	0
65	AL391244.1	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
66	TMEM88B	-4.3655746e-08	6.9849193e-10	6.397613e-05	44.55244	0
67	LINC01770	0.0087323645	0.007383827	-0.21518137	0.09128277	0
68	VWA1	0.08309358	0.19995375	1.2567958	4.2917395	0
69	ATAD3C	0.002679756	6.9849193e-10	-1.879609	4.4885545	0
70	ATAD3B	0.027376384	0.041468266	0.5816945	0.56885004	0
71	ATAD3A	0.07771345	0.09592009	0.3001855	0.42149332	0
72	TMEM240	0.0988129	0.084237434	-0.2277391	0.39594615	0
73	SSU72	0.70833796	0.8493675	0.26161334	3.4943488	0
74	AL645728.1	0.010247416	0.0038150381	-1.2239745	0.95202965	0
75	FNDC10	0.10676261	0.12753248	0.25427622	0.48289737	0
76	AL691432.4	0.0123633975	0.0042338995	-1.3523287	1.1539041	0
77	AL691432.2	0.10530632	0.06687681	-0.6472368	1.7051139	0
78	MIB2	0.19457626	0.19517581	0.0044159405	0.007987748	0
79	MMP23B	0.23352093	0.10253723	-1.179567	8.418717	1
80	CDK11B	0.16346191	0.18052952	0.14245066	0.3620097	0
81	FO704657.1	0.002115565	0.003521956	0.5374531	0.15883726	0
82	SLC35E2B	0.06786802	0.110570066	0.6960439	1.312956	0
83	CDK11A	0.09507983	0.119265035	0.3239117	0.5609062	0
84	SLC35E2A	0.04256221	0.029720662	-0.50386775	0.5724684	0
85	NADK	0.07282735	0.14750639	1.0082978	2.9238508	0
86	GNB1	0.5707423	1.030681	0.8515602	21.964447	0
87	AL109917.1	0.0072308416	0.0036365478	-0.82798886	0.46250606	0
88	CALML6	0.00012745103	6.9849193e-10	-0.17306377	0.49823567	0
89	TMEM52	0.005075361	0.011235761	1.0100617	0.46121264	0
90	CFAP74	0.001630773	0.008198823	1.8059624	0.7252942	0
91	AL391845.2	-4.3655746e-08	0.013244958	3.8324423	1.0445062	0
92	GABRD	0.00046957645	0.012879252	3.2394576	0.9990217	0
93	AL391845.1	0.0007512785	6.9849193e-10	-0.8084074	1.5884475	0
94	PRKCZ	0.09930114	0.059071057	-0.7395961	2.2078314	0
