	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
172	RNF207	0.14786726	0.058635116	-1.3197925	44.55244	1
177	ACOT7	0.026710933	0.17485958	2.665897	44.55244	1
252	CENPS	0.07465803	0.20599219	1.4520112	44.55244	1
253	CORT	0.0061172745	0.029289365	2.0894144	16.061562	1
280	MAD2L2	0.12665884	0.30222642	1.2481018	44.55244	1
287	NPPA	0.1835825	0.48621258	1.4002856	44.55244	1
288	NPPB	0.01676548	0.07499154	2.0967622	15.249191	1
294	MIIP	0.027706673	0.06540597	1.2099268	16.90478	1
336	PDPN	0.09298112	0.20497207	1.1320057	42.649353	1
375	CLCNKA	0.01389914	0.029219437	1.0202477	6.098806	1
376	CLCNKB	0.022667494	0.058016255	1.3182055	15.69865	1
378	EPHA2	0.012375006	0.034148894	1.3939396	10.934647	1
519	E2F2	0.0002699591	0.040067498	5.015143	35.306362	1
529	GALE	0.07096052	0.15513085	1.1174781	33.879337	1
576	AUNIP	0.0020425199	0.06348865	4.405707	44.55244	1
579	STMN1	1.20524	2.711372	1.1690379	44.55244	1
592	CEP85	0.041936275	0.093336545	1.1356199	21.614658	1
594	UBXN11	0.018097123	0.04139938	1.1506877	10.370807	1
624	GPR3	0.0017792262	0.012736305	2.3052387	9.10631	1
641	RPA2	0.21004522	0.4788927	1.1851598	44.55244	1
654	RCC1	0.020159382	0.085419185	2.030054	40.627697	1
657	SNHG12	0.03668337	0.08466997	1.1848618	20.32937	1
659	RAB42	0.016354915	0.040745154	1.2662644	11.024271	1
731	ZBTB8B	0.0061486065	0.024764998	1.8496784	12.261126	1
742	TMEM54	0.066490486	0.23413958	1.8007613	44.55244	1
772	ZMYM1	0.06679305	0.14155518	1.0723113	28.875927	1
783	CLSPN	0.016986635	0.46322155	4.6898165	44.55244	1
820	CDCA8	0.0026999465	0.43946978	6.895395	44.55244	1
822	MANEAL	0.0035887845	0.014505263	1.756574	7.264797	1
842	MYCBP	0.13712473	0.29991207	1.1233703	44.55244	1
885	ZNF684	0.053457826	0.108098194	1.002416	20.43627	1
887	RIMS3	0.0076508727	0.01932621	1.2324237	5.9958086	1
896	CTPS1	0.054413922	0.16857807	1.6136293	44.55244	1
917	PPIH	0.11146263	0.29415163	1.3920106	44.55244	1
942	CDC20	0.006076332	0.47000483	6.0565963	44.55244	1
973	KIF2C	0.0024771024	0.4278163	6.94633	44.55244	1
988	TOE1	0.04465414	0.103731066	1.1978719	25.78296	1
990	CCDC163	0.00043587224	0.005963971	2.2779827	5.9844694	1
1008	RAD54L	0.0013973956	0.045366857	4.273554	37.275124	1
1012	FAAH	0.009265274	0.02079864	1.0864661	5.0026283	1
1034	STIL	0.0049769115	0.08523494	3.8508005	44.55244	1
1066	CDKN2C	0.0023058052	0.18007325	5.775428	44.55244	1
1090	ORC1	0.0014166824	0.032179758	3.7792034	25.393896	1
1112	LRP8	0.036698774	0.08660715	1.216531	21.127678	1
1122	NDC1	0.032309476	0.10421952	1.6593978	39.47854	1
1125	HSPB11	0.22033398	0.5436176	1.2990186	44.55244	1
1132	CYB5RL	0.01886115	0.04206342	1.1165136	10.259041	1
1143	MROH7	0.03486414	0.016408414	-1.0427572	8.935421	1
1149	DHCR24	0.11970032	0.28764656	1.2578745	44.55244	1
1183	LINC01135	0.0058119707	0.00059661735	-2.0930536	6.268795	1
1195	CYP2J2	0.007683689	0.026034785	1.6384369	9.8996315	1
1210	USP1	0.22072126	0.6444994	1.5416687	44.55244	1
1226	ITGB3BP	0.05699746	0.3576043	2.6283312	44.55244	1
1251	TCTEX1D1	0.008932028	0.029797528	1.6326543	11.72766	1
1269	DEPDC1	0.018299837	0.7687918	5.3178077	44.55244	1
1352	PTGFR	0.02247627	0.0072590085	-1.5071627	9.797178	1
1401	DDAH1	0.01682539	0.0584017	1.7365706	24.669561	1
1463	CDC7	0.019300839	0.08374931	2.0616622	40.00043	1
1480	CCDC18	0.018215576	0.26316446	3.781088	44.55244	1
1538	SASS6	0.039357554	0.23679322	2.5587971	44.55244	1
1599	GPSM2	0.07424457	0.23688698	1.6606169	44.55244	1
1610	PSRC1	0.006718782	0.18351915	4.5792537	44.55244	1
1647	KCNC4	0.0023645507	0.010733946	1.8022025	6.2911963	1
1652	AL355488.1	0.012766644	0.034430765	1.3638256	10.394589	1
