	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
1	FAM138A	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
2	OR4F5	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
3	AL627309.1	-5.820766e-11	0.002991515	4.950243	0.78473914	0
4	AL627309.3	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
5	AL627309.2	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
6	AL627309.5	0.008465418	0.020029332	1.2327039	0.6146126	0
7	AL627309.4	-5.820766e-11	0.0012401054	3.7442753	0.49792802	0
8	AP006222.2	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
9	AL732372.1	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
10	OR4F29	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
11	AC114498.1	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
12	OR4F16	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
13	AL669831.2	-5.820766e-11	0.0010340019	3.503352	0.4979304	0
14	LINC01409	0.030310087	0.032870892	0.11664316	0.041179962	0
15	FAM87B	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
16	LINC01128	0.12862135	0.13639197	0.08456463	0.071207106	0
17	LINC00115	-5.820766e-11	0.004541614	5.5365553	1.3175267	0
18	FAM41C	-5.820766e-11	0.015462152	7.2818985	3.628936	0
19	AL645608.6	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
20	AL645608.2	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
21	AL645608.4	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
22	LINC02593	-5.820766e-11	0.002652247	4.782539	1.0725468	0
23	SAMD11	0.032463707	0.019764973	-0.7130382	0.2527913	0
24	NOC2L	0.27871984	0.23108223	-0.27030262	0.3812002	0
25	KLHL17	0.08792694	0.010760061	-3.0189128	1.5093468	0
26	PLEKHN1	-5.820766e-11	0.0010994335	3.5842822	0.49792427	0
27	PERM1	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
28	AL645608.7	-5.820766e-11	0.0030308033	4.968462	0.9462173	0
29	HES4	0.44282913	0.45276177	0.031994928	0.051816013	0
30	ISG15	0.26300493	0.39288765	0.5788458	1.6832099	0
31	AL645608.1	-5.820766e-11	0.0013688497	3.8766158	0.49792442	0
32	AGRN	0.28031328	0.24170662	-0.21370086	0.2998976	0
33	AL645608.5	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
34	AL645608.8	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
35	RNF223	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
36	C1orf159	0.043453425	0.031465005	-0.46446013	0.22287741	0
37	AL390719.3	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
38	LINC01342	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
39	AL390719.2	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
40	TTLL10-AS1	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
41	TTLL10	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
42	TNFRSF18	-5.820766e-11	0.002802939	4.859443	0.7992979	0
43	TNFRSF4	0.045581482	0.05067527	0.15251648	0.078544125	0
44	SDF4	0.596419	0.7189877	0.2695997	1.031917	0
45	B3GALT6	0.19844554	0.20743808	0.06390604	0.070396125	0
46	C1QTNF12	0.014714821	0.00097184145	-3.7888777	0.4502074	0
47	AL162741.1	-5.820766e-11	0.0018198243	4.262903	0.8027314	0
48	UBE2J2	0.33394387	0.3445034	0.04489935	0.0643781	0
49	LINC01786	-5.820766e-11	0.0010615811	3.5380187	0.49793017	0
50	SCNN1D	0.007893946	6.693881e-10	-6.3208265	0.49369	0
51	ACAP3	0.10491375	0.09986179	-0.07112954	0.051684987	0
52	PUSL1	0.08859961	0.086718574	-0.030924011	0.021225695	0
53	INTS11	0.2496553	0.22717465	-0.13607852	0.17441124	0
54	AL139287.1	0.013444353	6.693881e-10	-7.081538	0.49369103	0
55	CPTP	0.07552403	0.10429977	0.4652018	0.4141681	0
56	TAS1R3	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
57	DVL1	0.12131908	0.08327593	-0.54229224	0.47261146	0
58	MXRA8	0.019084193	0.009459718	-1.004878	0.20714265	0
59	AURKAIP1	0.79614246	0.93412346	0.23055981	0.9756032	0
60	CCNL2	0.39037466	0.3635614	-0.1026332	0.16428362	0
61	MRPL20-AS1	0.039508797	0.06302005	0.6722775	0.5441474	0
62	MRPL20	0.7520435	0.8434177	0.16541047	0.64886594	0
63	AL391244.2	0.010925009	0.0032095362	-1.7360789	0.3109669	0
64	ANKRD65	-5.820766e-11	0.0014333698	3.9386346	0.49792504	0
65	AL391244.1	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
66	TMEM88B	-5.820766e-11	6.693881e-10	1.0490903e-05	28.77808	0
67	LINC01770	-5.820766e-11	0.0010765346	3.5564728	0.49792442	0
68	VWA1	0.49136847	0.2862895	-0.77912027	2.1875565	0
69	ATAD3C	-5.820766e-11	0.006904502	6.1302114	1.560697	0
70	ATAD3B	0.029291535	0.030869422	0.07544373	0.025202906	0
71	ATAD3A	0.10508853	0.09936727	-0.08068364	0.05139427	0
72	TMEM240	0.04102225	0.05850244	0.5110415	0.41010073	0
73	SSU72	0.8063647	0.70295095	-0.19798218	0.81357914	0
74	AL645728.1	0.029130135	0.020633075	-0.49552235	0.16189691	0
75	FNDC10	0.07108471	0.06080921	-0.224907	0.1393258	0
76	AL691432.4	-5.820766e-11	0.004048884	5.3746524	1.0634127	0
77	AL691432.2	0.011307325	0.018001603	0.6661569	0.3044259	0
78	MIB2	0.1069991	0.09715788	-0.13905929	0.10364987	0
79	MMP23B	0.02375742	0.019967714	-0.24956176	0.081279196	0
80	CDK11B	0.20368136	0.21119545	0.05223967	0.053303875	0
81	FO704657.1	0.012977536	0.0027962027	-2.1748562	0.35594934	0
82	SLC35E2B	0.159092	0.092674986	-0.77896005	0.8425878	0
83	CDK11A	0.19523962	0.14946026	-0.3852577	0.45860898	0
84	SLC35E2A	0.055770773	0.04442614	-0.32744128	0.1667882	0
85	NADK	0.14787404	0.15452965	0.06347276	0.055046227	0
