	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
23	SAMD11	0.01173221	0.069511324	2.469372	16.23905	1
58	MXRA8	0.004258853	0.10397826	4.3191986	35.472897	1
79	MMP23B	0.004160493	0.033261362	2.7310016	8.81111	1
142	SMIM1	0.0018397783	0.039259646	3.8254843	12.692618	1
176	GPR153	0.0035715392	0.051211253	3.513609	16.9448	1
224	GPR157	0.003960264	0.02416118	2.3427107	6.490957	1
227	H6PD	0.046912655	0.0974854	1.0395031	8.357169	1
245	RBP7	0.0072222957	0.04751378	2.5607812	11.764685	1
403	MFAP2	0.25486812	0.5226039	1.0330756	44.25141	1
464	CAMK2N1	0.016526347	0.21664143	3.634356	44.25141	1
659	RAB42	0.00026369176	0.01587793	3.7394214	7.325429	1
697	TINAGL1	0.0010825229	0.02842564	3.8206694	9.862558	1
702	COL16A1	0.005987002	0.07372075	3.4187636	23.786528	1
740	FNDC5	0.00083920895	0.014346227	3.060727	5.0064154	1
783	CLSPN	0.03757629	0.07969387	1.0647447	5.9410753	1
832	POU3F1	0.005500435	0.029041072	2.2083282	7.46693	1
854	HEYL	0.010852022	0.18366183	3.9616807	44.25141	1
963	SLC6A9	0.001255192	0.01965923	3.1954644	6.661461	1
1026	CYP4X1	0.0011108018	0.020631822	3.3572922	7.0403175	1
1049	SPATA6	0.067376785	0.16627416	1.2906361	17.88947	1
1052	BEND5	0.00924077	0.047725208	2.250344	10.733829	1
1200	NFIA	0.20103848	0.68920684	1.7723986	44.25141	1
1208	L1TD1	0.001997714	0.018164158	2.676476	5.277189	1
1211	DOCK7	0.0339032	0.20436393	2.5567517	44.25141	1
1264	GNG12	0.10949579	0.261121	1.2462415	28.773962	1
1345	NEXN	0.03727801	0.079941384	1.0803618	7.1496243	1
1353	IFI44L	1.816079e-08	0.024853015	4.6922345	11.512307	1
1397	SYDE2	0.007341979	0.036382157	2.1638882	8.32022	1
1423	LMO4	0.16230795	0.38121274	1.2267808	39.63235	1
1432	GBP1	0.0030988506	0.042627648	3.4119513	13.596842	1
1463	CDC7	0.023298133	0.054762818	1.198458	5.7589445	1
1481	CCDC18-AS1	0.058050636	0.12097245	1.0465308	10.099523	1
1540	LRRC39	0.0009189126	0.016420666	3.1824389	6.0348015	1
1551	VCAM1	0.00510446	0.057931162	3.271095	16.34613	1
1562	OLFM3	0.0011106067	0.026212305	3.6885295	8.315076	1
1626	GSTM2	0.0055435873	0.028119305	2.1538222	6.61797	1
1636	CSF1	0.0044691176	0.048067313	3.1653821	15.08912	1
1724	OLFML3	0.031515226	0.16310513	2.3354332	34.11219	1
1726	SYT6	0.00047378638	0.01977652	3.8173547	7.7886567	1
1741	NGF	0.0015059159	0.03733029	3.9350748	13.172591	1
1759	IGSF3	0.012427376	0.037897646	1.5345055	5.822446	1
1791	ZNF697	0.027054057	0.09147759	1.7208943	15.854326	1
1792	PHGDH	0.032363676	0.24795644	2.8995433	44.25141	1
1796	NOTCH2	0.0119888615	0.24107014	4.220078	44.25141	1
1803	LINC00623	0.043644574	0.118017055	1.4146117	14.969044	1
1853	TXNIP	0.22328952	0.48733762	1.1225166	40.87813	1
1857	NBPF10	0.0003349894	0.02542298	4.306893	9.772484	1
1858	NOTCH2NLA	0.0009651646	0.044971913	4.5480304	17.908596	1
1869	BCL9	0.018359708	0.07330491	1.9404004	14.376349	1
1888	NBPF14	0.0019684848	0.092884116	4.9830823	34.63612	1
1891	PDE4DIP	0.035934977	0.0817809	1.1643103	8.38093	1
1895	NBPF9	0.0114305	0.035146102	1.5399557	5.6929326	1
1896	AC245297.3	0.04639234	0.14279826	1.6013205	21.643753	1
1898	NOTCH2NLC	0.00024208566	0.026280629	4.4570403	10.6545315	1
1899	NBPF19	0.0016558514	0.06940078	4.728345	24.949965	1
1919	MTMR11	0.010159103	0.03563733	1.7150933	6.3573785	1
1976	SELENBP1	0.0075865276	0.047000363	2.4828985	11.638135	1
2175	MEX3A	0.0589918	0.21747658	1.8646414	39.87121	1
2206	CRABP2	0.012211814	0.1138647	3.120035	30.366623	1
2342	FCGR2A	0.0026131924	0.018566936	2.4370718	5.7255273	1
2354	OLFML2B	0.0006881587	0.049019445	4.8889666	17.983923	1
2364	UAP1	0.04007653	0.08548645	1.0741597	7.915163	1
2366	DDR2	0.011933899	0.17969146	3.804299	44.25141	1
2461	PRRX1	0.00331542	0.06939745	4.0279503	22.221476	1
2477	DNM3OS	0.045758173	0.32963628	2.8219545	44.25141	1
2540	ANGPTL1	0.0035086367	0.03138211	2.8444338	8.958114	1
2589	RGS16	0.075880796	0.21827729	1.5120612	27.994328	1
2611	COLGALT2	0.0027270424	0.019328548	2.4474041	5.4552946	1
2670	RGS2	0.021382377	0.08118499	1.8765117	13.678863	1
2685	KCNT2	1.816079e-08	0.019932056	4.3876157	7.7022448	1
2686	CFH	0.0040272996	0.048709042	3.3056526	15.314189	1
2707	MIR181A1HG	0.121663325	0.26453704	1.114209	23.382402	1
2725	KIF21B	0.018924195	0.07276486	1.8884122	13.424043	1
2737	TNNI1	0.013481714	0.04925988	1.7951747	7.465364	1
2798	REN	0.013860162	0.0639916	2.1288033	6.9224544	1
2801	PLEKHA6	0.0017969151	0.017175596	2.7000942	5.4769583	1
2896	CAMK1G	1.816079e-08	0.014636578	3.9668267	5.967034	1
2899	G0S2	0.008243207	0.15964481	4.119337	41.283398	1
2957	VASH2	0.007166854	0.039106485	2.295983	9.392925	1
2971	CENPF	0.0601009	0.15601572	1.3616436	9.403068	1
2990	TGFB2	0.0035645831	0.05548635	3.629347	17.819323	1
3046	SUSD4	0.0013097228	0.037974786	4.0767493	13.489292	1
3069	ENAH	0.091870196	0.2965619	1.6799022	44.25141	1
3073	EPHX1	0.027042054	0.06793309	1.2976047	8.2127075	1
3122	OBSCN	0.023682095	0.08703494	1.8346114	15.3493185	1
3136	RHOU	0.019506525	0.05581512	1.4701917	7.9123454	1
3145	CCSAP	0.0069317603	0.026888072	1.8139352	5.3436794	1
3325	KIF26B	0.013464451	0.08794173	2.620349	21.036112	1
3513	ID2	0.078439094	0.18055566	1.1924907	16.520754	1
3577	TRIB2	0.050033875	0.37408075	2.877674	44.25141	1
3578	AC064875.1	0.0007565117	0.020982979	3.6456017	8.437822	1
3623	OSR1	0.0058167716	0.02817121	2.0973847	6.5174155	1
3665	KLHL29	0.0061168177	0.031923592	2.2098174	7.807924	1
3686	ADCY3	0.019951712	0.05885766	1.5144677	8.627044	1
