	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
1	FAM138A	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
2	OR4F5	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
3	AL627309.1	0.003108073	0.0028336109	-0.0997579	0.05814596	0
4	AL627309.3	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
5	AL627309.2	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
6	AL627309.5	0.02390147	0.012950698	-0.83589363	1.9214329	0
7	AL627309.4	0.0005485524	-2.6775524e-09	-0.630924	0.49836454	0
8	AP006222.2	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
9	AL732372.1	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
10	OR4F29	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
11	AC114498.1	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
12	OR4F16	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
13	AL669831.2	0.0020815674	0.0012626181	-0.44567138	0.25882873	0
14	LINC01409	0.04122645	0.01964834	-1.0321212	3.883129	0
15	FAM87B	3.1432137e-09	0.00052512914	0.60892683	0.49832654	0
16	LINC01128	0.074319504	0.045370985	-0.6998012	3.5647843	0
17	LINC00115	0.008555681	0.01085628	0.3112207	0.32124332	0
18	FAM41C	0.0036716242	0.006677499	0.7167122	0.7024194	0
19	AL645608.6	0.0022138543	0.0006700705	-0.9443955	0.6897618	0
20	AL645608.2	0.02128962	0.0031870962	-2.4123502	6.363559	1
21	AL645608.4	0.0012463693	0.00052877376	-0.5552201	0.36841682	0
22	LINC02593	0.04662033	0.018362418	-1.2983185	5.712418	1
23	SAMD11	0.41664568	0.097704366	-2.0810935	44.55244	1
24	NOC2L	0.2329055	0.1599332	-0.5394639	6.9153347	0
25	KLHL17	0.028732276	0.015672209	-0.8345846	2.121526	0
26	PLEKHN1	0.0015986705	0.002120302	0.26391202	0.14567447	0
27	PERM1	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
28	AL645608.7	0.0067327283	0.010887961	0.62045187	0.74708253	0
29	HES4	0.47620848	0.52192724	0.13199052	1.5026073	0
30	ISG15	0.22045194	0.16704242	-0.39816815	3.9089103	0
31	AL645608.1	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
32	AGRN	0.12584768	0.14844477	0.23651527	1.2603738	0
33	AL645608.5	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
34	AL645608.8	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
35	RNF223	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
36	C1orf159	0.026190314	0.026676267	0.025556624	0.03310249	0
37	AL390719.3	0.0009608044	-2.6775524e-09	-0.97144943	0.7813503	0
38	LINC01342	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
39	AL390719.2	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
40	TTLL10-AS1	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
41	TTLL10	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
42	TNFRSF18	0.0024241582	0.006009905	1.0336456	1.0129814	0
43	TNFRSF4	0.004340967	0.004240545	-0.027384134	0.015624822	0
44	SDF4	0.40777153	0.36768135	-0.1489203	1.532954	0
45	B3GALT6	0.1428955	0.11423723	-0.32041466	1.9507307	0
46	C1QTNF12	0.040445715	0.019574564	-1.0103611	3.5117917	0
47	AL162741.1	0.001435839	0.0026536612	0.5849241	0.39512435	0
48	UBE2J2	0.25594312	0.18194647	-0.4900274	6.5456963	0
49	LINC01786	0.00086446095	0.0011677131	0.21741521	0.11466119	0
50	SCNN1D	0.0018683999	0.0038110786	0.7461142	0.5854647	0
51	ACAP3	0.103489004	0.07572706	-0.4455437	2.4460466	0
52	PUSL1	0.08411405	0.07599419	-0.14464769	0.43149298	0
53	INTS11	0.15807596	0.15363802	-0.04082077	0.14295587	0
54	AL139287.1	0.0009546442	0.0004480359	-0.43280867	0.27281275	0
55	CPTP	0.05413124	0.042546235	-0.34032208	0.9765122	0
56	TAS1R3	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
57	DVL1	0.051313087	0.038974646	-0.3880867	1.1382315	0
58	MXRA8	0.31381816	0.21784799	-0.52458954	8.602365	0
59	AURKAIP1	0.6707597	0.6500463	-0.04518504	0.46319208	0
60	CCNL2	0.43531683	0.350174	-0.31319	5.345	0
61	MRPL20-AS1	0.04899655	0.022789761	-1.0714877	4.6796703	0
62	MRPL20	0.72875637	0.6637894	-0.13451752	2.4636724	0
63	AL391244.2	0.005956254	0.0015882504	-1.4263334	1.5829492	0
64	ANKRD65	0.0008648456	0.0010891572	0.16386493	0.086270444	0
65	AL391244.1	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
66	TMEM88B	3.1432137e-09	-2.6775524e-09	-8.427174e-06	44.55244	0
67	LINC01770	3.1432137e-09	0.0012089206	1.143337	0.8014386	0
68	VWA1	0.07903832	0.028462749	-1.4417989	10.740965	1
69	ATAD3C	0.003332674	0.0031315084	-0.06858914	0.038374543	0
70	ATAD3B	0.03752596	0.02787245	-0.4161372	1.0155368	0
71	ATAD3A	0.06379466	0.04707993	-0.43044022	1.5726094	0
72	TMEM240	0.07945628	0.043184474	-0.8646655	5.202169	0
73	SSU72	0.56124437	0.5162991	-0.120198585	1.5306118	0
74	AL645728.1	0.021825897	0.011664871	-0.84983915	1.8223864	0
75	FNDC10	0.045851707	0.052240107	0.18441185	0.43187004	0
76	AL691432.4	0.004372619	0.0013693665	-1.1811241	1.1108474	0
77	AL691432.2	0.034419764	0.033174876	-0.05161851	0.078586705	0
78	MIB2	0.09048867	0.062223252	-0.533138	2.8396223	0
79	MMP23B	0.20586593	0.047312457	-2.098229	42.210022	1
