	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
29	HES4	0.7169115	0.25549728	-1.4848626	44.55244	1
32	AGRN	0.17976448	0.06481645	-1.4575909	13.542538	1
45	B3GALT6	0.16252892	0.08058161	-1.0032299	7.0207353	1
52	PUSL1	0.09845415	0.044782408	-1.1192383	5.2230268	1
71	ATAD3A	0.09511569	0.034294773	-1.4453176	7.148484	1
79	MMP23B	0.07282237	0.16340515	1.1551255	7.1001945	1
167	NPHP4	0.025334919	0.0027616299	-2.807547	5.3973045	1
173	ICMT	0.16132328	0.06202453	-1.3648846	11.087277	1
177	ACOT7	0.103291206	0.01489009	-2.7144184	16.761448	1
194	CAMTA1	0.7085497	0.33278763	-1.0879732	37.939423	1
252	CENPS	0.15487382	0.028756328	-2.3891103	22.775465	1
253	CORT	0.026051767	0.0016461812	-3.353739	6.10274	1
280	MAD2L2	0.21818313	0.060005985	-1.8451141	22.589788	1
294	MIIP	0.09990484	0.04258841	-1.2109791	6.1336117	1
350	EFHD2	0.09494136	0.03492777	-1.4170536	7.1125093	1
477	ECE1	0.13578396	0.03068391	-2.1100767	17.5642	1
519	E2F2	0.0595517	1.1641532e-09	-5.9200935	15.718685	1
529	GALE	0.10183724	0.04483354	-1.1658872	5.7875195	1
535	SRSF10	0.9578504	0.4700699	-1.0253646	44.55244	1
552	CLIC4	0.39100572	0.17539762	-1.1520436	21.17588	1
576	AUNIP	0.04959477	0.0052069994	-3.0270202	9.294902	1
592	CEP85	0.052470192	0.01689825	-1.5789162	5.0154414	1
641	RPA2	0.34192744	0.10174039	-1.7388998	33.977867	1
654	RCC1	0.09650163	0.025182864	-1.8968035	10.727955	1
656	TRNAU1AP	0.20299733	0.08628582	-1.2247311	11.806103	1
690	SNRNP40	0.3836431	0.17024712	-1.1674407	21.132345	1
697	TINAGL1	0.027778368	0.0015856443	-3.476389	7.0194387	1
738	YARS	0.2253511	0.10987636	-1.0296105	9.981312	1
762	SMIM12	0.20754176	0.0988149	-1.0630093	9.972315	1
767	GJA4	0.09550325	0.0026886836	-4.7093997	22.954197	1
772	ZMYM1	0.22523578	0.06336263	-1.8135319	22.710594	1
783	CLSPN	0.7173308	0.014512221	-5.533171	44.55244	1
820	CDCA8	0.50719994	0.0056455233	-6.25687	44.55244	1
842	MYCBP	0.16703591	0.063222066	-1.3876286	11.818968	1
854	HEYL	0.21080005	0.042401433	-2.2868884	28.300735	1
896	CTPS1	0.20344892	0.0698341	-1.5292245	16.12448	1
917	PPIH	0.2817549	0.0959375	-1.5444251	23.010197	1
942	CDC20	0.42933607	0.013036984	-4.938159	44.55244	1
943	ELOVL1	0.19112594	0.09085645	-1.0645994	8.886034	1
973	KIF2C	0.53866076	0.004434824	-6.6336756	44.55244	1
988	TOE1	0.11394838	0.04642474	-1.2772745	7.2020974	1
994	NASP	2.0326169	0.88460785	-1.1993079	44.55244	1
1000	MAST2	0.085826986	0.027772482	-1.5934539	7.5913777	1
1008	RAD54L	0.06475641	0.0013068648	-4.833126	16.673582	1
1034	STIL	0.1470863	0.0070310393	-4.2047076	34.824223	1
1064	FAF1	0.176126	0.08116732	-1.1081394	8.861363	1
1066	CDKN2C	0.087417476	1.1641532e-09	-6.466258	23.64976	1
1090	ORC1	0.061358072	1.1641532e-09	-5.9625025	17.372717	1
1122	NDC1	0.06512972	0.016285082	-1.9357713	7.734824	1
1125	HSPB11	0.42536634	0.14784843	-1.5182495	35.097824	1
1126	LRRC42	0.15502708	0.07644548	-1.0105433	6.6810246	1
1133	MRPL37	0.22483271	0.109971955	-1.0250593	9.915254	1
1149	DHCR24	0.1666457	0.040566694	-2.0119157	19.256567	1
1208	L1TD1	0.041235216	0.006541808	-2.4854639	6.3250256	1
1210	USP1	0.6563201	0.12782557	-2.351177	44.55244	1
1226	ITGB3BP	0.5375699	0.07952835	-2.7415648	44.55244	1
1235	CACHD1	0.10029983	0.24685521	1.2908658	12.0883665	1
1269	DEPDC1	0.4281445	0.0043278406	-6.331769	44.55244	1
1292	PTGER3	0.050138555	0.12572224	1.3091866	6.185977	1
1298	NEGR1	0.030816926	0.0015706335	-3.6295986	6.3869643	1
1352	PTGFR	0.024639722	0.13014694	2.3547316	12.09487	1
1376	TTLL7	0.15110439	0.047074024	-1.6617324	13.937771	1
1432	GBP1	0.086457424	0.037297804	-1.1913192	5.1009774	1
1445	LRRC8C	0.041216824	0.00578001	-2.6384587	7.0198984	1
1463	CDC7	0.16387141	0.07210725	-1.1732548	8.861472	1
1479	TMED5	0.23291561	0.09244055	-1.3238674	15.1741495	1
1480	CCDC18	0.28320456	0.016896019	-3.989219	44.55244	1
1482	DR1	0.3007235	0.14877146	-1.0104642	13.078228	1
1488	GCLM	0.12250841	0.0586693	-1.0495486	5.7132435	1
1491	ARHGAP29	0.106256746	0.042081248	-1.3159364	7.0129285	1
1538	SASS6	0.19282971	0.037485443	-2.332405	26.403074	1
1581	VAV3	0.09199325	0.04127872	-1.1371944	5.008864	1
1584	SLC25A24	0.5185536	0.24668626	-1.0687587	25.72953	1
1599	GPSM2	0.3146491	0.095375754	-1.7115794	30.01768	1
1610	PSRC1	0.28866112	0.0041405163	-5.816309	44.55244	1
1612	SORT1	0.12410173	0.054529913	-1.1717647	6.852993	1
1636	CSF1	0.060376897	0.016198501	-1.8354129	7.1050625	1
1649	RBM15	0.11517871	0.026330607	-2.0877564	13.878844	1
1709	SLC16A1-AS1	0.1444824	0.061534155	-1.2181284	8.442243	1
1713	MAGI3	0.15782535	0.07617839	-1.0411724	7.0922756	1
