	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
1	FAM138A	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
2	OR4F5	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
3	AL627309.1	0.0011597774	0.0016386379	0.46478865	0.1324651	0
4	AL627309.3	-1.542503e-09	0.00086199824	3.2660565	0.49829656	0
5	AL627309.2	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
6	AL627309.5	0.01774217	0.016010866	-0.14725706	0.14607511	0
7	AL627309.4	0.0019179856	0.0035111038	0.83952403	0.37692183	0
8	AP006222.2	-1.542503e-09	0.00089122733	3.3092384	0.498289	0
9	AL732372.1	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
10	OR4F29	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
11	AC114498.1	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
12	OR4F16	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
13	AL669831.2	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
14	LINC01409	0.031823725	0.033016324	0.052913595	0.065071985	0
15	FAM87B	0.0005005482	1.2951205e-09	-2.5862615	0.4984129	0
16	LINC01128	0.054367494	0.06497019	0.25660118	0.61050963	0
17	LINC00115	0.012612102	0.009412691	-0.41827717	0.37977797	0
18	FAM41C	0.004414033	0.01057653	1.2419541	1.2270975	0
19	AL645608.6	0.00059679797	1.2951205e-09	-2.8007216	0.49840516	0
20	AL645608.2	0.008324975	0.00050681486	-3.795344	3.351938	0
21	AL645608.4	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
22	LINC02593	0.035552956	0.025402725	-0.48337036	0.96155775	0
23	SAMD11	0.21982221	0.16849858	-0.383401	2.7958994	0
24	NOC2L	0.16915232	0.16516368	-0.034405928	0.10304406	0
25	KLHL17	0.019475624	0.014284048	-0.44458857	0.5662713	0
26	PLEKHN1	0.00057182374	1.2951205e-09	-2.7480643	0.49838185	0
27	PERM1	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
28	AL645608.7	0.005408576	0.011072523	1.0202036	1.0686567	0
29	HES4	0.2376281	0.7114507	1.5816541	44.55244	0
30	ISG15	0.15205686	0.14819083	-0.037130024	0.10710664	0
31	AL645608.1	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
32	AGRN	0.09539471	0.17731696	0.8936512	8.568257	0
33	AL645608.5	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
34	AL645608.8	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
35	RNF223	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
36	C1orf159	0.030197028	0.030571222	0.017709296	0.020366896	0
37	AL390719.3	-1.542503e-09	0.0010315202	3.5002127	0.49830762	0
38	LINC01342	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
39	AL390719.2	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
40	TTLL10-AS1	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
41	TTLL10	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
42	TNFRSF18	0.0010695565	0.0068103787	2.5628033	1.4649097	0
43	TNFRSF4	0.0025964014	0.0035891244	0.45224312	0.1680707	0
44	SDF4	0.27602124	0.38293973	0.47219217	6.852124	0
45	B3GALT6	0.09819162	0.16234039	0.72477007	5.7544894	0
46	C1QTNF12	0.027379751	0.014774775	-0.88550115	1.783628	0
47	AL162741.1	0.0005237514	0.001503246	1.3619527	0.37826928	0
48	UBE2J2	0.17987464	0.24571408	0.44977397	4.1205196	0
49	LINC01786	0.0012277005	1.2951205e-09	-3.730839	0.8015695	0
50	SCNN1D	0.0010750152	0.0022896482	1.0241189	0.3673275	0
51	ACAP3	0.0606402	0.10103045	0.73549384	3.8090193	0
52	PUSL1	0.040399544	0.0954949	1.239028	7.4956503	0
53	INTS11	0.1131056	0.16405758	0.536136	3.63376	0
54	AL139287.1	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
55	CPTP	0.052284535	0.067532346	0.3685724	0.9870504	0
56	TAS1R3	0.00059382623	1.2951205e-09	-2.7945557	0.4983943	0
57	DVL1	0.03647687	0.044973418	0.3013452	0.56999016	0
58	MXRA8	0.17694682	0.15398884	-0.20036857	0.93766135	0
59	AURKAIP1	0.4627058	0.8423247	0.86414087	44.55244	0
60	CCNL2	0.33358103	0.3293102	-0.018584449	0.08070883	0
61	MRPL20-AS1	0.029160343	0.04013292	0.45942986	0.92640483	0
62	MRPL20	0.59057105	0.7560073	0.35623607	9.784922	0
63	AL391244.2	0.0028102042	0.0052338927	0.8740683	0.46978864	0
64	ANKRD65	0.0030937672	0.0019666972	-0.6279322	0.24465318	0
65	AL391244.1	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
66	TMEM88B	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
67	LINC01770	0.0006734494	1.2951205e-09	-2.9512882	0.4983464	0
68	VWA1	0.03404453	0.040319942	0.2434127	0.41483745	0
69	ATAD3C	0.0066169365	0.00175396	-1.8571932	1.4737968	0
70	ATAD3B	0.029441215	0.038475487	0.38495523	0.69108695	0
71	ATAD3A	0.035282046	0.09549405	1.4339032	8.871979	0
72	TMEM240	0.04881641	0.06446304	0.4003901	1.0807533	0
73	SSU72	0.42395496	0.57019466	0.42745632	9.443501	0
74	AL645728.1	0.012523484	0.016303789	0.3779189	0.37535784	0
75	FNDC10	0.03393084	0.055635702	0.71175885	2.1644459	0
76	AL691432.4	0.0026977705	0.0023057668	-0.2177808	0.08159491	0
77	AL691432.2	0.036417477	0.037106548	0.026969476	0.033942703	0
78	MIB2	0.054409716	0.07057897	0.37476754	1.0745252	0
79	MMP23B	0.14795244	0.07139584	-1.0501771	9.742328	0
80	CDK11B	0.13564005	0.2229436	0.71647924	7.8854704	0
81	FO704657.1	0.0004978766	0.003427603	2.5607686	1.1449412	0
82	SLC35E2B	0.09680115	0.09395125	-0.043066636	0.09547145	0
83	CDK11A	0.106894664	0.14642636	0.45362142	2.5635052	0
84	SLC35E2A	0.056414276	0.049075343	-0.20068023	0.40982565	0
85	NADK	0.052964643	0.09555724	0.8501233	4.3433347	0
86	GNB1	0.4925892	0.8252642	0.74435306	37.374916	0
87	AL109917.1	0.0036341217	0.00063037436	-2.354061	1.1749302	0
88	CALML6	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
89	TMEM52	0.0027249749	0.003535139	0.3637725	0.14935479	0
90	CFAP74	0.00058986247	0.0005913028	0.003008964	0.00059793727	0
91	AL391845.2	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
92	GABRD	0.0010401533	0.0036733174	1.7266057	0.72164845	0
93	AL391845.1	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
94	PRKCZ	0.005454951	0.006829819	0.31904346	0.18776976	0
95	AL590822.2	0.0013049049	0.0007922943	-0.65488094	0.17163177	0
96	PRKCZ-AS1	0.007474912	0.0044228313	-0.7440029	0.53328246	0
97	FAAP20	0.50552666	0.6546895	0.37295857	8.8966255	0
98	AL590822.1	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
99	SKI	0.15552701	0.17316481	0.15488623	0.6426809	0
100	AL590822.3	0.0034983498	0.007852229	1.1440238	0.7990087	0
101	MORN1	0.010983231	0.016633756	0.59438294	0.68284035	0
102	AL589739.1	-1.542503e-09	1.2951205e-09	4.093129e-05	44.55244	0
103	AL513477.2	0.0053326013	0.003764035	-0.49153495	0.27551967	0
