	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
519	E2F2	0.0010436202	0.05942815	5.7018924	15.06801	1
576	AUNIP	0.0014558804	0.052144192	5.069468	13.332392	1
592	CEP85	0.012586674	0.051459398	2.0229216	7.796167	1
693	FABP3	0.06603899	0.013680801	-2.2628412	13.06679	1
740	FNDC5	0.0062341746	0.037721314	2.577971	6.5530453	1
767	GJA4	0.42216322	0.0973977	-2.1147025	44.55244	1
783	CLSPN	0.057499535	0.72772247	3.6594574	44.55244	1
820	CDCA8	0.0062052	0.5084522	6.3337097	44.55244	1
942	CDC20	0.003743714	0.42575717	6.7917247	44.55244	1
973	KIF2C	0.0045721065	0.53641623	6.843405	44.55244	1
1008	RAD54L	0.002713962	0.06639492	4.562569	16.502024	1
1034	STIL	0.008512327	0.14639474	4.088302	35.21135	1
1066	CDKN2C	0.000681929	0.08723628	6.8033996	23.174837	1
1090	ORC1	0.0015543549	0.06135249	5.215131	16.312365	1
1166	PLPP3	0.036676858	0.21818128	2.5693183	34.520115	1
1210	USP1	0.15132223	0.6575916	2.1188343	44.55244	1
1226	ITGB3BP	0.08928334	0.5366638	2.5862093	44.55244	1
1269	DEPDC1	0.0034414993	0.4231187	6.9008994	44.55244	1
1292	PTGER3	0.0044236328	0.05152712	3.5125756	10.062082	1
1331	ST6GALNAC3	0.022757601	0.097251676	2.0905318	13.422086	1
1352	PTGFR	0.00057615415	0.024588566	5.190347	5.9749556	1
1480	CCDC18	0.034681402	0.28176516	3.0186172	44.55244	1
1518	DPYD	0.0051261988	0.034661435	2.7336538	6.8191266	1
1538	SASS6	0.034132443	0.18764591	2.4553454	31.087261	1
1562	OLFM3	0.008095294	0.04377903	2.420664	6.6898937	1
1580	NTNG1	0.0044505596	0.050733037	3.4816506	10.427485	1
1610	PSRC1	0.012403245	0.28868774	4.529635	44.55244	1
1766	TTF2	0.036044706	0.21435753	2.5688357	37.06077	1
1903	HIST2H2BF	0.0024110689	0.035149734	3.811239	8.949132	1
1909	HIST2H2AA4	0.0030006678	0.026749777	3.114259	6.0069914	1
1914	HIST2H2AC	0.0646339	0.3110204	2.2648797	44.55244	1
1915	HIST2H2AB	0.0016728422	0.038414907	4.441281	9.843789	1
2124	CKS1B	0.26897168	1.3180777	2.2924824	44.55244	1
2193	IQGAP3	0.0017733251	0.11062195	5.885196	30.187393	1
2314	TSTD1	0.0056021926	0.032290775	2.5059943	5.559289	1
2370	RGS5	1.5282766	0.37951422	-2.0093942	44.55244	1
2374	NUF2	0.007439679	0.5053599	6.06695	44.55244	1
2446	C1orf112	0.011927118	0.08301414	2.788803	15.523937	1
2495	CENPL	0.03265468	0.22163741	2.7590792	41.890625	1
2693	ASPM	0.017109502	1.1465422	6.058066	44.55244	1
2719	KIF14	0.002798661	0.3660224	6.980796	44.55244	1
2759	UBE2T	0.033586238	0.6130439	4.1859946	44.55244	1
2925	NEK2	0.0015540131	0.2566825	7.2784324	44.55244	1
2931	DTL	0.011599518	0.24800888	4.406452	44.55244	1
2946	ATF3	0.09492497	0.02327742	-2.023191	15.730366	1
2971	CENPF	0.05035837	1.9163787	5.2472205	44.55244	1
3136	RHOU	0.022418993	0.12983033	2.5285242	19.95571	1
3268	CHRM3	0.01684846	0.09357696	2.46654	14.166709	1
3269	CHRM3-AS2	0.011727396	0.0495921	2.070884	6.7506633	1
3291	EXO1	0.0011113627	0.08114437	6.067565	22.04661	1
3325	KIF26B	0.037922878	0.18103859	2.252154	26.367903	1
3343	ZNF695	0.0043964195	0.07601048	4.0812464	18.129541	1
3542	RRM2	0.006686468	0.63271976	6.5429897	44.55244	1
3612	GEN1	0.030409142	0.1444423	2.2441783	22.207575	1
3685	CENPO	0.023444392	0.1614344	2.778386	30.144102	1
3714	CENPA	0.0012394043	0.37536314	8.130936	44.55244	1
4264	EVA1A	0.01737167	0.105815105	2.599819	18.397247	1
4280	LRRTM4	0.0035908213	0.025692264	2.8049245	5.1389112	1
4496	NCAPH	0.010983096	0.31905237	4.8478127	44.55244	1
4673	SH3RF3	0.002928698	0.027414193	3.1834064	5.8097897	1
4689	BUB1	0.0063608657	0.38429013	5.8947	44.55244	1
4709	FBLN7	0.002870193	0.033821836	3.5135858	7.689272	1
