	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
1	FAM138A	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
2	OR4F5	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
3	AL627309.1	0.0011105449	0.002040788	0.82248557	0.24153657	0
4	AL627309.3	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
5	AL627309.2	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
6	AL627309.5	0.011041267	0.017042888	0.6216969	0.6480601	0
7	AL627309.4	0.0010743976	0.0023929938	1.0859585	0.31931308	0
8	AP006222.2	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
9	AL732372.1	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
10	OR4F29	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
11	AC114498.1	9.749783e-10	0.0011768528	3.6745062	0.49830297	0
12	OR4F16	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
13	AL669831.2	0.0017210223	0.00092833856	-0.82443327	0.24980941	0
14	LINC01409	0.032879937	0.03278283	-0.0042541516	0.0046514194	0
15	FAM87B	0.0023690322	0.00087765564	-1.3365475	0.50443506	0
16	LINC01128	0.06992833	0.04498004	-0.6354498	2.1408412	0
17	LINC00115	0.0066279424	0.004047227	-0.6980184	0.43577296	0
18	FAM41C	0.006407683	0.004096867	-0.6328312	0.38410506	0
19	AL645608.6	0.00056254555	1.3242243e-09	-2.7280006	0.49842232	0
20	AL645608.2	0.00050120417	0.0033757032	2.531378	0.8114196	0
21	AL645608.4	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
22	LINC02593	0.019403314	0.041534267	1.0940522	2.4999917	0
23	SAMD11	0.094033435	0.12936868	0.45982394	1.9577742	0
24	NOC2L	0.16837314	0.1311237	-0.36049014	1.9251654	0
25	KLHL17	0.011975625	0.013741422	0.19689444	0.15108432	0
26	PLEKHN1	9.749783e-10	0.0021428892	4.4872723	0.7921671	0
27	PERM1	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
28	AL645608.7	0.015126768	0.013220302	-0.1929829	0.16413234	0
29	HES4	1.0891612	0.6243388	-0.80271775	44.55244	0
30	ISG15	0.20921731	0.16468316	-0.34512275	2.155639	0
31	AL645608.1	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
32	AGRN	0.22670749	0.25266615	0.15633495	0.76525325	0
33	AL645608.5	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
34	AL645608.8	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
35	RNF223	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
36	C1orf159	0.020413479	0.021611908	0.081914425	0.07610056	0
37	AL390719.3	9.749783e-10	0.0017992997	4.2473817	0.80304915	0
38	LINC01342	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
39	AL390719.2	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
40	TTLL10-AS1	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
41	TTLL10	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
42	TNFRSF18	0.000645364	0.007865609	3.4177675	1.7374544	0
43	TNFRSF4	0.0030889479	0.0021196858	-0.52272505	0.1965488	0
44	SDF4	0.39091933	0.33279946	-0.2321534	2.0719602	0
45	B3GALT6	0.1394612	0.09712415	-0.5215113	2.92139	0
46	C1QTNF12	0.016244423	0.011159625	-0.5376396	0.573739	0
47	AL162741.1	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
48	UBE2J2	0.2213475	0.19650485	-0.17166582	0.81849605	0
49	LINC01786	0.00163167	1.3242243e-09	-4.1140733	1.0560668	0
50	SCNN1D	0.0018181385	0.0012168437	-0.54262275	0.1494711	0
51	ACAP3	0.089533076	0.06153624	-0.5402523	2.0546658	0
52	PUSL1	0.078773424	0.049645334	-0.66497797	2.5594509	0
53	INTS11	0.14758764	0.11130849	-0.4066899	2.062309	0
54	AL139287.1	0.00052353175	1.3242243e-09	-2.640444	0.49839044	0
55	CPTP	0.04595023	0.04394922	-0.06409185	0.09018071	0
56	TAS1R3	9.749783e-10	1.3242243e-09	4.987488e-06	18.296759	0
57	DVL1	0.056535352	0.032322153	-0.80472285	2.5738273	0
