	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	6.6356733e-09	-3.608875e-09	-1.4790584e-05	44.55244	0
1	FAM138A	6.6356733e-09	-3.608875e-09	-1.4790584e-05	44.55244	0
2	OR4F5	6.6356733e-09	-3.608875e-09	-1.4790584e-05	44.55244	0
3	AL627309.1	0.0035313074	-3.608875e-09	-2.1799326	2.033312	0
4	AL627309.3	0.00032879936	-3.608875e-09	-0.4101284	0.49830025	0
5	AL627309.2	6.6356733e-09	-3.608875e-09	-1.4790584e-05	44.55244	0
6	AL627309.5	0.041790314	0.010308119	-1.9199253	5.017924	1
7	AL627309.4	0.003928772	-3.608875e-09	-2.3012335	2.02763	0
8	AP006222.2	6.6356733e-09	-3.608875e-09	-1.4790584e-05	44.55244	0
9	AL732372.1	6.6356733e-09	-3.608875e-09	-1.4790584e-05	44.55244	0
10	OR4F29	6.6356733e-09	-3.608875e-09	-1.4790584e-05	44.55244	0
11	AC114498.1	6.6356733e-09	-3.608875e-09	-1.4790584e-05	44.55244	0
12	OR4F16	6.6356733e-09	-3.608875e-09	-1.4790584e-05	44.55244	0
13	AL669831.2	0.0004422994	-3.608875e-09	-0.52837586	0.49830547	0
14	LINC01409	0.04685422	0.04953099	0.07852237	0.08403503	0
15	FAM87B	0.0003053689	-3.608875e-09	-0.3844627	0.49833274	0
16	LINC01128	0.09155083	0.0938164	0.03489079	0.052004	0
17	LINC00115	0.01072588	0.0051257443	-0.9367391	0.7000736	0
18	FAM41C	0.006939022	0.014981691	1.0093868	0.69380695	0
19	AL645608.6	0.0010821257	0.0022686902	0.6506555	0.20712115	0
20	AL645608.2	0.007978686	0.001916126	-1.6224513	1.3537254	0
21	AL645608.4	0.0011961231	-3.608875e-09	-1.1349641	0.79739195	0
22	LINC02593	0.006261381	0.021915676	1.6580191	1.3918724	0
23	SAMD11	0.05861006	0.09325283	0.66098017	1.3814824	0
24	NOC2L	0.22565772	0.22972761	0.0256754	0.059127353	0
25	KLHL17	0.025670722	0.02161214	-0.23815937	0.19533524	0
26	PLEKHN1	0.004013594	0.0070317267	0.679865	0.30818662	0
27	PERM1	0.00037812116	-3.608875e-09	-0.4627079	0.49829528	0
28	AL645608.7	0.014086796	0.022300916	0.6271002	0.51467174	0
29	HES4	0.5383508	1.2303065	1.1908941	44.55244	1
30	ISG15	0.24888295	0.36289153	0.5422559	3.8045034	0
31	AL645608.1	6.6356733e-09	-3.608875e-09	-1.4790584e-05	44.55244	0
32	AGRN	0.15840545	0.13635163	-0.21482696	0.5715111	0
33	AL645608.5	6.6356733e-09	-3.608875e-09	-1.4790584e-05	44.55244	0
