,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM-EC,VEGFA-FLT1-complex,CM-EC,0.8741058655221746,0.001,,0.8741058655221746,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM-EC,VEGFA-KDR,CM-EC,0.8741058655221746,0.001,,0.8741058655221746,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS043E22BF5---VEGFA-NRP1---CM-EC,VEGFA-NRP1,CM-EC,0.8370577281191808,0.001,,0.8370577281191808,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CM-EC,VEGFA-NRP2,CM-EC,0.8525963149078728,0.001,,0.8525963149078728,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS07361522F---PGF-FLT1---CM-EC,PGF-FLT1,CM-EC,0.8597097442985489,1.0,0.8597097442985489,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM-EC,VEGFA-FLT1,CM-EC,0.9130650769995033,0.001,,0.9130650769995033,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS015B29D3F---APOA1-ABCA1---CM-EC,APOA1-ABCA1,CM-EC,0.10134529147982062,0.02,,0.10134529147982062,1.0,1.6989700043360187,yes,False,Ligand-Receptor,Signaling by Apolipoprotein
CPI-CS0406B0B69---Cholesterol-byLIPA-RORA---CM-EC,Cholesterol-byLIPA-RORA,CM-EC,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Cholesterol
CPI-SS087E0E3FB---EFNB2-EPHA4---CM-EC,EFNB2-EPHA4,CM-EC,0.0397196261682243,1.0,0.0397196261682243,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0B70EB09E---PDGFA-PDGFRA---CM-EC,PDGFA-PDGFRA,CM-EC,0.022421524663677132,1.0,0.022421524663677132,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS0A28DCA72---CXCL12-CXCR4---CM-EC,CXCL12-CXCR4,CM-EC,0.8610526315789474,0.001,,0.8610526315789474,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS052ADA696---JAG1-NOTCH1---CM-EC,JAG1-NOTCH1,CM-EC,0.34444444444444444,0.001,,0.34444444444444444,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS036B08188---PLAU-PLAUR---CM-EC,PLAU-PLAUR,CM-EC,0.27678571428571425,1.0,0.27678571428571425,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Plasminogen Activator
CPI-SS0BDC2B411---F2-F2RL3---CM-EC,F2-F2RL3,CM-EC,0.16465863453815263,1.0,0.16465863453815263,,0.0,0.0,no,False,Ligand-Receptor,Adhesion by Prothrombin
CPI-SS09B583B3F---F2-THBD---CM-EC,F2-THBD,CM-EC,0.2827586206896552,1.0,0.2827586206896552,,0.0,0.0,no,False,Ligand-Receptor,Adhesion by Prothrombin
CPI-SS052119104---AREG-EGFR---CM-EC,AREG-EGFR,CM-EC,0.20221606648199444,1.0,0.20221606648199444,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS0AFCA0602---DLL4-NOTCH1---CM-EC,DLL4-NOTCH1,CM-EC,0.4759206798866856,1.0,0.4759206798866856,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS032AD1183---NPPA-NPR1---CM-EC,NPPA-NPR1,CM-EC,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Neuropeptide precursor
CPI-SS00373B59C---LRRC4C-PTPRF---CM-EC,LRRC4C-PTPRF,CM-EC,0.24038461538461542,1.0,0.24038461538461542,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Leucine Rich Repeat And Fibronectin
