,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS0B70EB09E---PDGFA-PDGFRA---EC-SM,PDGFA-PDGFRA,EC-SM,0.3185404339250493,1.0,0.3185404339250493,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS0C93E48D7---THBS1-CD36---EC-SM,THBS1-CD36,EC-SM,0.5482980680772769,0.001,,0.5482980680772769,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Thrombospondin precursor
CPI-SS0B99F22A2---JAG1-NOTCH3---EC-SM,JAG1-NOTCH3,EC-SM,0.4931945556445156,0.001,,0.4931945556445156,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS0D681D90E---SDC2-ADGRA2---EC-SM,SDC2-ADGRA2,EC-SM,0.3552188552188552,0.248,0.3552188552188552,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Syndecan
CPI-SS065D9259F---PGF-NRP2---EC-SM,PGF-NRP2,EC-SM,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS04829AC68---GJA1-GJA1---EC-SM,GJA1-GJA1,EC-SM,1.0,0.001,,1.0,1.0,3.0,yes,False,Gap-Gap,Adhesion by GAP junction
CPI-SC0B51DC960---PGF-FLT1-complex---EC-SM,PGF-FLT1-complex,EC-SM,0.8378378378378378,1.0,0.8378378378378378,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS07361522F---PGF-FLT1---EC-SM,PGF-FLT1,EC-SM,0.9430438842203549,0.001,,0.9430438842203549,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS04C672963---ESAM-ESAM---EC-SM,ESAM-ESAM,EC-SM,1.0,0.001,,1.0,1.0,3.0,yes,False,Adhesion-Adhesion,
CPI-SS0A28DCA72---CXCL12-CXCR4---EC-SM,CXCL12-CXCR4,EC-SM,0.05851755526657997,1.0,0.05851755526657997,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS0BA601DC4---BDNF-NTRK2---EC-SM,BDNF-NTRK2,EC-SM,0.5381679389312977,1.0,0.5381679389312977,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Brain-derived neurotrophic factor
CPI-CS0917E42F5---DHEAsulfate-bySULT1E1-PPARG---EC-SM,DHEAsulfate-bySULT1E1-PPARG,EC-SM,0.4319727891156463,1.0,0.4319727891156463,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Dehydroepiandrosterone
CPI-SS0D8632EB4---EDN1-EDNRA---EC-SM,EDN1-EDNRA,EC-SM,0.8940269749518305,1.0,0.8940269749518305,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Endothelin
CPI-SS007AA9FDE---DLK1-NOTCH3---EC-SM,DLK1-NOTCH3,EC-SM,0.8055987558320373,1.0,0.8055987558320373,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0B70EB09E---PDGFA-PDGFRA---FB-SM,PDGFA-PDGFRA,FB-SM,0.45266272189349116,0.492,0.45266272189349116,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS0C93E48D7---THBS1-CD36---FB-SM,THBS1-CD36,FB-SM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Thrombospondin precursor
