,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS065D9259F---PGF-NRP2---EC-PV,PGF-NRP2,EC-PV,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS07361522F---PGF-FLT1---EC-PV,PGF-FLT1,EC-PV,0.6902552204176333,0.001,,0.6902552204176333,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SC0B51DC960---PGF-FLT1-complex---EC-PV,PGF-FLT1-complex,EC-PV,0.787037037037037,1.0,0.787037037037037,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS04C672963---ESAM-ESAM---EC-PV,ESAM-ESAM,EC-PV,1.0,0.001,,1.0,1.0,3.0,yes,False,Adhesion-Adhesion,
CPI-SS0B70EB09E---PDGFA-PDGFRA---EC-PV,PDGFA-PDGFRA,EC-PV,0.6776750330250991,0.001,,0.6776750330250991,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS0C93E48D7---THBS1-CD36---EC-PV,THBS1-CD36,EC-PV,0.40914560770156444,0.001,,0.40914560770156444,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Thrombospondin precursor
CPI-SS0B99F22A2---JAG1-NOTCH3---EC-PV,JAG1-NOTCH3,EC-PV,0.10466760961810469,1.0,0.10466760961810469,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0D681D90E---SDC2-ADGRA2---EC-PV,SDC2-ADGRA2,EC-PV,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Syndecan
CPI-SS0A28DCA72---CXCL12-CXCR4---EC-PV,CXCL12-CXCR4,EC-PV,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS0D8632EB4---EDN1-EDNRA---EC-PV,EDN1-EDNRA,EC-PV,0.9227799227799227,1.0,0.9227799227799227,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Endothelin
CPI-SS0F1E79A03---WNT5A-SFRP1---EC-PV,WNT5A-SFRP1,EC-PV,0.9691629955947136,0.001,,0.9691629955947136,1.0,3.0,yes,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS007AA9FDE---DLK1-NOTCH3---EC-PV,DLK1-NOTCH3,EC-PV,0.3608087091757387,1.0,0.3608087091757387,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-CS0917E42F5---DHEAsulfate-bySULT1E1-PPARG---EC-PV,DHEAsulfate-bySULT1E1-PPARG,EC-PV,0.6535433070866142,1.0,0.6535433070866142,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Dehydroepiandrosterone
CPI-SS0BE3D537D---CDH7-CDH7---EC-PV,CDH7-CDH7,EC-PV,0.6162162162162163,1.0,0.6162162162162163,,0.0,0.0,no,False,Adhesion-Adhesion,Adhesion by Cadherin
CPI-SS007954822---WNT5A-FRZB---EC-PV,WNT5A-FRZB,EC-PV,0.9244604316546762,0.047,,0.9244604316546762,1.0,1.3279021420642825,yes,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS065D9259F---PGF-NRP2---PV-EC,PGF-NRP2,PV-EC,0.39463087248322154,0.135,0.39463087248322154,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
