gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV	UN
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.001	0.0	0.242	0.0	0.005
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.002	0.0	1.282	0.007	0.009
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.003	0.0	0.0	0.0	0.002
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CS0C61C245A	ALDH1A3	0.0	0.0	0.0	0.008	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS0F0453B03	PTGES	0.005	0.0	0.0	0.035	0.002
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.005	0.0	0.0	0.035	0.002
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.001	0.787	0.0	0.006	0.002
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.002	0.0	0.044	0.023	0.001
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.009	0.028	0.005	0.064	0.007
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	CEACAM6	0.0	0.0	0.014	0.0	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.006	0.0	0.0	0.004	0.003
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS0EEFFA23C	LRRTM1	0.001	0.0	0.0	0.006	0.005
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.009	0.0	0.0	0.013	0.058
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.005	0.007	0.0	0.016	0.004
FN1	P02751	False	FINC_HUMAN		CPI-SC034EE8AAA	FN1	0.295	0.761	1.792	2.86	0.324
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC06C0A2080	VCAM1	1.448	0.026	0.153	0.033	0.541
GJA1	P17302	False	CXA1_HUMAN		CPI-SS04829AC68	GJA1	0.198	0.903	0.018	0.52	0.055
F2	P00734	False	THRB_HUMAN		CPI-SS058209EC7	F2	0.001	0.0	0.895	0.0	0.003
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.026	0.129	0.005	0.085	0.011
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	AGT	0.038	0.0	0.955	0.057	0.017
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.005	0.019	0.0	0.007	0.004
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.006	0.0	0.0	0.004	0.003
