,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS0F1E79A03---WNT5A-SFRP1---CM-PV,WNT5A-SFRP1,CM-PV,0.9159763313609468,1.0,0.9159763313609468,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS007AA9FDE---DLK1-NOTCH3---CM-PV,DLK1-NOTCH3,CM-PV,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS046F8AD8B---VEGFA-NRP2---CM-PV,VEGFA-NRP2,CM-PV,0.6323296354992075,0.001,,0.6323296354992075,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CM-PV,VEGFA-FLT1-complex,CM-PV,0.24491869918699186,1.0,0.24491869918699186,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CM-PV,VEGFA-KDR,CM-PV,0.24491869918699186,1.0,0.24491869918699186,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS07361522F---PGF-FLT1---CM-PV,PGF-FLT1,CM-PV,0.06997282608695651,1.0,0.06997282608695651,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CM-PV,VEGFA-FLT1,CM-PV,0.24388586956521743,0.001,,0.24388586956521743,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS04C672963---ESAM-ESAM---CM-PV,ESAM-ESAM,CM-PV,,1.0,,,1.0,0.0,no,False,Adhesion-Adhesion,
CPI-SS04829AC68---GJA1-GJA1---CM-PV,GJA1-GJA1,CM-PV,0.25621118012422356,1.0,0.25621118012422356,,0.0,0.0,no,False,Gap-Gap,Adhesion by GAP junction
CPI-SS065D9259F---PGF-NRP2---CM-PV,PGF-NRP2,CM-PV,0.2285714285714286,1.0,0.2285714285714286,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0A28DCA72---CXCL12-CXCR4---CM-PV,CXCL12-CXCR4,CM-PV,0.22002820874471088,1.0,0.22002820874471088,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-SC0B51DC960---PGF-FLT1-complex---CM-PV,PGF-FLT1-complex,CM-PV,0.0029940119760479,1.0,0.0029940119760479,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS087E0E3FB---EFNB2-EPHA4---CM-PV,EFNB2-EPHA4,CM-PV,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0B70EB09E---PDGFA-PDGFRA---CM-PV,PDGFA-PDGFRA,CM-PV,0.44725738396624476,1.0,0.44725738396624476,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS075F456AF---TENM3-ADGRL2---CM-PV,TENM3-ADGRL2,CM-PV,0.6365914786967418,1.0,0.6365914786967418,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS08BFFB96E---FLRT3-ADGRL2---CM-PV,FLRT3-ADGRL2,CM-PV,0.4291044776119403,1.0,0.4291044776119403,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS0B99F22A2---JAG1-NOTCH3---CM-PV,JAG1-NOTCH3,CM-PV,0.5421686746987954,0.001,,0.5421686746987954,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-CS0917E42F5---DHEAsulfate-bySULT1E1-PPARG---CM-PV,DHEAsulfate-bySULT1E1-PPARG,CM-PV,0.24316109422492402,1.0,0.24316109422492402,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Dehydroepiandrosterone
