	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
79	MMP23B	0.25756967	0.16345002	-0.6557908	38.58401	1
82	SLC35E2B	0.06220927	0.08854532	0.5085977	9.18865	1
109	PANK4	0.025595495	0.04974436	0.95591486	14.712159	1
172	RNF207	0.07225271	0.048172582	-0.5838432	9.604264	1
176	GPR153	0.03282072	0.046988793	0.51638776	5.0824637	1
177	ACOT7	0.0681671	0.042777993	-0.67095304	12.034757	1
204	PER3	0.06293655	0.104677126	0.7330632	18.90947	1
263	AL109811.2	0.021295685	0.037940755	0.8302261	9.211424	1
273	DISP3	0.00084965496	0.0049283532	2.4046106	5.401866	1
287	NPPA	0.68871015	0.33512762	-1.0389655	44.55244	1
288	NPPB	0.13770759	0.027745865	-2.3071203	44.55244	1
350	EFHD2	0.14464211	0.21349122	0.5613676	24.105036	1
403	MFAP2	0.1333877	0.22487344	0.7530479	40.518333	1
571	AL031280.1	0.027997905	0.01560189	-0.8395244	7.43795	1
627	BX293535.1	0.008273069	0.016692655	1.004002	5.43473	1
672	PTPRU	0.02738567	0.040502593	0.5628922	5.0469255	1
740	FNDC5	0.047064606	0.080732204	0.7772255	15.900051	1
783	CLSPN	0.07390874	0.04758253	-0.6342349	7.7462397	1
820	CDCA8	0.063473314	0.03657281	-0.7937104	9.400434	1
902	FOXO6	0.034992453	0.056870956	0.69906586	9.818324	1
942	CDC20	0.07093774	0.040051837	-0.8231197	10.131144	1
955	ARTN	0.13272698	0.23504841	0.8240233	44.55244	1
963	SLC6A9	0.010731636	0.02075924	0.94543546	5.996913	1
973	KIF2C	0.06011792	0.032799095	-0.872145	10.638216	1
1034	STIL	0.015442539	0.00813597	-0.91621184	5.383077	1
1121	GLIS1	0.029533751	0.05520818	0.9002517	12.058636	1
1149	DHCR24	0.2283137	0.13682406	-0.7382732	44.55244	1
1166	PLPP3	0.111582175	0.16972569	0.6046557	20.809708	1
1195	CYP2J2	0.028214207	0.016252384	-0.79202515	6.500857	1
1206	AC099791.2	0.015773498	0.028696572	0.85927707	7.2344074	1
1244	LEPR	0.049151868	0.0786888	0.6778121	12.65787	1
1266	DIRAS3	0.15565689	0.22809148	0.5509489	18.702145	1
1269	DEPDC1	0.12542498	0.07104321	-0.8191765	16.721518	1
1288	CTH	0.017294781	0.03491219	1.009203	10.260176	1
1292	PTGER3	0.07515476	0.1142213	0.6032394	12.09875	1
1326	RABGGTB	0.13488147	0.20519349	0.6049265	29.58671	1
1353	IFI44L	0.0041774027	0.022744672	2.4170508	19.494053	1
1354	IFI44	0.0042271903	0.01131653	1.3996218	6.0511274	1
1379	AL359504.2	0.05316569	0.10126798	0.92832357	27.157917	1
1381	SAMD13	0.019998617	0.035850707	0.83892405	8.6319065	1
1393	LPAR3	0.058233287	0.09543204	0.7116653	15.870187	1
1401	DDAH1	0.042599466	0.022759791	-0.9014058	12.48508	1
1405	CCN1	0.1627339	0.089639165	-0.8595915	35.47446	1
1464	TGFBR3	0.030904558	0.0549489	0.8282334	12.570556	1
1518	DPYD	0.012040785	0.022236427	0.8795368	6.0277195	1
