	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1744	CASQ2	0.007872476	0.00707476	-0.15209734	0.2622086	0
3258	RYR2	1.0018291	0.9064032	-0.14439645	15.172667	0
3886	SLC8A1	1.6656885	1.4786795	-0.17179823	44.55244	0
5516	ACADL	0.061861787	0.04599397	-0.4268008	4.8189697	0
6258	SCN5A	0.04311599	0.035621244	-0.2747828	1.7464031	0
12519	GJA1	0.2630058	0.19755292	-0.41267365	16.129215	0
14197	LMOD2	0.34365234	0.18279786	-0.91033113	44.55244	1
14592	KCNH2	0.3261163	0.34052113	0.062339023	1.1324699	0
21012	CACNA1C	0.21512215	0.19966035	-0.10755631	1.6868353	0
22502	MYL2	0.23157442	0.0947071	-1.2890316	44.55244	1
23960	MYH7	1.3009285	0.364777	-1.8341705	44.55244	1
29708	KCNJ2	0.0059727896	0.0043678703	-0.44277215	0.7923026	0
32703	TNNI3	0.101203434	0.050111312	-1.0125988	22.744146	1
