	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1744	CASQ2	0.007872476	0.013800462	0.802033	2.7251747	0
3258	RYR2	1.0018291	1.1520809	0.20158672	27.5826	0
3886	SLC8A1	1.6656885	1.7127118	0.04016144	3.839219	0
5516	ACADL	0.061861787	0.09754033	0.65609837	10.985838	1
6258	SCN5A	0.04311599	0.045408364	0.07456665	0.26205346	0
12519	GJA1	0.2630058	0.36951688	0.4903877	24.49065	0
14197	LMOD2	0.34365234	0.45155033	0.39383677	19.085264	0
14592	KCNH2	0.3261163	0.39422974	0.27357367	11.5451145	0
21012	CACNA1C	0.21512215	0.25918555	0.26871517	6.947069	0
22502	MYL2	0.23157442	0.4797252	1.0504102	44.55244	1
23960	MYH7	1.3009285	1.5780913	0.27861947	24.497042	0
29708	KCNJ2	0.0059727896	0.008191049	0.44919527	0.7675675	0
32703	TNNI3	0.101203434	0.11438238	0.17644253	1.2250345	0
