	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1744	CASQ2	0.0109030465	0.0062758173	-0.7872209	2.5310178	0
3258	RYR2	0.9034251	0.80605215	-0.16451249	12.6883955	0
3886	SLC8A1	1.6088961	1.2915329	-0.3169648	44.55244	0
5516	ACADL	0.040606577	0.073482946	0.8541095	11.745944	1
6258	SCN5A	0.038996328	0.03466096	-0.16956507	0.69415766	0
12519	GJA1	0.24403372	0.19821118	-0.29990557	6.787599	0
14197	LMOD2	0.37784052	0.27116388	-0.47846222	23.510227	0
14592	KCNH2	0.35754403	0.34209862	-0.06369042	0.9846396	0
21012	CACNA1C	0.25046128	0.19461367	-0.36380932	12.211998	0
22502	MYL2	0.22729325	0.27399752	0.2694997	3.1025777	0
23960	MYH7	0.998239	0.8996001	-0.15008555	4.2139826	0
29708	KCNJ2	0.0058769407	0.0052093863	-0.17086212	0.20166084	0
32703	TNNI3	0.11028961	0.06005511	-0.87584525	17.804813	1
