	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1744	CASQ2	0.00707476	0.013800462	0.95413035	3.337101	0
3258	RYR2	0.9064032	1.1520809	0.34598327	44.55244	0
3886	SLC8A1	1.4786795	1.7127118	0.21195972	44.55244	0
5516	ACADL	0.04599397	0.09754033	1.0828991	22.617357	1
6258	SCN5A	0.035621244	0.045408364	0.3493494	2.030855	0
12519	GJA1	0.19755292	0.36951688	0.90306133	44.55244	1
14197	LMOD2	0.18279786	0.45155033	1.304168	44.55244	1
14592	KCNH2	0.34052113	0.39422974	0.21123464	7.0845947	0
21012	CACNA1C	0.19966035	0.25918555	0.37627155	11.78494	0
22502	MYL2	0.0947071	0.4797252	2.3394418	44.55244	1
23960	MYH7	0.364777	1.5780913	2.1127899	44.55244	1
29708	KCNJ2	0.0043678703	0.008191049	0.8919674	1.837929	0
32703	TNNI3	0.050111312	0.11438238	1.1890413	22.411585	1
