	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
23	SAMD11	0.3458674	0.1929588	-0.8415957	44.55244	1
29	HES4	0.32187995	0.22675277	-0.50521445	24.21008	1
79	MMP23B	0.32066667	0.13260724	-1.273277	44.55244	1
83	CDK11A	0.1137842	0.07582398	-0.58494014	11.29632	1
109	PANK4	0.019871997	0.05620296	1.4952323	30.062601	1
142	SMIM1	0.14407408	0.20602895	0.5157353	17.583597	1
172	RNF207	0.18421209	0.056547467	-1.7020674	44.55244	1
173	ICMT	0.22689219	0.14201696	-0.6755638	29.52032	1
204	PER3	0.04899793	0.097779624	0.9953463	25.037718	1
277	FBXO2	0.16859838	0.2423756	0.5233934	20.696129	1
283	C1orf167	0.026991919	0.014392068	-0.90259904	5.7345963	1
287	NPPA	0.56527364	0.2985795	-0.9206064	44.55244	1
288	NPPB	0.12992433	0.024160434	-2.4221044	38.072205	1
336	PDPN	0.112466924	0.2034214	0.85439754	41.448296	1
350	EFHD2	0.089987546	0.21165127	1.232971	44.55244	1
354	CASP9	0.050791048	0.08441154	0.7317365	13.558794	1
428	ALDH4A1	0.07728633	0.045839958	-0.7523293	11.3679495	1
497	ZBTB40	0.060749494	0.04160215	-0.5451235	5.3660817	1
572	SELENON	0.1857127	0.124781616	-0.573288	17.955324	1
576	AUNIP	0.017856304	0.006311635	-1.4857262	8.186478	1
581	EXTL1	0.03240515	0.01226516	-1.3943875	12.37385	1
586	FAM110D	0.07831203	0.051734895	-0.59715134	7.897297	1
627	BX293535.1	0.0066647986	0.01652509	1.2972434	7.042918	1
651	SESN2	0.09237329	0.16229941	0.8124377	28.77338	1
666	EPB41	0.18623602	0.2704404	0.53793734	25.131151	1
687	SDC3	0.33838955	0.50744474	0.58442384	44.55244	1
721	TMEM234	0.09557906	0.06640513	-0.5247375	8.035734	1
737	KIAA1522	0.009375553	0.022054596	1.2253242	9.027981	1
738	YARS	0.22865388	0.3873086	0.7600597	44.55244	1
742	TMEM54	0.085533984	0.13426751	0.649929	17.848364	1
774	SFPQ	0.86755276	0.6033527	-0.523877	44.55244	1
783	CLSPN	0.11359147	0.047660735	-1.251227	26.562317	1
820	CDCA8	0.07068611	0.046052497	-0.61705756	5.891745	1
852	PABPC4	0.4451287	0.3146028	-0.50055665	36.862427	1
887	RIMS3	0.012088386	0.029511463	1.2806486	12.599124	1
902	FOXO6	0.032171417	0.05039331	0.6458353	6.4599557	1
930	SLC2A1	0.53025264	0.7905402	0.5760694	44.55244	1
931	SLC2A1-AS1	0.031855885	0.05425484	0.7663269	9.570313	1
942	CDC20	0.07771166	0.04777902	-0.7005927	7.596036	1
955	ARTN	0.111157194	0.18332818	0.7213167	26.13975	1
963	SLC6A9	0.007844419	0.019481214	1.3014566	8.237607	1
964	AL139220.2	0.011151759	0.026815346	1.2582785	10.397988	1
973	KIF2C	0.07264355	0.044260588	-0.7135408	7.9248624	1
1001	PIK3R3	0.22236453	0.09545438	-1.2191814	44.55244	1
1018	MKNK1	0.10362809	0.07301171	-0.5046322	8.034365	1
1071	TTC39A	0.07605619	0.05297521	-0.52092314	6.4952884	1
1121	GLIS1	0.009984688	0.04154285	2.0459025	29.336353	1
1149	DHCR24	0.17456035	0.1099333	-0.6666119	21.256231	1
1186	LINC02777	0.0041897227	0.011182178	1.3950893	5.7172055	1
1195	CYP2J2	0.023977697	0.012626625	-0.91984755	5.5619335	1
1206	AC099791.2	0.013405944	0.024115678	0.8423469	5.1710587	1
1209	KANK4	0.020533042	0.005142085	-1.9767439	11.221829	1
1231	ROR1	0.25860304	0.17182069	-0.58955383	25.994736	1
1244	LEPR	0.03449887	0.058711745	0.7653793	10.03417	1
1263	GADD45A	0.2826533	0.41169268	0.5423743	40.580887	1
1266	DIRAS3	0.1546727	0.24138054	0.641756	24.703741	1
1269	DEPDC1	0.14429995	0.085085556	-0.76138955	14.461136	1
1288	CTH	0.009296014	0.025466718	1.4441462	12.441536	1
1310	TNNI3K	0.04766462	0.029382508	-0.6960831	6.4238	1
1326	RABGGTB	0.10393357	0.21220739	1.0291054	44.55244	1
1353	IFI44L	0.0029234062	0.016475812	2.4548328	16.1415	1
1379	AL359504.2	0.048370346	0.08982069	0.89155066	19.56228	1
1397	SYDE2	0.21432705	0.14909612	-0.5232769	17.765083	1
1401	DDAH1	0.038557716	0.01995785	-0.94658947	8.960275	1
1405	CCN1	0.17649995	0.1033255	-0.77189296	25.084635	1
1425	PKN2-AS1	0.020729553	0.0095044905	-1.1168509	5.5973325	1
1432	GBP1	0.009764056	0.021247538	1.1138169	7.337054	1
1433	GBP2	0.031752728	0.074476294	1.2273002	27.219793	1
1457	LINC02609	0.008952728	0.017826516	0.9856707	5.406668	1
1480	CCDC18	0.063912295	0.036614954	-0.80198115	10.356682	1
1536	MFSD14A	0.09720927	0.13772127	0.5021494	11.530172	1
1608	SARS	0.3265934	0.4653345	0.5106409	42.844868	1
1609	CELSR2	0.047034744	0.031236453	-0.588949	5.0440536	1
1623	AMPD2	0.05236829	0.07457716	0.5092212	6.549087	1
1667	DRAM2	0.13071461	0.20400505	0.6417882	26.716991	1
1714	PHTF1	0.21609227	0.14997177	-0.52666235	18.47797	1
1744	CASQ2	0.013800462	0.0031841418	-2.0815444	8.702894	1
1792	PHGDH	0.16829793	0.32577068	0.95242506	44.55244	1
1829	SRGAP2B	0.032728158	0.05308284	0.6960269	8.378814	1
1841	NUDT17	0.06035848	0.040638424	-0.56955445	5.824525	1
1853	TXNIP	0.8459684	1.2295281	0.5393757	44.55244	1
1872	GJA5	0.090630695	0.046659593	-0.95632833	18.542576	1
1888	NBPF14	0.05733518	0.028368592	-1.0125636	13.445543	1
1927	CA14	0.031784907	0.06748441	1.0838168	21.069733	1
1930	CIART	0.041201577	0.06317498	0.6154382	7.2570133	1
1938	ADAMTSL4	0.01526521	0.031085687	1.0212165	9.305307	1
1949	CERS2	0.097651966	0.1519324	0.63718116	19.63568	1
2075	S100A1	0.0063132746	0.016895512	1.4060208	8.689212	1
2088	CRTC2	0.009397562	0.025272733	1.4176499	12.365661	1
2103	AQP10	0.044411168	0.02046631	-1.1138843	12.000925	1
2132	EFNA4	0.078483954	0.11574087	0.55983764	11.511612	1
2133	EFNA3	0.031499	0.061274767	0.9577667	14.989497	1
2193	IQGAP3	0.022399403	0.011190604	-0.99476403	5.9415503	1
2196	GPATCH4	0.14153406	0.08521765	-0.73125213	19.67517	1
2287	IGSF8	0.03327089	0.04872284	0.54896605	5.0013103	1
2290	CASQ1	0.071417734	0.040558588	-0.81474084	12.412556	1
2391	UCK2	0.041596357	0.025878346	-0.6826118	5.66153	1
2405	DUSP27	0.27620813	0.14205974	-0.958765	44.55244	1
2421	DCAF6	0.48912597	0.34239092	-0.51443523	44.55244	1
2495	CENPL	0.06912201	0.04503778	-0.6168953	7.6795673	1
2589	RGS16	0.0037988382	0.012032694	1.6377836	7.9561	1
2621	NIBAN1	0.010480026	0.021276781	1.0147016	6.3844337	1
2653	BRINP3	0.115199015	0.07425777	-0.63282484	11.781413	1
2655	LINC01351	0.08473287	0.058311954	-0.5383597	7.0497117	1
2693	ASPM	0.19384994	0.11279708	-0.78067607	16.912992	1
2719	KIF14	0.07519357	0.050144393	-0.58356404	5.6026692	1
2721	DDX59-AS1	0.0028550683	0.008912912	1.6088017	5.7399387	1
2742	NAV1	0.97182775	0.60202056	-0.6907967	44.55244	1
2749	LMOD1	0.29329297	0.20607936	-0.50893426	22.691786	1
2760	PPP1R12B	0.8082053	0.5390596	-0.584188	44.55244	1
2766	PCAT6	0.17666928	0.25376073	0.52216953	21.514938	1
2782	BTG2	0.11153916	0.19105892	0.77592933	32.221195	1
2809	LRRN2	0.00078105077	0.0042129466	2.2913768	5.4273224	1
