	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1744	CASQ2	0.013800462	0.0031841418	-2.0815444	8.702894	1
3258	RYR2	1.1520809	0.79018295	-0.543926	44.55244	1
3886	SLC8A1	1.7127118	1.3080102	-0.38888255	44.55244	0
5516	ACADL	0.09754033	0.03808367	-1.3545213	31.837294	1
6258	SCN5A	0.045408364	0.035459794	-0.35588473	2.2071004	0
12519	GJA1	0.36951688	0.17743811	-1.0579019	44.55244	1
14197	LMOD2	0.45155033	0.12698779	-1.8293809	44.55244	1
14592	KCNH2	0.39422974	0.29159826	-0.4349257	25.760729	0
21012	CACNA1C	0.25918555	0.17528276	-0.56403476	24.582323	1
22502	MYL2	0.4797252	0.07352737	-2.7041948	44.55244	1
23960	MYH7	1.5780913	0.35034418	-2.1710155	44.55244	1
29708	KCNJ2	0.008191049	0.005329924	-0.6106226	1.1648824	0
32703	TNNI3	0.11438238	0.06722711	-0.7658661	12.401678	1
