	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
1	FAM138A	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
2	OR4F5	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
3	AL627309.1	0.0020561935	0.0025309573	0.2871012	0.24320844	0
4	AL627309.3	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
5	AL627309.2	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
6	AL627309.5	0.0193377	0.020401118	0.07684511	0.17524242	0
7	AL627309.4	0.0012743741	0.00047213875	-1.2643377	0.7088514	0
8	AP006222.2	0.00038117348	0.00062415615	0.58974373	0.27886578	0
9	AL732372.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
10	OR4F29	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
11	AC114498.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
12	OR4F16	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
13	AL669831.2	0.001261242	0.0011706096	-0.099402726	0.051943224	0
14	LINC01409	0.061762452	0.071731605	0.21555477	1.555639	0
15	FAM87B	0.00026565648	0.00026688224	0.0048282356	0.0013807239	0
16	LINC01128	0.13485155	0.1498587	0.15212373	1.6939781	0
17	LINC00115	0.009237431	0.01506055	0.69922453	2.488212	0
18	FAM41C	0.008346837	0.007903722	-0.07774018	0.10660054	0
19	AL645608.6	0.00015801145	0.00072339294	1.6741459	1.0843569	0
20	AL645608.2	0.0052063526	0.00474582	-0.13097969	0.14524727	0
21	AL645608.4	0.0006108732	0.00071047846	0.18918149	0.084388055	0
22	LINC02593	0.047197707	0.037404478	-0.33470735	1.969908	0
23	SAMD11	0.3458674	0.1929588	-0.8415957	44.55244	0
24	NOC2L	0.23693971	0.21540982	-0.13737522	2.1898181	0
25	KLHL17	0.011007145	0.01360743	0.30347016	0.751212	0
26	PLEKHN1	0.0013044662	0.0015689984	0.24896078	0.15238407	0
27	PERM1	-4.8894435e-09	0.0012450999	3.749712	3.2653422	0
28	AL645608.7	0.00089858	0.00066228874	-0.38954046	0.19661003	0
29	HES4	0.32187995	0.22675277	-0.50521445	24.21008	0
30	ISG15	0.23589382	0.20814934	-0.18043707	3.235998	0
31	AL645608.1	0.0002608072	3.965397e-09	-1.8511709	0.49842504	0
32	AGRN	0.085504614	0.07863314	-0.12071759	0.7593881	0
33	AL645608.5	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
34	AL645608.8	-4.8894435e-09	0.000119037075	1.1312456	0.4985395	0
35	RNF223	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
36	C1orf159	0.017128736	0.015026592	-0.18772985	0.44967586	0
37	AL390719.3	0.0001290651	3.965397e-09	-1.1957005	0.49843797	0
38	LINC01342	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
39	AL390719.2	-4.8894435e-09	0.0001268319	1.1816941	0.49852318	0
40	TTLL10-AS1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
41	TTLL10	0.00020910654	3.965397e-09	-1.628047	0.4984336	0
42	TNFRSF18	0.000782444	0.0007067929	-0.12930633	0.051668193	0
43	TNFRSF4	-4.8894435e-09	0.00012883512	1.1943791	0.49850774	0
44	SDF4	0.47133568	0.44566977	-0.080762126	1.8477283	0
45	B3GALT6	0.15821126	0.14931114	-0.08347612	0.73711616	0
46	C1QTNF12	0.0038336294	0.0054861056	0.50598174	0.8233639	0
47	AL162741.1	0.0005042401	0.00047342625	-0.075514026	0.028733477	0
48	UBE2J2	0.28665575	0.2599279	-0.14115599	2.7210507	0
49	LINC01786	0.0010971429	0.001245756	0.16882144	0.0962059	0
50	SCNN1D	0.003936228	0.004961612	0.3265894	0.40413857	0
51	ACAP3	0.05726857	0.05971375	0.06021666	0.25028542	0
52	PUSL1	0.0895704	0.06795251	-0.39798343	4.880075	0
53	INTS11	0.12667453	0.123535626	-0.036170453	0.2179309	0
54	AL139287.1	8.406252e-05	0.00012506536	0.2901481	0.104836024	0
55	CPTP	0.07106399	0.056311682	-0.33515334	2.948131	0
56	TAS1R3	0.0006767938	0.0011724858	0.7120458	0.4479519	0
57	DVL1	0.05268276	0.05549188	0.07480736	0.30958414	0
58	MXRA8	0.03005377	0.037974264	0.33647782	1.8102094	0
59	AURKAIP1	1.0623499	0.9742199	-0.12492741	11.910702	0
60	CCNL2	0.22356495	0.20460853	-0.12776795	1.8257743	0
61	MRPL20-AS1	0.089098185	0.0850456	-0.06708242	0.36048043	0
62	MRPL20	1.1104138	1.0513353	-0.07886722	5.718137	0
63	AL391244.2	0.002966408	0.0048006726	0.67643005	1.0469539	0
64	ANKRD65	0.0016382195	0.0014651403	-0.15131833	0.08812136	0
65	AL391244.1	-4.8894435e-09	0.00016179329	1.3884988	0.4984124	0
66	TMEM88B	-4.8894435e-09	0.00010037196	1.0027511	0.49863195	0
67	LINC01770	0.008565042	0.00789364	-0.11635427	0.16266786	0
68	VWA1	0.08984748	0.078459054	-0.1953053	1.5382749	0
69	ATAD3C	0.0024220545	0.0037069095	0.5940208	0.72681177	0
70	ATAD3B	0.02552629	0.029554436	0.21062319	0.78182507	0
71	ATAD3A	0.09182642	0.07556612	-0.28083202	2.8819914	0
72	TMEM240	0.09608776	0.0960873	-6.9653142e-06	2.925213e-05	0
73	SSU72	0.7268307	0.73243576	0.011081343	0.1970928	0
74	AL645728.1	0.008640167	0.01475355	0.765075	3.02584	0
75	FNDC10	0.12216504	0.14189911	0.21586992	2.7378564	0
76	AL691432.4	0.017340586	0.015277521	-0.18162555	0.42654395	0
77	AL691432.2	0.10404383	0.09433121	-0.14124161	1.0793221	0
78	MIB2	0.19369322	0.16711561	-0.21280853	3.5283856	0
79	MMP23B	0.32066667	0.13260724	-1.273277	44.55244	1
80	CDK11B	0.18740198	0.1460424	-0.359531	8.277102	0
81	FO704657.1	0.0026171617	0.0023276017	-0.16256869	0.13011381	0
82	SLC35E2B	0.05875666	0.07419074	0.33597678	3.273344	0
83	CDK11A	0.1137842	0.07582398	-0.58494014	11.29632	0
84	SLC35E2A	0.039616454	0.04021716	0.021657271	0.062322788	0
85	NADK	0.0728201	0.07300997	0.003751563	0.0142496545	0
86	GNB1	0.65785307	0.62787354	-0.06728089	2.0174975	0
87	AL109917.1	0.00822285	0.0074630007	-0.13811892	0.19082157	0
88	CALML6	0.0002017883	0.00021305733	0.052890055	0.015676428	0
89	TMEM52	0.0054680407	0.010038031	0.86453587	2.6678176	0
90	CFAP74	0.0018867081	0.0018033235	-0.06185908	0.03907993	0
91	AL391845.2	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
92	GABRD	0.0004235116	0.0008267336	0.8239332	0.48207134	0
93	AL391845.1	0.00066515437	0.00089778757	0.38298187	0.19095282	0
94	PRKCZ	0.10813064	0.08819883	-0.29364267	3.427503	0
95	AL590822.2	0.0035745648	0.002109805	-0.7336544	0.86634165	0
96	PRKCZ-AS1	0.004014715	0.0026542384	-0.579139	0.68003505	0
97	FAAP20	0.7570019	0.68729055	-0.13935742	8.364814	0
98	AL590822.1	-4.8894435e-09	0.00039451697	2.3060906	1.3161634	0
99	SKI	0.124384195	0.12419166	-0.0022331162	0.01118846	0
100	AL590822.3	0.008620809	0.010587425	0.29338044	0.5850252	0
101	MORN1	0.017481375	0.015937246	-0.13262151	0.29674652	0
102	AL589739.1	-4.8894435e-09	0.00013764587	1.248884	0.4984621	0
103	AL513477.2	0.0071937004	0.0069595044	-0.047083985	0.058040347	0
104	RER1	0.3510754	0.3762333	0.099819236	2.0719864	0
105	PEX10	0.07472395	0.07219381	-0.049628057	0.22783639	0
106	PLCH2	0.00018003123	3.965397e-09	-1.4855306	0.4984269	0
107	AL139246.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
108	AL139246.4	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
109	PANK4	0.019871997	0.05620296	1.4952323	30.062601	1
110	HES5	0.0010051387	0.0005791092	-0.702512	0.3850922	0
111	AL139246.5	0.0026713484	0.0065350453	1.2595181	3.1472044	0
112	TNFRSF14-AS1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
113	TNFRSF14	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
114	AL139246.3	-4.8894435e-09	7.063681e-05	0.77099943	0.49866623	0
115	PRXL2B	0.06567488	0.060067374	-0.12855531	0.6808736	0
116	MMEL1	0.00076541764	0.00018045315	-1.6256368	0.799637	0
117	AL831784.1	-4.8894435e-09	0.00013298192	1.2202885	0.7697493	0
118	TTC34	0.005900775	0.005240485	-0.16817805	0.20436844	0
119	AC242022.2	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
120	AC242022.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
121	AL592464.2	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
122	AL592464.3	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
123	AL592464.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
124	AL589702.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
125	ACTRT2	0.00020136096	3.965397e-09	-1.5914353	0.49842662	0
126	PRDM16-DT	0.21779215	0.17218238	-0.33883908	8.000737	0
127	PRDM16	0.1718664	0.13480654	-0.35016638	6.9725895	0
128	AL008733.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
129	AL590438.1	0.0010368675	0.0007267263	-0.45958233	0.24161725	0
130	AL354743.2	0.0013050865	0.00056743505	-1.0739596	0.7504794	0
131	AL354743.1	-4.8894435e-09	0.00010320222	1.0229868	0.49854833	0
132	ARHGEF16	0.007018963	0.013282234	0.91058	3.5577073	0
133	AL512413.1	0.00025014745	3.965397e-09	-1.8079054	0.49841952	0
134	MEGF6	0.00368982	0.003117369	-0.23624785	0.23728764	0
135	AL513320.1	0.0008338486	0.0009905403	0.2237824	0.110761605	0
136	TPRG1L	0.090533845	0.08545579	-0.083184406	0.48060226	0
137	WRAP73	0.043399785	0.053493842	0.30105892	2.1069055	0
138	TP73	0.0009257766	0.00013707636	-2.113293	1.1417131	0
139	AL136528.1	0.0002635048	3.3479322e-05	-1.4453583	0.41279584	0
140	AL136528.2	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
141	CCDC27	0.00037657283	3.965397e-09	-2.2526395	0.7966536	0
142	SMIM1	0.14407408	0.20602895	0.5157353	17.583597	0
143	LRRC47	0.25083366	0.2624123	0.065078996	0.7868659	0
144	AL365330.1	0.0009920466	0.0022747733	1.1207556	1.1155779	0
145	CEP104	0.0973823	0.08683927	-0.16513222	1.34078	0
146	DFFB	0.012761745	0.01400389	0.1330067	0.25956792	0
147	C1orf174	0.08244592	0.08464159	0.03787333	0.18136941	0
148	LINC01134	0.0010126352	0.0011579323	0.17707366	0.09392483	0
149	LINC01346	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
150	LINC01345	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
151	LINC02780	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
152	AL805961.1	9.861834e-05	0.00026419535	0.87471366	0.42974728	0
153	LINC01777	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
154	AL355602.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
155	Z98747.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
156	LINC01646	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
157	AJAP1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
158	Z98886.1	0.00065184454	0.00037299324	-0.66861486	0.28052816	0
159	BX005132.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
160	LINC02781	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
161	LINC02782	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
162	AL139823.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
163	Z98259.3	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
164	Z98259.2	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
165	Z98259.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
166	AL365255.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
167	NPHP4	0.006837748	0.008314118	0.2783445	0.49965078	0
168	KCNAB2	0.0068897144	0.00711957	0.046679407	0.057509616	0
169	CHD5	0.0011290947	0.0007969212	-0.4545429	0.26736316	0
170	RPL22	2.0226505	2.2474968	0.15206492	44.55244	0
171	AL031847.1	0.0040795873	0.001647622	-1.2579674	1.7805023	0
172	RNF207	0.18421209	0.056547467	-1.7020674	44.55244	1
173	ICMT	0.22689219	0.14201696	-0.6755638	29.52032	0
174	LINC00337	0.0012411597	0.0005027508	-1.1538475	0.8133391	0
175	HES3	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
176	GPR153	0.03248976	0.03361338	0.048902392	0.13721263	0
177	ACOT7	0.060080815	0.044969857	-0.41714078	3.7377918	0
178	AL031848.2	0.0045711817	0.0032614819	-0.47469008	0.5999409	0
179	HES2	0.00032100378	0.0005981646	0.7297341	0.39401558	0
180	ESPN	0.004476437	0.0039331596	-0.18231426	0.18044797	0
181	AL031848.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
182	TNFRSF25	0.007970075	0.011929181	0.5758845	1.6446116	0
183	PLEKHG5	0.017602405	0.016665576	-0.07844332	0.1616719	0
184	NOL9	0.11640523	0.10164326	-0.19546147	1.9779646	0
185	TAS1R1	-4.8894435e-09	0.0001602323	1.3798707	0.49837998	0
186	ZBTB48	0.038474735	0.043979652	0.19245657	0.9055073	0
187	KLHL21	0.064521946	0.048552755	-0.4095027	3.7317147	0
188	PHF13	0.14140055	0.11403934	-0.3100115	4.8429027	0
189	THAP3	0.14284612	0.14799535	0.0510549	0.3632563	0
190	DNAJC11	0.09966659	0.087568	-0.18650639	1.6259525	0
191	LINC01672	-4.8894435e-09	0.00020112356	1.5904262	0.76687497	0
192	AL591163.1	0.00037997207	0.00045625045	0.21278416	0.081162944	0
193	CAMTA1-DT	0.0016820569	0.0014482826	-0.20287462	0.11821994	0
194	CAMTA1	1.2231661	1.1863865	-0.0440426	2.4409556	0
195	AL512330.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
196	CAMTA1-IT1	0.0014159023	0.0005653886	-1.1879077	0.77517414	0
197	Z97987.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
198	AL365194.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
199	AL359881.3	0.0002408622	3.965397e-09	-1.7691314	0.80309105	0
200	AL359881.2	-4.8894435e-09	0.00032110864	2.074263	1.2592475	0
201	AL359881.1	0.00017245134	3.965397e-09	-1.4459414	0.49849942	0
202	VAMP3	0.38473243	0.36048764	-0.09388046	1.8933954	0
203	Z98884.2	0.00015920083	0.00022934042	0.3455092	0.13232699	0
204	PER3	0.04899793	0.097779624	0.9953463	25.037718	0
205	Z98884.1	0.00035208705	0.0004824862	0.36562335	0.14562574	0
206	UTS2	-4.8894435e-09	0.00014194971	1.2747778	0.49846542	0
207	TNFRSF9	-4.8894435e-09	0.00013656085	1.2422819	0.79949915	0
208	PARK7	1.4387685	1.3237911	-0.120150276	20.619724	0
209	AL034417.4	0.00093582465	0.0009089334	-0.037948795	0.017730098	0
210	AL034417.3	0.0002597823	0.00019324373	-0.295024	0.08897819	0
211	ERRFI1	0.017643552	0.022346081	0.3391688	1.2389876	0
212	AL034417.2	0.00066844263	0.0010571263	0.5905368	0.34760773	0
213	LINC01714	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
214	AL358876.2	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
215	SLC45A1	0.003853792	0.003314799	-0.21143638	0.21471357	0
216	RERE	0.5891317	0.4872484	-0.27388164	18.843481	0
217	RERE-AS1	-4.8894435e-09	0.0003691668	2.2301717	1.0954593	0
218	AL357552.2	0.00016479299	0.00044520834	1.0419427	0.4302647	0
219	ENO1	3.274533	3.5708864	0.12498945	44.55244	0
220	ENO1-AS1	0.0051680556	0.004324533	-0.2517454	0.29709834	0
221	CA6	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
222	SLC2A7	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
223	SLC2A5	-4.8894435e-09	0.0003863825	2.282162	1.0786234	0
224	GPR157	0.019414157	0.022237236	0.1949295	0.56215364	0
225	MIR34AHG	0.0064664017	0.007566437	0.22345321	0.34569925	0
226	LNCTAM34A	0.010532022	0.015126917	0.51820785	1.7583565	0
227	H6PD	0.08920122	0.08445756	-0.078746065	0.43807602	0
228	SPSB1	0.0031309295	0.0025032605	-0.31162962	0.31447548	0
229	BX323043.1	0.00043603522	0.00021789962	-0.7537565	0.27246284	0
230	LINC02606	0.0058112238	0.0041948725	-0.46084154	0.67443776	0
231	AL928921.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
232	SLC25A33	0.072998665	0.09085065	0.31523886	3.6215258	0
233	TMEM201	0.0375999	0.03225865	-0.22040927	0.9456266	0
234	PIK3CD	0.0051024333	0.0041125906	-0.30447888	0.37404507	0
235	PIK3CD-AS1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
236	PIK3CD-AS2	0.063631706	0.06766114	0.08844681	0.420997	0
237	CLSTN1	0.24453042	0.22457273	-0.12277879	1.8345917	0
238	CTNNBIP1	0.2098248	0.20430368	-0.038451392	0.32538825	0
239	AL357140.1	0.00037389644	0.00078326697	0.8982777	0.47283164	0
240	AL357140.4	0.00022689288	3.965397e-09	-1.7087609	0.4984545	0
241	LZIC	0.5250575	0.5239448	-0.0030599765	0.036515027	0
242	AL357140.2	0.0009806792	0.0003096643	-1.3994242	0.8068262	0
243	NMNAT1	0.16872598	0.14816114	-0.18739639	2.5453694	0
244	AL603962.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
245	RBP7	0.0014604133	0.0023334215	0.6410581	0.6063227	0
246	UBE4B	0.15791218	0.14634001	-0.10972598	1.072224	0
247	KIF1B	0.5173421	0.49081832	-0.075914495	1.8246994	0
248	AL139424.3	0.0023880736	0.0024377173	0.028502185	0.01949019	0
249	AL139424.2	0.0021255752	0.0013527768	-0.6153654	0.5084275	0
250	PGD	0.2623324	0.23323126	-0.16956623	3.3525562	0
251	AL139424.1	0.00059613865	0.00036901847	-0.5697299	0.3048145	0
252	CENPS	0.096553005	0.0784277	-0.29961288	3.353804	0
253	CORT	0.010164252	0.008306222	-0.28809896	0.5906991	0
254	DFFA	0.32969362	0.29757386	-0.14783095	3.3430655	0
255	AL354956.1	0.0019584505	0.0011879829	-0.6764454	0.56595826	0
256	PEX14	0.057877425	0.04780412	-0.27534148	1.8220283	0
257	AL139423.2	0.00023110714	0.00032047112	0.34470862	0.11754064	0
258	CASZ1	0.23164351	0.19289222	-0.26398626	6.146861	0
259	AL139423.1	0.005003022	0.0019893136	-1.2883227	2.0274146	0
260	C1orf127	0.0018145966	0.0017244283	-0.06959598	0.043413736	0
261	TARDBP	0.3422478	0.3414014	-0.0035713369	0.032212604	0
262	MASP2	0.00050240976	0.00024237038	-0.8151873	0.36584112	0
263	AL109811.2	0.030608792	0.034272037	0.16258371	0.58621264	0
264	SRM	0.285801	0.24024789	-0.2503914	7.000813	0
265	EXOSC10	0.12507086	0.103838734	-0.26816526	3.4813845	0
266	AL109811.1	0.0023197338	0.0022388608	-0.04904237	0.033675924	0
267	EXOSC10-AS1	0.004247279	0.0018407964	-1.1634638	1.6883434	0
268	MTOR	0.21288216	0.16788712	-0.34238192	8.813954	0
269	MTOR-AS1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
270	ANGPTL7	0.0020883698	0.00053544994	-1.7840061	1.4914745	0
271	UBIAD1	0.062058542	0.05839555	-0.08762575	0.40292665	0
272	AL031291.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
273	DISP3	0.001316612	0.0031003552	1.1757874	1.5678482	0
274	AL590989.1	-4.8894435e-09	3.965397e-09	0.00012777744	44.55244	0
275	LINC01647	0.00045844354	0.0005761955	0.27602896	0.11173271	0
276	AL031731.1	0.00037106327	0.0013410298	1.6131073	1.2402517	0
277	FBXO2	0.16859838	0.2423756	0.5233934	20.696129	0
278	FBXO44	0.08510049	0.091821045	0.10953355	0.6970055	0
279	FBXO6	0.01576508	0.021476883	0.4436317	1.8062128	0
280	MAD2L2	0.16220991	0.16392459	0.015160989	0.09547923	0
