	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
271	UBIAD1	-5.820766e-11	0.044371143	8.796726	5.3384995	1
339	KAZN	0.013151455	0.092807844	2.8096497	5.4926686	1
511	LINC01355	-5.820766e-11	0.047107454	8.882872	5.103676	1
1100	ECHDC2	-5.820766e-11	0.04389234	8.78111	5.810396	1
1526	SNX7	0.107637756	0.34054697	1.6607534	7.0382366	1
1531	PALMD	-5.820766e-11	0.16231753	10.665492	16.889893	1
1737	TSPAN2	0.009666181	0.13191006	3.7567096	9.227714	1
2066	S100A6	1.1388185	2.4485946	1.1043483	11.244493	1
2589	RGS16	0.007893946	0.09249357	3.5339322	5.6437306	1
2630	HMCN1	0.08428964	0.2622842	1.6365429	5.157598	1
2879	CD34	0.24937907	0.64337134	1.3669572	7.444345	1
3240	LYST	0.035311837	0.16958828	2.2605834	5.8450017	1
3268	CHRM3	0.025196768	0.16057889	2.6671555	6.377007	1
3760	MRPL33	0.34120816	0.72779447	1.0926543	6.9488893	1
3833	CRIM1	0.25182196	0.54071105	1.1021478	5.7171226	1
3852	CDC42EP3	0.22224909	0.5682908	1.3540568	7.956012	1
4327	VAMP8	0.060240168	0.23681383	1.9731717	6.6443405	1
4328	VAMP5	0.39034665	0.8825865	1.1767758	8.040006	1
4641	UXS1	0.07547122	0.26020265	1.784281	6.069533	1
4681	MALL	0.18809554	0.54705155	1.5397081	7.7978945	1
5001	NMI	0.0069653043	0.14141545	4.3240643	14.088515	1
5198	HOXD-AS2	-5.820766e-11	0.07924363	9.631971	7.933271	1
5199	HOXD9	-5.820766e-11	0.1013927	9.987162	11.124128	1
5200	HOXD8	0.026500141	0.24286352	3.1912339	12.348557	1
5203	HAGLR	-5.820766e-11	0.05165141	9.015455	6.768605	1
5421	STRADB	-5.820766e-11	0.047260173	8.887531	5.7852144	1
5442	WDR12	0.011307325	0.08263422	2.8585236	5.3552046	1
5906	KIF1A	-5.820766e-11	0.08994347	9.814479	9.42626	1
6593	WNT5A	-5.820766e-11	0.054595903	9.09529	6.7941422	1
7096	MGLL	0.0893796	0.39522552	2.1434102	11.794717	1
7217	PIK3CB	-5.820766e-11	0.06059828	9.245513	7.580913	1
7529	TNFSF10	0.055083912	0.2997308	2.4418287	9.061349	1
7839	IQCG	-5.820766e-11	0.05699145	9.157132	7.130224	1
7989	HTRA3	0.023374401	0.12890868	2.4583077	5.2599945	1
8231	UCHL1	0.6567474	1.6489176	1.3279766	13.43588	1
8248	ATP8A1	-5.820766e-11	0.05133521	9.006614	6.713432	1
8312	LNX1	-5.820766e-11	0.05187481	9.021669	6.8815584	1
8484	AREG	0.05277145	0.22251633	2.0739987	6.0143228	1
8631	MMRN1	0.015933778	0.11821738	2.8834758	6.207504	1
8697	AP001816.1	-5.820766e-11	0.05322906	9.058779	5.58733	1
9129	GASK1B	0.08885003	0.2865757	1.6883526	5.382723	1
9182	DDX60L	-5.820766e-11	0.08371247	9.711022	9.346042	1
9902	RNF180	-5.820766e-11	0.04893314	8.937614	6.078146	1
10771	SH3TC2	-5.820766e-11	0.04546061	8.831644	5.14549	1
10816	GPX3	0.008082681	0.09631795	3.5586562	6.863948	1
11168	BTNL9	0.05330134	0.21765117	2.0277326	6.7092633	1
11318	GCNT2	-5.820766e-11	0.096406095	9.914477	12.05072	1
11355	SIRT5	-5.820766e-11	0.05364562	9.070004	7.00971	1
11413	E2F3	0.04996907	0.19944571	1.9947277	5.8965344	1
11478	HIST1H2AC	0.053948358	0.21864937	2.016956	5.166387	1
11498	HIST1H4H	-5.820766e-11	0.038548212	8.594259	5.1260276	1
11769	TAP1	-5.820766e-11	0.060033146	9.2320175	6.721479	1
12051	AL353138.1	0.078047164	0.26579726	1.7666035	5.5439243	1
12127	BAG2	0.010463704	0.13956116	3.7247431	10.234271	1
12167	FAM135A	-5.820766e-11	0.06739457	9.398628	8.232458	1
12447	TRAF3IP2	0.007893946	0.14707692	4.2025	12.7385	1
12928	RPS6KA2	0.1734636	0.49904162	1.5239847	7.6867833	1
13052	AC091729.3	-5.820766e-11	0.05443728	9.0911	6.8323965	1
13306	HOXA9	-5.820766e-11	0.14442104	10.497065	15.0292425	1
13308	HOXA10	-5.820766e-11	0.12786809	10.321569	14.0156355	1
13364	AQP1	-5.820766e-11	0.046312824	8.85838	5.1128216	1
13383	BBS9	-5.820766e-11	0.05226022	9.032329	6.6671014	1
13402	AC018647.2	-5.820766e-11	0.036604222	8.519803	5.0840464	1
13494	AC004951.1	0.007839264	0.083659574	3.399177	6.6451554	1
13502	MYL7	0.64259416	0.162832	-1.9798623	7.8722587	1
13531	IGFBP3	0.64042026	2.168081	1.759169	25.836275	1
13793	SEMA3C	0.028744124	0.16629456	2.5282588	5.5201635	1
13867	SAMD9L	-5.820766e-11	0.08883958	9.796682	10.218088	1
13895	DYNC1I1	-5.820766e-11	0.06540785	9.355525	7.261908	1
13930	ZNF655	0.023708485	0.16322167	2.7781684	8.641181	1
13939	TRIM4	0.009121281	0.08071501	3.1315842	5.375741	1
14363	HIPK2	0.18683054	0.44366392	1.2472901	5.18882	1
14685	PTPRN2	0.048831534	0.23685783	2.2757938	8.593875	1
15065	CLU	-5.820766e-11	0.14623658	10.515076	12.01191	1
15983	ASAP1-IT2	-5.820766e-11	0.04994095	8.966967	5.4593663	1
15995	KCNQ3	-5.820766e-11	0.06498095	9.346092	6.9108763	1
16381	ELAVL2	0.01296141	0.11943057	3.1939971	6.7102203	1
16706	PCSK5	-5.820766e-11	0.07716416	9.593657	9.002779	1
