	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-5.820766e-11	-1.1568773e-09	-1.582249e-05	44.55244	0
1	FAM138A	-5.820766e-11	-1.1568773e-09	-1.582249e-05	44.55244	0
2	OR4F5	-5.820766e-11	-1.1568773e-09	-1.582249e-05	44.55244	0
3	AL627309.1	-5.820766e-11	0.0016735134	4.148539	1.9325281	0
4	AL627309.3	-5.820766e-11	0.0002955225	1.9837607	0.49841058	0
5	AL627309.2	-5.820766e-11	-1.1568773e-09	-1.582249e-05	44.55244	0
6	AL627309.5	0.008465418	0.012614459	0.5698746	0.19853617	0
7	AL627309.4	-5.820766e-11	0.0004432086	2.441507	0.79687434	0
8	AP006222.2	-5.820766e-11	-1.1568773e-09	-1.582249e-05	44.55244	0
9	AL732372.1	-5.820766e-11	-1.1568773e-09	-1.582249e-05	44.55244	0
10	OR4F29	-5.820766e-11	-1.1568773e-09	-1.582249e-05	44.55244	0
11	AC114498.1	-5.820766e-11	-1.1568773e-09	-1.582249e-05	44.55244	0
12	OR4F16	-5.820766e-11	-1.1568773e-09	-1.582249e-05	44.55244	0
13	AL669831.2	-5.820766e-11	0.00037447148	2.2463222	0.4984181	0
14	LINC01409	0.030310087	0.028408827	-0.093141235	0.03151226	0
15	FAM87B	-5.820766e-11	0.00016276917	1.3937969	0.49840346	0
16	LINC01128	0.12862135	0.099945515	-0.36359486	0.33518842	0
17	LINC00115	-5.820766e-11	0.008864138	6.486094	7.3703156	1
18	FAM41C	-5.820766e-11	0.018139424	7.510917	14.861053	1
19	AL645608.6	-5.820766e-11	-1.1568773e-09	-1.582249e-05	44.55244	0
20	AL645608.2	-5.820766e-11	0.0015336786	4.030053	2.0092409	0
21	AL645608.4	-5.820766e-11	-1.1568773e-09	-1.582249e-05	44.55244	0
22	LINC02593	-5.820766e-11	0.005638063	5.8424926	4.878806	0
23	SAMD11	0.032463707	0.035227194	0.11751422	0.047231678	0
24	NOC2L	0.27871984	0.23221812	-0.26323155	0.38436735	0
25	KLHL17	0.08792694	0.019149434	-2.193129	1.2781104	0
26	PLEKHN1	-5.820766e-11	0.0005278498	2.6504204	0.74256104	0
27	PERM1	-5.820766e-11	-1.1568773e-09	-1.582249e-05	44.55244	0
28	AL645608.7	-5.820766e-11	0.0061000213	5.954202	5.710944	1
29	HES4	0.44282913	0.4701952	0.08649067	0.16509247	0
30	ISG15	0.26300493	0.42921433	0.7063961	2.6888628	0
31	AL645608.1	-5.820766e-11	-1.1568773e-09	-1.582249e-05	44.55244	0
32	AGRN	0.28031328	0.14714023	-0.92938256	1.7453096	0
33	AL645608.5	-5.820766e-11	-1.1568773e-09	-1.582249e-05	44.55244	0
34	AL645608.8	-5.820766e-11	-1.1568773e-09	-1.582249e-05	44.55244	0
35	RNF223	-5.820766e-11	-1.1568773e-09	-1.582249e-05	44.55244	0
36	C1orf159	0.043453425	0.021352902	-1.0216135	0.5051107	0
