	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
32	AGRN	0.112531446	0.2423741	1.1062211	15.845134	1
68	VWA1	0.072734036	0.3044035	2.063774	37.710632	1
82	SLC35E2B	0.06713382	0.121399954	0.85369664	5.2194543	1
134	MEGF6	0.028126743	0.0051034293	-2.439528	7.323865	1
177	ACOT7	0.31853533	0.1845007	-0.7874981	15.406027	1
238	CTNNBIP1	0.39279687	0.25176194	-0.6415175	13.653256	1
245	RBP7	0.007222301	0.034916483	2.2576654	5.4210854	1
250	PGD	0.59113413	0.36747068	-0.68570787	24.676226	1
280	MAD2L2	0.051431183	0.12109135	1.2337692	8.724896	1
359	DDI2	0.15350182	0.2682429	0.8048822	11.025087	1
374	HSPB7	0.005625373	0.06374513	3.479135	12.768941	1
378	EPHA2	0.22684342	0.115896925	-0.96824616	15.046677	1
439	MICOS10	1.4514858	0.99719477	-0.54153794	44.55244	1
521	ID3	1.2991678	1.9730442	0.6027976	44.55244	1
622	FCN3	0.0022793894	0.11038732	5.5371456	19.343765	1
717	CCDC28B	0.23037869	0.32937643	0.5155419	7.138358	1
733	ZBTB8OS	0.34423354	0.23510492	-0.5498885	9.452002	1
737	KIAA1522	0.08522094	0.036301084	-1.2289184	8.008255	1
767	GJA4	0.7596885	0.2480936	-1.6141319	44.55244	1
797	SH3D21	0.027387736	0.09001469	1.7129742	9.752464	1
840	RRAGC	0.40267584	0.280353	-0.52221817	10.014117	1
871	RLF	0.19502357	0.35383028	0.8590771	16.905964	1
874	ZMPSTE24	0.33248946	0.20370823	-0.70653003	13.871127	1
930	SLC2A1	0.107287675	0.51665723	2.2666583	44.55244	1
934	EBNA1BP2	0.31568086	0.2168894	-0.54129916	8.072365	1
1018	MKNK1	0.18276733	0.11585916	-0.65718067	6.4684734	1
1023	EFCAB14	1.3476483	0.7513516	-0.84279895	44.55244	1
1071	TTC39A	0.066670276	0.027685817	-1.2648574	7.1002836	1
1100	ECHDC2	0.061545603	0.027098382	-1.1804773	5.922434	1
1123	YIPF1	0.2668173	0.14747268	-0.854967	14.35564	1
1125	HSPB11	0.2144392	0.14820921	-0.532633	5.350501	1
1140	ACOT11	0.10293898	0.17636468	0.7761892	6.904109	1
1149	DHCR24	0.21073449	0.13351114	-0.6580705	7.137842	1
1166	PLPP3	0.9819478	1.5154685	0.6259939	44.55244	1
1201	NFIA-AS2	0.19648325	0.0337707	-2.5370307	44.55244	1
1230	PGM1	0.0896425	0.25513712	1.5079747	23.563091	1
1231	ROR1	0.083524495	0.034502544	-1.2730474	8.411213	1
1240	AK4	0.14740032	0.5728188	1.9576126	44.55244	1
1247	PDE4B	0.2901381	0.42276028	0.54294413	9.385342	1
1249	SGIP1	0.0665729	0.13119851	0.97767824	7.0261393	1
1354	IFI44	0.17839848	0.10134253	-0.8152492	8.59682	1
1376	TTLL7	0.29431012	0.16293234	-0.8526691	15.512371	1
1405	CCN1	0.48604587	0.32308337	-0.58903635	11.904289	1
1423	LMO4	0.16230518	0.2571522	0.66358566	7.931459	1
1436	GBP4	0.031553715	0.10200296	1.6895779	9.279047	1
1442	LRRC8B	0.12812716	0.2269789	0.8244918	9.196058	1
1466	EPHX4	0.27609697	0.10733564	-1.3622247	31.66328	1
1481	CCDC18-AS1	0.058050413	0.11009091	0.92214394	5.660474	1
1488	GCLM	0.7165219	0.40940568	-0.8073288	37.646904	1
1526	SNX7	0.44279358	0.29568732	-0.58239996	13.310142	1
1565	COL11A1	0.16254967	0.6772441	2.058121	44.55244	1
1580	NTNG1	0.034422748	0.010744854	-1.6705368	5.450697	1
1602	TAF13	0.25301263	0.17254478	-0.5519727	6.855383	1
1667	DRAM2	0.18821655	0.2963897	0.65482205	9.059659	1
