	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	1.4042598e-09	1.0477379e-09	-5.159489e-06	13.295223	0
1	FAM138A	1.4042598e-09	1.0477379e-09	-5.159489e-06	13.295223	0
2	OR4F5	1.4042598e-09	1.0477379e-09	-5.159489e-06	13.295223	0
3	AL627309.1	0.0020140018	0.0024095208	0.2474353	0.08730815	0
4	AL627309.3	1.4042598e-09	1.0477379e-09	-5.159489e-06	13.295223	0
5	AL627309.2	1.4042598e-09	1.0477379e-09	-5.159489e-06	13.295223	0
6	AL627309.5	0.009394777	0.023490379	1.3129926	2.1899562	0
7	AL627309.4	0.0003709202	0.0025678545	2.5021255	0.7928749	0
8	AP006222.2	1.4042598e-09	1.0477379e-09	-5.159489e-06	13.295223	0
9	AL732372.1	1.4042598e-09	1.0477379e-09	-5.159489e-06	13.295223	0
10	OR4F29	1.4042598e-09	1.0477379e-09	-5.159489e-06	13.295223	0
11	AC114498.1	1.4042598e-09	1.0477379e-09	-5.159489e-06	13.295223	0
12	OR4F16	1.4042598e-09	1.0477379e-09	-5.159489e-06	13.295223	0
13	AL669831.2	1.4042598e-09	0.0006542844	2.9150884	0.49815363	0
14	LINC01409	0.026318615	0.033901524	0.3640446	0.6159488	0
15	FAM87B	1.4042598e-09	0.00067404914	2.952405	0.49815625	0
16	LINC01128	0.10422499	0.14506924	0.47665104	2.724987	0
17	LINC00115	0.010756494	0.0038531453	-1.4574853	1.9039116	0
18	FAM41C	0.021564277	0.008031487	-1.4137269	3.128576	0
19	AL645608.6	1.4042598e-09	1.0477379e-09	-5.159489e-06	13.295223	0
20	AL645608.2	0.00031262645	0.0011806366	1.6339529	0.32109436	0
21	AL645608.4	1.4042598e-09	1.0477379e-09	-5.159489e-06	13.295223	0
22	LINC02593	0.0018485596	0.0028123227	0.5797622	0.222912	0
23	SAMD11	0.011732065	0.013848892	0.23744865	0.2099842	0
24	NOC2L	0.22278468	0.2291428	0.04057903	0.15611984	0
25	KLHL17	0.016625362	0.01971254	0.24437647	0.24753807	0
