	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1872	GJA5	-7.2759576e-11	0.15407884	10.59039	19.216484	1
2879	CD34	0.29208207	0.9802068	1.7463658	15.127265	1
8332	KDR	1.6308799	1.855207	0.18591891	2.0102217	0
9657	NPR3	0.37725565	0.5909713	0.64740735	2.0495918	0
11347	EDN1	-7.2759576e-11	0.097484685	9.930512	8.41412	1
12519	GJA1	0.90338945	1.3285304	0.55636024	5.8236012	1
13364	AQP1	0.01800653	0.05276086	1.54569	1.891584	0
17221	ENG	1.088324	1.1970769	0.13739583	0.58220273	0
21081	VWF	-7.2759576e-11	0.07432066	9.53956	12.506584	1
23568	EFNB2	0.3537619	0.8425608	1.2517657	11.130309	1
27547	CDH5	0.7869371	1.6137619	1.0360136	17.434662	1
29637	PECAM1	1.3235818	2.1151812	0.67629296	13.444133	1
