	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-7.2759576e-11	6.693881e-10	1.0662885e-05	43.511047	0
1	FAM138A	-7.2759576e-11	6.693881e-10	1.0662885e-05	43.511047	0
2	OR4F5	-7.2759576e-11	6.693881e-10	1.0662885e-05	43.511047	0
3	AL627309.1	-7.2759576e-11	0.002991515	4.9502435	0.78473914	0
4	AL627309.3	-7.2759576e-11	6.693881e-10	1.0662885e-05	43.511047	0
5	AL627309.2	-7.2759576e-11	6.693881e-10	1.0662885e-05	43.511047	0
6	AL627309.5	0.031776104	0.020029332	-0.6631761	0.26603955	0
7	AL627309.4	0.007579614	0.0012401054	-2.5186872	0.38550395	0
8	AP006222.2	-7.2759576e-11	6.693881e-10	1.0662885e-05	43.511047	0
9	AL732372.1	-7.2759576e-11	6.693881e-10	1.0662885e-05	43.511047	0
10	OR4F29	-7.2759576e-11	6.693881e-10	1.0662885e-05	43.511047	0
11	AC114498.1	-7.2759576e-11	6.693881e-10	1.0662885e-05	43.511047	0
12	OR4F16	-7.2759576e-11	6.693881e-10	1.0662885e-05	43.511047	0
13	AL669831.2	-7.2759576e-11	0.0010340019	3.5033522	0.4979304	0
14	LINC01409	0.031516064	0.032870892	0.060535148	0.028023342	0
15	FAM87B	-7.2759576e-11	6.693881e-10	1.0662885e-05	43.511047	0
16	LINC01128	0.10321422	0.13639197	0.40177715	0.49963066	0
17	LINC00115	0.019862028	0.004541614	-2.10456	0.6960406	0
18	FAM41C	0.004667062	0.015462152	1.7068694	1.064718	0
19	AL645608.6	-7.2759576e-11	6.693881e-10	1.0662885e-05	43.511047	0
20	AL645608.2	-7.2759576e-11	6.693881e-10	1.0662885e-05	43.511047	0
21	AL645608.4	-7.2759576e-11	6.693881e-10	1.0662885e-05	43.511047	0
22	LINC02593	-7.2759576e-11	0.002652247	4.7825394	1.0725468	0
23	SAMD11	-7.2759576e-11	0.019764973	7.634084	4.060817	0
24	NOC2L	0.24806392	0.23108223	-0.10226291	0.14270017	0
25	KLHL17	0.02821128	0.010760061	-1.3823447	0.52007544	0
26	PLEKHN1	0.011615665	0.0010994335	-3.2880137	0.43150225	0
27	PERM1	-7.2759576e-11	6.693881e-10	1.0662885e-05	43.511047	0
28	AL645608.7	0.013741772	0.0030308033	-2.1444237	0.3541489	0
29	HES4	0.46096283	0.45276177	-0.025892586	0.044980697	0
30	ISG15	0.2590126	0.39288765	0.6009048	2.1037405	0
31	AL645608.1	-7.2759576e-11	0.0013688497	3.8766158	0.49792442	0
