	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
1	FAM138A	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
2	OR4F5	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
3	AL627309.1	-7.2759576e-11	0.005815762	5.886493	1.06453	0
4	AL627309.3	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
5	AL627309.2	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
6	AL627309.5	0.031776104	0.034511767	0.11878728	0.048474666	0
7	AL627309.4	0.007579614	0.0024262557	-1.604033	0.28490075	0
8	AP006222.2	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
9	AL732372.1	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
10	OR4F29	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
11	AC114498.1	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
12	OR4F16	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
13	AL669831.2	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
14	LINC01409	0.031516064	0.04698248	0.57453245	0.39836106	0
15	FAM87B	-7.2759576e-11	0.0014443697	3.9489472	0.49771512	0
16	LINC01128	0.10321422	0.14342229	0.47423595	0.6026112	0
17	LINC00115	0.019862028	0.0014117841	-3.7229342	0.91864157	0
18	FAM41C	0.004667062	0.005669232	0.27527896	0.063887306	0
19	AL645608.6	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
20	AL645608.2	-7.2759576e-11	0.004051339	5.375506	0.76891756	0
21	AL645608.4	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
22	LINC02593	-7.2759576e-11	0.003673115	5.237685	0.7726289	0
23	SAMD11	-7.2759576e-11	0.0079876175	6.337644	1.4564536	0
24	NOC2L	0.24806392	0.20952338	-0.24349377	0.36609596	0
25	KLHL17	0.02821128	0.010023635	-1.4836496	0.54300356	0
26	PLEKHN1	0.011615665	0.005678023	-1.0197909	0.20440458	0
27	PERM1	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
28	AL645608.7	0.013741772	3.0559022e-10	-7.11288	0.49413675	0
29	HES4	0.46096283	0.24271016	-0.92513454	2.8552442	0
30	ISG15	0.2590126	0.3279587	0.34037483	0.7435734	0
31	AL645608.1	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
32	AGRN	0.26070163	0.18264782	-0.5130986	0.89230216	0
33	AL645608.5	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
34	AL645608.8	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
35	RNF223	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
36	C1orf159	0.013937506	0.017270772	0.30737525	0.10938393	0
37	AL390719.3	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
38	LINC01342	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
39	AL390719.2	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
40	TTLL10-AS1	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
41	TTLL10	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
42	TNFRSF18	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
43	TNFRSF4	0.046772882	0.03577951	-0.38559332	0.201981	0
44	SDF4	0.5849052	0.5841597	-0.001839753	0.0037953437	0
45	B3GALT6	0.16056475	0.20635433	0.36176926	0.54962146	0
46	C1QTNF12	-7.2759576e-11	0.0015481884	4.0428104	0.49772286	0
47	AL162741.1	-7.2759576e-11	0.0013309602	3.8389127	0.497715	0
48	UBE2J2	0.28743073	0.2996744	0.060160905	0.09648045	0
49	LINC01786	-7.2759576e-11	0.0022594484	4.5603786	0.49771434	0
50	SCNN1D	-7.2759576e-11	0.0036918013	5.2448125	0.79850054	0
51	ACAP3	0.077622764	0.09294149	0.25953698	0.20824511	0
52	PUSL1	0.15983777	0.077180184	-1.0493401	1.4483113	0
53	INTS11	0.2504208	0.22794402	-0.13561802	0.17449673	0
54	AL139287.1	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
55	CPTP	0.08884008	0.0733101	-0.2768552	0.21162716	0
56	TAS1R3	0.010571513	3.0559022e-10	-6.7376165	0.49413705	0
57	DVL1	0.09895371	0.07630063	-0.3746265	0.27643597	0
58	MXRA8	0.0066341534	0.010249895	0.6200476	0.1936175	0
59	AURKAIP1	0.76361305	0.82062805	0.103873655	0.37915325	0
60	CCNL2	0.4101868	0.3541786	-0.21174835	0.48242998	0
61	MRPL20-AS1	0.06067582	0.045614637	-0.41084126	0.26479465	0
62	MRPL20	0.7073845	0.7321952	0.049726762	0.123401806	0
63	AL391244.2	0.01773194	3.0559022e-10	-7.4783154	0.6466811	0
64	ANKRD65	0.008608577	0.003068372	-1.4586953	0.26295036	0
65	AL391244.1	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
66	TMEM88B	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
67	LINC01770	-7.2759576e-11	0.0017978497	4.246295	0.4977173	0
68	VWA1	0.38437784	0.17789724	-1.1110455	2.7639656	0
69	ATAD3C	0.014307463	0.0052748574	-1.4225179	0.3835536	0
70	ATAD3B	0.040309258	0.025511846	-0.6578747	0.3031625	0
71	ATAD3A	0.11529877	0.05587985	-1.0436484	1.0883826	0
72	TMEM240	0.06901497	0.052151605	-0.4035228	0.23002324	0
73	SSU72	0.8047284	0.7363421	-0.12810914	0.49391097	0
74	AL645728.1	-7.2759576e-11	0.0103196	6.703157	1.8316839	0
75	FNDC10	0.06409135	0.03659589	-0.80676043	0.56532377	0
76	AL691432.4	0.014139637	0.0017142289	-2.972484	0.654142	0
77	AL691432.2	0.05431375	0.025439708	-1.0912293	0.6889694	0
78	MIB2	0.1776519	0.105913624	-0.7456152	1.181578	0
79	MMP23B	0.008640809	0.013671224	0.65581805	0.2125276	0
80	CDK11B	0.27713546	0.17014526	-0.7034971	1.5810075	0
81	FO704657.1	-7.2759576e-11	0.0013302165	3.8381627	0.49771982	0
82	SLC35E2B	0.14725477	0.114288844	-0.36534736	0.39910477	0
83	CDK11A	0.21475871	0.1521075	-0.4973487	0.77354884	0
84	SLC35E2A	0.024945796	0.03743662	0.58373034	0.38521796	0
85	NADK	0.091407046	0.13958082	0.6101791	0.8805198	0
86	GNB1	1.0367664	1.0740713	0.050993975	0.2316896	0
87	AL109917.1	-7.2759576e-11	0.0038336038	5.297781	0.79849476	0
88	CALML6	-7.2759576e-11	3.0559022e-10	5.5034343e-06	30.67383	0
89	TMEM52	-7.2759576e-11	0.0031888857	5.039528	0.49771395	0
90	CFAP74	0.004873645	0.024151044	2.2856715	1.5793679	0
