	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
23	SAMD11	-7.2759576e-11	0.035227194	8.464637	28.87312	1
58	MXRA8	0.0066341534	0.043943483	2.7093601	5.7434635	1
68	VWA1	0.38437784	0.072104275	-2.412744	5.623494	1
74	AL645728.1	-7.2759576e-11	0.021911079	7.7820873	17.316826	1
101	MORN1	-7.2759576e-11	0.011883138	6.904863	10.241039	1
104	RER1	0.3896587	0.6849301	0.8135863	7.0437756	1
177	ACOT7	0.060077794	0.29557222	2.2966955	15.582807	1
179	HES2	-7.2759576e-11	0.015390232	7.275216	13.367064	1
187	KLHL21	0.005177638	0.04547862	3.110393	8.876688	1
219	ENO1	2.7198951	1.7730414	-0.61729646	25.168266	1
238	CTNNBIP1	0.17022628	0.39853823	1.2267791	8.447047	1
249	AL139424.2	-7.2759576e-11	0.010667857	6.7505884	8.909329	1
250	PGD	0.21681565	0.62484276	1.52659	13.72528	1
253	CORT	-7.2759576e-11	0.0064588743	6.0353775	5.8879533	1
364	SLC25A34	-7.2759576e-11	0.006881409	6.1254473	6.1683292	1
384	CPLANE2	-7.2759576e-11	0.0076888558	6.2833405	7.055574	1
389	LINC01772	-7.2759576e-11	0.012429515	6.9691877	10.164025	1
439	MICOS10	0.59338945	1.4833928	1.3217037	21.61651	1
464	CAMK2N1	0.0045215734	0.097937115	4.4068723	33.62018	1
469	PINK1-AS	-7.2759576e-11	0.008292539	6.3910365	6.7423596	1
482	ALPL	-7.2759576e-11	0.006357315	6.0128636	5.894217	1
487	HSPG2	0.9982908	1.4254543	0.51384646	7.434489	1
503	EPHB2	-7.2759576e-11	0.00512469	5.7072744	5.0195127	1
521	ID3	2.2010617	1.4892311	-0.56360054	11.48033	1
523	MDS2	-7.2759576e-11	0.0090461755	6.5150976	7.8967977	1
570	MAN1C1	-7.2759576e-11	0.037463304	8.553182	27.751709	1
579	STMN1	1.2438804	1.9173951	0.6242591	11.795513	1
601	HMGN2	0.5875053	0.9030024	0.62004215	5.151896	1
622	FCN3	0.24562904	0.0022521794	-6.7069263	5.888803	1
697	TINAGL1	-7.2759576e-11	0.0119424155	6.911982	10.75561	1
705	SPOCD1	-7.2759576e-11	0.0070834076	6.1665974	6.997143	1
723	FAM167B	0.03998843	0.19517405	2.2842424	11.946054	1
725	HDAC1	0.3276228	0.6149236	0.9081658	5.7657166	1
726	MARCKSL1	1.6579945	2.4477878	0.56201106	17.228676	1
740	FNDC5	-7.2759576e-11	0.0063082227	6.0018535	5.972231	1
757	CSMD2	-7.2759576e-11	0.010477342	6.7248344	8.946406	1
767	GJA4	0.024099464	0.7181285	4.891396	44.55244	1
774	SFPQ	0.6216625	0.9783586	0.65414727	6.7110257	1
781	PSMB2	0.83380276	1.3140583	0.65618795	9.379905	1
794	TRAPPC3	0.32520902	0.6200777	0.93087095	7.0961776	1
832	POU3F1	-7.2759576e-11	0.01515088	7.25275	14.549131	1
846	NDUFS5	1.2955428	1.88453	0.54061323	10.272851	1
854	HEYL	0.008300335	0.08019178	3.2567337	17.564281	1
874	ZMPSTE24	0.13709097	0.3236333	1.2386204	7.2595954	1
890	NFYC-AS1	-7.2759576e-11	0.0123577295	6.9608984	10.735941	1
893	CITED4	0.26464084	0.53403205	1.0126158	6.149881	1
900	AC093151.8	-7.2759576e-11	0.01009014	6.671031	8.4402685	1
930	SLC2A1	0.69350624	0.07971657	-3.1193566	13.499754	1
962	CCDC24	-7.2759576e-11	0.009365005	6.5645323	8.317388	1
964	AL139220.2	-7.2759576e-11	0.008069956	6.3522573	7.4816732	1
992	PRDX1	1.5265923	2.282089	0.5800089	17.887707	1
1018	MKNK1	0.053595945	0.1664512	1.6330807	5.699553	1
1019	MOB3C	0.020196369	0.08881231	2.1311615	6.310988	1
1023	EFCAB14	0.28437856	1.2610203	2.148314	35.16713	1
1026	CYP4X1	-7.2759576e-11	0.009110062	6.5251403	8.194011	1
1080	RAB3B	-7.2759576e-11	0.021656979	7.7653356	17.105793	1
1090	ORC1	-7.2759576e-11	0.005596991	5.8321295	5.1698446	1
1100	ECHDC2	0.0061000716	0.06275611	3.3416963	11.890202	1
1123	YIPF1	0.10383957	0.260189	1.3243693	6.342905	1
1149	DHCR24	0.08649238	0.2259603	1.3843956	5.4787445	1
1166	PLPP3	1.6163383	0.9443399	-0.77528757	7.4356227	1
1177	OMA1	0.006291407	0.043146823	2.7583888	5.9432287	1
1187	LINC01358	-7.2759576e-11	0.025110971	7.977909	21.76299	1
1190	AC093425.1	-7.2759576e-11	0.008391443	6.407939	7.1162915	1
1192	FGGY	-7.2759576e-11	0.03383809	8.406763	26.969059	1
1198	LINC01748	-7.2759576e-11	0.008418472	6.4125237	7.140538	1
1199	AC099792.1	-7.2759576e-11	0.009096723	6.523049	7.481745	1
1200	NFIA	0.16516751	0.3995044	1.2737693	7.398371	1
1201	NFIA-AS2	-7.2759576e-11	0.17986968	10.8135395	44.55244	1
1231	ROR1	0.0104677705	0.10641382	3.3332977	12.413105	1
1240	AK4	0.67584455	0.11678692	-2.5317914	11.8035555	1
1269	DEPDC1	-7.2759576e-11	0.018153826	7.512056	12.79869	1
1353	IFI44L	-7.2759576e-11	0.009595275	6.5992107	10.560672	1
1354	IFI44	0.017344417	0.16891612	3.2763236	19.22407	1
1376	TTLL7	0.10158502	0.2781256	1.452148	7.175091	1
1380	PRKACB	0.06498719	0.18027627	1.470564	6.027012	1
1381	SAMD13	-7.2759576e-11	0.011895956	6.9064054	10.242102	1
1403	AC092807.3	-7.2759576e-11	0.022609647	7.8271627	19.290413	1
1405	CCN1	0.21432124	0.5389162	1.3298807	8.837578	1
1415	AL049597.2	-7.2759576e-11	0.014119147	7.1516924	11.852669	1
1430	RBMXL1	0.009797679	0.06871826	2.7976294	10.7414	1
1432	GBP1	-7.2759576e-11	0.01944719	7.6108184	17.125504	1
1442	LRRC8B	0.5036122	0.12087006	-2.0579498	7.49539	1
1466	EPHX4	0.037812736	0.25881425	2.7717197	20.803917	1
1488	GCLM	0.19538721	0.6678247	1.7726111	19.068523	1
1489	ABCA4	-7.2759576e-11	0.01438656	7.178572	11.769574	1
1522	MIR137HG	-7.2759576e-11	0.014053503	7.1450167	12.274741	1
