	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
1	FAM138A	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
2	OR4F5	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
3	AL627309.1	-7.2759576e-11	0.0016735134	4.1485395	1.9325281	0
4	AL627309.3	-7.2759576e-11	0.0002955225	1.983761	0.49841058	0
5	AL627309.2	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
6	AL627309.5	0.031776104	0.012614459	-1.3260053	0.5141351	0
7	AL627309.4	0.007579614	0.0004432086	-3.8214555	0.45610428	0
8	AP006222.2	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
9	AL732372.1	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
10	OR4F29	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
11	AC114498.1	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
12	OR4F16	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
13	AL669831.2	-7.2759576e-11	0.00037447148	2.2463224	0.4984182	0
14	LINC01409	0.031516064	0.028408827	-0.14924917	0.0721234	0
15	FAM87B	-7.2759576e-11	0.00016276917	1.393797	0.4984036	0
16	LINC01128	0.10321422	0.099945515	-0.04638229	0.038393263	0
17	LINC00115	0.019862028	0.008864138	-1.1550215	0.45170113	0
18	FAM41C	0.004667062	0.018139424	1.9358879	1.9745622	0
19	AL645608.6	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
20	AL645608.2	-7.2759576e-11	0.0015336786	4.030053	2.0092409	0
21	AL645608.4	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
22	LINC02593	-7.2759576e-11	0.005638063	5.842493	4.878806	0
23	SAMD11	-7.2759576e-11	0.035227194	8.464637	28.87312	1
24	NOC2L	0.24806392	0.23221812	-0.09519176	0.13928321	0
25	KLHL17	0.02821128	0.019149434	-0.55656105	0.2335637	0
26	PLEKHN1	0.011615665	0.0005278498	-4.2218757	0.46453166	0
27	PERM1	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
28	AL645608.7	0.013741772	0.0061000213	-1.1586835	0.2355238	0
29	HES4	0.46096283	0.4701952	0.028603185	0.053739667	0
30	ISG15	0.2590126	0.42921433	0.7284551	3.4302235	0
31	AL645608.1	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
32	AGRN	0.26070163	0.14714023	-0.82478076	1.6927117	0
33	AL645608.5	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
34	AL645608.8	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
35	RNF223	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
36	C1orf159	0.013937506	0.021352902	0.6118862	0.31254905	0
37	AL390719.3	-7.2759576e-11	0.00014503693	1.2930003	0.49845546	0
38	LINC01342	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
39	AL390719.2	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
40	TTLL10-AS1	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
41	TTLL10	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
42	TNFRSF18	-7.2759576e-11	0.0013715816	3.8792965	1.6782762	0
43	TNFRSF4	0.046772882	0.036737476	-0.34757927	0.19792974	0
44	SDF4	0.5849052	0.666676	0.18875273	0.7039407	0
45	B3GALT6	0.16056475	0.21482582	0.41978535	0.7885382	0
46	C1QTNF12	-7.2759576e-11	0.003939233	5.3360105	4.0703	0
47	AL162741.1	-7.2759576e-11	0.00094569294	3.3863885	0.8024843	0
48	UBE2J2	0.28743073	0.32551268	0.17944065	0.4109949	0
49	LINC01786	-7.2759576e-11	0.00060558843	2.818828	0.802127	0
50	SCNN1D	-7.2759576e-11	0.004147062	5.4083943	3.9268744	0
51	ACAP3	0.077622764	0.107585356	0.470413	0.5380464	0
52	PUSL1	0.15983777	0.09151458	-0.8038615	1.1545348	0
53	INTS11	0.2504208	0.19545339	-0.35736784	0.57435787	0
54	AL139287.1	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
55	CPTP	0.08884008	0.09301915	0.0662441	0.05374916	0
56	TAS1R3	0.010571513	0.00029477203	-4.7566013	0.4758649	0
57	DVL1	0.09895371	0.055621855	-0.8299677	0.6874699	0
58	MXRA8	0.0066341534	0.043943483	2.7093601	5.7434635	1
59	AURKAIP1	0.76361305	1.0554092	0.4668366	4.747484	0
60	CCNL2	0.4101868	0.3282769	-0.32128006	0.9054232	0
61	MRPL20-AS1	0.06067582	0.042507045	-0.5124054	0.3643504	0
62	MRPL20	0.7073845	0.9626736	0.44449803	3.0954282	0
63	AL391244.2	0.01773194	0.0041806167	-2.0585732	0.45023978	0
64	ANKRD65	0.008608577	-1.1568773e-09	-6.4443817	0.494137	0
65	AL391244.1	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
66	TMEM88B	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
67	LINC01770	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
68	VWA1	0.38437784	0.072104275	-2.412744	5.623494	1
69	ATAD3C	0.014307463	0.0014714367	-3.1966603	0.640699	0
70	ATAD3B	0.040309258	0.038157433	-0.07894578	0.037427243	0
71	ATAD3A	0.11529877	0.090846896	-0.3435315	0.34286693	0
72	TMEM240	0.06901497	0.03900166	-0.8217683	0.50766647	0
73	SSU72	0.8047284	0.78557307	-0.03475207	0.11984596	0
74	AL645728.1	-7.2759576e-11	0.021911079	7.7820873	17.316826	1
75	FNDC10	0.06409135	0.04723652	-0.43942517	0.3201571	0
76	AL691432.4	0.014139637	0.0023923235	-2.5143492	0.614993	0
77	AL691432.2	0.05431375	0.025989844	-1.060483	0.73156255	0
78	MIB2	0.1776519	0.10078054	-0.8172171	1.4276848	0
79	MMP23B	0.008640809	0.014902437	0.77935815	0.3164626	0
80	CDK11B	0.27713546	0.19959314	-0.47332692	1.0679897	0
81	FO704657.1	-7.2759576e-11	0.0023577895	4.619291	2.45185	0
82	SLC35E2B	0.14725477	0.08612629	-0.77309394	1.0397121	0
83	CDK11A	0.21475871	0.1372559	-0.6454693	1.1511531	0
84	SLC35E2A	0.024945796	0.038630653	0.6289075	0.53538626	0
85	NADK	0.091407046	0.16714376	0.8699977	2.1258564	0
86	GNB1	1.0367664	1.1870848	0.19531453	1.784159	0
87	AL109917.1	-7.2759576e-11	0.0004912004	2.5636485	0.78859484	0
88	CALML6	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
89	TMEM52	-7.2759576e-11	0.0014270082	3.932637	1.4952016	0
90	CFAP74	0.004873645	0.012836232	1.379042	0.8780534	0
91	AL391845.2	0.014473003	0.006158881	-1.2193217	0.24488515	0
92	GABRD	0.02672779	0.009902992	-1.4232967	0.5529263	0
93	AL391845.1	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
94	PRKCZ	0.07272497	0.015387031	-2.2333727	1.4272838	0
95	AL590822.2	0.004873645	0.0010250753	-2.1442819	0.36172506	0
96	PRKCZ-AS1	-7.2759576e-11	0.00052615994	2.6465323	0.96277905	0
97	FAAP20	0.6419127	0.544433	-0.23758237	1.1049616	0
98	AL590822.1	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
99	SKI	0.3237058	0.24711604	-0.3893563	0.89055204	0
100	AL590822.3	-7.2759576e-11	0.0043756813	5.4840364	4.194922	0
101	MORN1	-7.2759576e-11	0.011883138	6.904863	10.241039	1
102	AL589739.1	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
103	AL513477.2	-7.2759576e-11	0.0032570204	5.0691104	2.9035106	0
104	RER1	0.3896587	0.6849301	0.8135863	7.0437756	0
105	PEX10	0.058237877	0.06872451	0.23848958	0.19895974	0
106	PLCH2	-7.2759576e-11	-1.1568773e-09	-1.5650507e-05	44.55244	0
107	AL139246.1	-7.2759576e-11	0.00041880965	2.3752065	0.78105724	0
