	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
29	HES4	0.45276177	0.24271016	-0.8992419	9.4617815	1
367	FBLIM1	0.5363832	0.33758312	-0.667863	8.235176	1
441	NBL1	0.18107934	0.090848304	-0.9942999	5.0158534	1
767	GJA4	0.47024095	0.17622758	-1.4154487	17.339973	1
1023	EFCAB14	1.0339366	0.69113976	-0.58102924	13.649845	1
1872	GJA5	0.15407884	0.0190808	-3.00687	13.64277	1
2203	NES	0.7886828	0.53265953	-0.56614363	9.674285	1
2370	RGS5	0.6150044	0.42616868	-0.52906835	5.229276	1
2532	RASAL2	0.59133726	0.40384465	-0.55006766	7.028585	1
2543	ABL2	0.55467814	0.37139493	-0.5785686	7.12446	1
2879	CD34	0.9802068	0.64337134	-0.6073574	11.525548	1
3675	TP53I3	0.5403621	0.33011776	-0.71077585	9.608914	1
3796	EHD3	0.16695094	0.3282124	0.9747811	5.3155475	1
4096	SLC1A4	0.41353935	0.2500981	-0.72530264	7.2661543	1
4148	AAK1	0.4438379	0.291249	-0.60760957	5.982107	1
4229	DCTN1	0.4816411	0.33626696	-0.518222	5.3039203	1
4337	ST3GAL5	0.20909528	0.10984181	-0.9281102	5.4262967	1
4692	MIR4435-2HG	0.49694586	0.3258455	-0.60874814	6.639831	1
4793	INHBB	0.67872566	0.45658106	-0.5718543	6.841935	1
5412	NDUFB3	0.41380724	0.67809576	0.71239436	11.652992	1
5543	FN1	1.5194978	0.6761812	-1.1679943	41.02481	1
5570	IGFBP5	2.7061753	1.7516224	-0.6275344	15.686718	1
5694	FAM124B	0.103625454	0.035784535	-1.5313358	5.29988	1
5982	BHLHE40	0.13020235	0.31856316	1.2901691	10.161227	1
6106	MRPS25	0.3339392	0.2096353	-0.67144763	5.327831	1
6619	FLNB	0.45901364	0.2758272	-0.73456365	8.551855	1
6697	FRMD4B	0.5748506	0.38934934	-0.56200254	7.3018765	1
6896	PHLDB2	0.29212207	0.15492034	-0.91460747	7.074881	1
6954	GAP43	0.30088282	0.11012176	-1.449272	10.479435	1
7037	MYLK	0.46245915	0.29219225	-0.6622264	6.952811	1
7096	MGLL	0.6011063	0.39522552	-0.60481906	7.1503806	1
7099	SEC61A1	0.47195473	0.29945746	-0.6561214	7.3349895	1
7386	MME	0.19730487	0.36089343	0.8708149	6.063422	1
7417	VEPH1	0.3294916	0.18722247	-0.8151554	6.6465554	1
7795	PCYT1A	0.4658903	0.32684827	-0.5112375	5.025206	1
8031	WDR1	0.79313016	0.5584193	-0.5061325	9.514845	1
8363	IGFBP7	0.5043941	0.30161914	-0.7416314	6.450777	1
8523	SEPTIN11	0.7540743	0.52985275	-0.5090342	7.700945	1
8624	GPRIN3	0.50960827	0.32277432	-0.65869915	6.137341	1
8691	EMCN	0.94152904	1.4131857	0.5858224	16.608793	1
9503	SEMA5A	0.20455876	0.091066554	-1.1666439	6.0695233	1
9674	RAI14	0.69018286	0.46589452	-0.5668747	9.401246	1
10013	ENC1	0.4591338	0.21462423	-1.0967438	14.063792	1
10024	HMGCR	0.4860205	0.31530872	-0.62409145	6.67306	1
10039	F2R	0.8649148	0.5600137	-0.62700504	13.7921295	1
10093	ATG10	0.12708692	0.053157236	-1.2559009	5.1153193	1
10813	SMIM3	0.070142284	0.18192802	1.3737489	5.4190145	1
10818	ANXA6	0.49449894	0.30058378	-0.7180121	8.629758	1
11000	DUSP1	0.36311504	0.6394021	0.81612515	10.751229	1
11089	PDLIM7	0.46160945	0.27665126	-0.7383954	9.001234	1
11238	TUBB2A	0.63144636	0.37784943	-0.7406955	10.736239	1
11240	TUBB2B	0.22225653	0.07373675	-1.5904638	10.002133	1
11751	NOTCH4	0.7249867	0.4932194	-0.5556315	8.345799	1
11997	VEGFA	0.11755492	0.26862922	1.1915915	6.746074	1
12435	AMD1	0.38744423	0.22931364	-0.75640976	7.2114162	1
12659	TNFAIP3	0.25961792	0.5012932	0.94899696	10.809797	1
12679	CITED2	0.5879363	1.0177794	0.7915895	20.99093	1
13074	EIF3B	0.5153359	0.33178672	-0.63510233	7.946057	1
13170	THSD7A	0.28281948	0.14080858	-1.0056319	7.1336713	1
13502	MYL7	0.28442222	0.162832	-0.8042713	5.2666807	1
14584	GIMAP4	0.74177444	0.5221845	-0.50633913	7.6669693	1
14758	ANGPT2	0.8703728	0.587748	-0.566356	6.1389728	1
14925	MTUS1	0.40748855	0.2570653	-0.6644176	5.1801696	1
14947	CSGALNACT1	0.537997	0.34886673	-0.6247769	7.401953	1
15090	KIF13B	0.2597888	0.14826797	-0.8087148	5.6903324	1
15505	ELOC	0.5679701	0.8299316	0.54709727	11.502603	1
15567	FABP5	0.671529	0.4537871	-0.56533116	6.7408557	1
15599	CA2	0.80092824	1.511045	0.915717	34.22893	1
15978	FAM49B	0.3085409	0.18599047	-0.729925	5.3194475	1
16049	SLC45A4	0.12423366	0.03742268	-1.7283821	6.753934	1
16189	COMMD5	0.26417413	0.14815614	-0.8339433	5.7881637	1
16329	RRAGA	0.4999099	0.34407476	-0.5388155	5.629703	1
16511	TPM2	0.861772	0.57147956	-0.5925193	10.991179	1
16956	TMEM246	0.34523585	0.21365935	-0.69201255	5.922424	1
17202	ANGPTL2	0.23980337	0.13361126	-0.8433325	5.144175	1
17217	SH2D3C	0.37592393	0.23793633	-0.6596427	6.0736384	1
17385	RXRA	0.40758705	0.26263243	-0.6338679	6.0154576	1
18451	ENTPD1	0.4882804	0.30472735	-0.6800129	7.5506754	1
18732	GRK5	0.4287297	0.2884805	-0.57143116	5.1217656	1
18765	HTRA1	1.2484233	0.7300901	-0.77387875	21.31897	1
19154	CAVIN3	1.0658882	0.75246567	-0.502302	9.56654	1
