	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
32	AGRN	0.24170662	0.14714023	-0.7156818	6.7295537	1
58	MXRA8	0.009459718	0.043943483	2.2038887	12.655532	1
68	VWA1	0.2862895	0.072104275	-1.9878224	24.07744	1
187	KLHL21	0.01920758	0.04547862	1.2391899	5.2796373	1
232	SLC25A33	0.048962507	0.09441729	0.94595724	5.874355	1
297	TNFRSF1B	0.21839799	0.11931106	-0.87168354	7.8715224	1
339	KAZN	0.06884566	0.1186205	0.7840374	5.3706303	1
359	DDI2	0.26873103	0.14511064	-0.8885524	10.201926	1
374	HSPB7	0.050598554	0.0034549388	-3.834048	7.5509396	1
378	EPHA2	0.111590795	0.22312044	0.99895877	14.931004	1
416	RCC2	0.18486059	0.27625307	0.5792946	7.3664217	1
441	NBL1	0.18107934	0.107194744	-0.755839	5.5290933	1
464	CAMK2N1	0.028082889	0.097937115	1.7985086	15.627058	1
530	HMGCL	0.23550148	0.1552214	-0.6010919	5.1995897	1
702	COL16A1	0.0065751444	0.033650417	2.3380344	12.27273	1
737	KIAA1522	0.032589886	0.07878724	1.2709476	7.7139955	1
767	GJA4	0.47024095	0.7181285	0.6107361	15.016449	1
797	SH3D21	0.08095886	0.02359377	-1.7744621	6.781259	1
840	RRAGC	0.27129135	0.42268106	0.639536	13.372484	1
854	HEYL	0.027838273	0.08019178	1.5230095	10.443834	1
871	RLF	0.34631225	0.1985982	-0.8019111	12.065387	1
930	SLC2A1	0.48995826	0.07971657	-2.6181931	44.55244	1
1026	CYP4X1	6.693881e-10	0.009110062	6.5251293	8.194009	1
1032	TAL1	0.10558345	0.047578212	-1.1483474	5.527461	1
1123	YIPF1	0.18009338	0.260189	0.53056824	5.645256	1
1140	ACOT11	0.17498663	0.094535366	-0.8876176	6.6044765	1
1166	PLPP3	1.3458823	0.9443399	-0.51112854	26.257456	1
1200	NFIA	0.21995234	0.3995044	0.86072564	18.204771	1
1201	NFIA-AS2	0.054509707	0.17986968	1.7205245	27.372461	1
1208	L1TD1	0.0005427126	0.008773345	3.7872324	6.271014	1
1230	PGM1	0.23959719	0.09083552	-1.3982971	15.058814	1
1231	ROR1	0.05385484	0.10641382	0.98121625	6.3285155	1
1240	AK4	0.55093396	0.11678692	-2.237028	44.55244	1
1247	PDE4B	0.45707017	0.22863631	-0.9990458	20.393515	1
1326	RABGGTB	0.15612799	0.25195426	0.69008136	8.6507225	1
1405	CCN1	0.37319976	0.5389162	0.5299941	9.553695	1
1436	GBP4	0.09997078	0.022048453	-2.1757429	8.716214	1
1466	EPHX4	0.13341473	0.25881425	0.9554753	15.432996	1
1526	SNX7	0.2896397	0.44823578	0.62982225	13.624136	1
1562	OLFM3	6.693881e-10	0.01163386	6.874524	9.526434	1
1565	COL11A1	0.6438018	0.1486782	-2.1136775	44.55244	1
1724	OLFML3	0.036426067	0.08433487	1.2089125	7.5298033	1
1741	NGF	0.0031528969	0.01593784	2.301683	5.4898977	1
1752	ATP1A1	0.5616565	0.3889969	-0.52981544	12.264192	1
1792	PHGDH	0.06250767	0.11798809	0.9154522	5.73714	1
1796	NOTCH2	0.02652308	0.10326555	1.9570062	21.920988	1
1830	FAM72D	6.693881e-10	0.009161315	6.5331354	7.49522	1
1853	TXNIP	0.9424272	0.2809032	-1.7459478	44.55244	1
1872	GJA5	0.15407884	0.05919464	-1.3786312	7.4790287	1
1888	NBPF14	0.010316008	0.03855824	1.8919736	8.616229	1
1917	SV2A	0.18011959	0.11039964	-0.7057141	5.021221	1
1935	ECM1	0.20062555	0.11713464	-0.77582544	5.9492736	1
2072	S100A16	1.5806782	1.0521412	-0.5871696	44.55244	1
2088	CRTC2	0.020173518	0.06259248	1.628696	9.733765	1
2089	SLC39A1	0.4350795	0.29149273	-0.5776558	9.978228	1
2107	SHE	0.33592975	0.23620683	-0.50792766	5.635332	1
2117	KCNN3	0.584675	0.36292034	-0.68783134	15.175025	1
2299	VANGL2	0.025578585	0.056705587	1.1454672	5.4361076	1
2315	USF1	0.016192045	0.043526582	1.4210398	5.480581	1
2331	APOA2	0.04643406	-1.1568773e-09	-8.86216	8.257909	1
2354	OLFML2B	0.0011514694	0.020420413	4.035365	13.262399	1
2366	DDR2	0.023519447	0.07922534	1.7478065	13.150263	1
2367	HSD17B7	0.029358394	0.072751254	1.306275	8.234243	1
2401	ILDR2	0.0074096182	0.059730396	2.9940672	22.852621	1
2477	DNM3OS	0.08747078	0.1611284	0.8805845	7.2221947	1
2589	RGS16	0.06790581	0.13193025	0.9571385	6.6203194	1
2593	NPL	0.014474618	0.03839902	1.4013636	5.001013	1
2626	IVNS1ABP	1.1798062	0.7647504	-0.62542266	33.65811	1
2673	GLRX2	0.19623339	0.28792623	0.55289453	6.86121	1
2685	KCNT2	6.693881e-10	0.0077376245	6.292335	7.063359	1
2699	C1orf53	0.024251346	0.07055994	1.5368911	10.171821	1
2734	TNNT2	0.18017454	-1.1568773e-09	-10.815997	27.188604	1
2737	TNNI1	0.13862158	0.014827461	-3.2161515	17.293682	1
2782	BTG2	0.19069725	0.29613945	0.6347233	8.131562	1
2809	LRRN2	0.0036724787	0.020931272	2.4789515	7.3593407	1
2821	KLHDC8A	0.094832994	0.0087358	-3.425477	13.10885	1
2896	CAMK1G	6.693881e-10	0.006086402	5.951019	5.9409704	1
2899	G0S2	0.011226706	0.06827215	2.5936806	19.840567	1
2905	SYT14	0.01599153	0.045984205	1.517971	6.378604	1
2934	PPP2R5A	0.28199652	0.18638417	-0.5971356	6.107638	1
3010	MARK1	0.035638407	0.07749867	1.1185565	6.6547804	1
3060	AC096537.1	6.693881e-10	0.0054147514	5.7852144	5.209939	1
3180	EGLN1	0.37642112	0.2577498	-0.54619986	7.3395157	1
3268	CHRM3	0.11851702	0.22199927	0.90489364	11.17036	1
3302	AKT3	0.5059409	0.32421464	-0.64186007	13.045297	1
3463	ADI1	0.4046616	0.61055017	0.5932738	17.060116	1
3513	ID2	0.21378297	0.11693256	-0.8699115	6.3524356	1
3577	TRIB2	0.08774009	0.17817146	1.0211241	11.248841	1
3584	LRATD1	0.09967644	0.21107504	1.0816683	12.712076	1
3652	AC018742.1	6.693881e-10	0.0076843747	6.2824993	6.9561534	1
3686	ADCY3	0.014103134	0.0371531	1.3911512	5.2968063	1
3717	MAPRE3	0.08512868	0.14387396	0.756397	5.8164005	1
3726	EMILIN1	0.04935092	0.103366196	1.0650902	6.803232	1
3796	EHD3	0.16695094	0.06620253	-1.3331523	7.6253853	1
