	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1872	GJA5	0.0190808	0.05919464	1.6282389	6.395075	1
2879	CD34	0.64337134	0.80818385	0.32898617	4.5914583	0
4793	INHBB	0.45658106	0.2640306	-0.7899354	8.239642	1
5543	FN1	0.6761812	0.9711909	0.5222803	9.867987	1
7096	MGLL	0.39522552	0.4066298	0.041029595	0.154402	0
8332	KDR	1.6891927	1.4867165	-0.18419272	6.7432923	0
9657	NPR3	0.45203316	0.044695456	-3.3353233	28.529875	1
11751	NOTCH4	0.4932194	0.45485812	-0.116788246	0.6686113	0
12519	GJA1	1.0725887	1.22246	0.18867381	3.7800598	0
15327	SOX17	0.79859495	0.57561374	-0.47229296	8.415188	0
20840	ESAM	1.5719603	1.6425123	0.0633355	1.3893211	0
20847	ROBO4	0.4877334	0.4887726	0.003070061	0.0121361725	0
23568	EFNB2	0.5821175	0.8086436	0.47412416	10.860154	0
23752	RNASE1	0.44977534	0.48260832	0.101626456	0.533569	0
27547	CDH5	1.3067827	1.5968626	0.2892008	12.124468	0
29637	PECAM1	1.7736702	1.9356781	0.12609442	3.7186007	0
31153	INSR	0.41933304	0.37658536	-0.15508051	0.79452264	0
