	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
23	SAMD11	0.314731	0.03156569	-3.313585	6.202583	1
104	RER1	0.72582924	0.344785	-1.0737135	6.2051754	1
448	PLA2G2A	0.9129253	0.28983667	-1.6549171	5.1407366	1
1149	DHCR24	0.49509653	0.15684062	-1.6577823	6.403568	1
2497	GAS5	2.017251	2.9386845	0.54275745	10.813406	1
3073	EPHX1	0.36960742	0.118182346	-1.6441492	5.203382	1
3163	AGT	1.6946363	1.0406731	-0.70340526	5.3166423	1
3513	ID2	2.2062573	1.4333367	-0.62218815	7.4089236	1
3649	APOB	2.3292065	1.3684092	-0.76729524	7.858842	1
6249	ACAA1	1.6741471	0.8817104	-0.92497206	10.516707	1
8418	UGT2A3	0.27445298	0.055496898	-2.3040082	5.0102863	1
8454	GC	0.4406657	0.035312064	-3.637699	5.8893065	1
8462	ALB	4.6781235	2.0601566	-1.1831368	12.013494	1
9098	FGA	1.134062	0.492185	-1.2040612	5.9251647	1
10323	CDO1	0.7075155	0.28135043	-1.3300848	5.1998944	1
10352	HSD17B4	0.70829695	0.36007366	-0.97586536	5.0705433	1
10526	TGFBI	1.0979927	0.43221888	-1.3448322	11.307716	1
11308	HULC	0.93580985	0.44463474	-1.0734246	5.470335	1
11727	CFB	0.73670447	0.27917638	-1.3995883	6.5549893	1
12522	PKIB	1.2271006	0.764815	-0.6819998	5.83612	1
13889	PON2	1.412513	0.9570271	-0.5615839	5.241101	1
14236	HILPDA	0.3441419	0.88510525	1.3625894	5.297727	1
14514	TCAF1	1.0541803	0.61761177	-0.77125263	5.896233	1
15445	SNHG6	1.004451	1.5474172	0.6234045	7.8369455	1
15749	PABPC1	1.0153812	1.4479076	0.5119056	5.6823745	1
16862	FBP1	0.39802846	0.10120365	-1.9745477	5.355168	1
17441	AGPAT2	1.1678962	0.6491754	-0.8471331	6.542903	1
17577	AKR1C1	1.6066995	0.94662637	-0.7631705	6.789229	1
17578	AKR1C2	0.9942925	0.468898	-1.0842338	5.1687665	1
17626	ITIH2	0.9353609	0.3926692	-1.2519957	6.395505	1
18338	GLUD1	1.2723995	0.58749187	-1.1147788	5.6344376	1
18729	DENND10	0.85414207	0.4732925	-0.85160816	5.5365214	1
18841	MGMT	1.194019	0.724822	-0.72004884	6.845111	1
18967	PNPLA2	0.25602794	0.034513745	-2.8874476	5.866552	1
19003	CTSD	1.4529368	0.93093747	-0.6421601	6.7955747	1
19037	CDKN1C	1.4993831	0.81371915	-0.88168514	5.3537064	1
19159	HPX	0.26392642	0.031109607	-3.08062	5.1772637	1
19717	SERPING1	0.5160687	0.13290055	-1.9564104	8.485709	1
20024	CFL1	1.561857	1.078253	-0.53452516	6.005557	1
20235	STARD10	1.1788809	0.7808939	-0.5941571	6.553421	1
20676	APOA1	3.7366884	2.1916945	-0.76968634	6.9467263	1
23651	F10	1.3975459	0.82561225	-0.75928783	6.788327	1
23726	CCNB1IP1	0.39802945	0.7892527	0.98743254	6.04622	1
25724	LIPC	0.75931805	0.35264474	-1.1062698	6.0998154	1
26573	NPW	1.123711	0.16807196	-2.7403903	10.9321785	1
28299	ACADVL	1.4388075	0.9189705	-0.64672637	7.4711905	1
28350	NAA38	0.960675	0.5627001	-0.771576	6.2228312	1
28684	VTN	2.0898874	0.9654228	-1.1141119	11.327286	1
28910	CCL15	0.5717902	0.23851201	-1.2610716	5.085342	1
29229	SLC25A39	0.6131061	0.31030622	-0.98221457	5.501705	1
29653	APOH	0.9143772	0.26012596	-1.8131824	6.0814476	1
30267	LDLRAD4	0.4010006	0.122695245	-1.7077093	5.07074	1
30401	TTR	1.8523477	0.94263166	-0.97451365	6.46266	1
30548	ACAA2	1.1382529	0.7297624	-0.64125144	5.5484314	1
31138	C3	1.5297668	0.8038822	-0.92817056	7.810417	1
31861	HAMP	2.2326908	1.0527426	-1.0845582	5.447621	1
32447	FCGRT	1.2397332	0.6777751	-0.87105465	6.9384036	1
33579	STAU1	0.93958515	0.5586932	-0.7498631	5.3636937	1
33705	CTSZ	0.86953497	0.44327185	-0.97189295	6.659424	1
34860	SELENOM	0.63164854	0.17882839	-1.8199681	7.2228146	1
34964	TST	0.8300518	0.43243563	-0.94055617	5.1959023	1
34968	TMPRSS6	0.49425387	0.144728	-1.7712035	7.0825114	1
35592	RGN	0.67547	0.25229666	-1.4204125	7.5554624	1
35640	PCSK1N	0.5118965	0.18298388	-1.4836292	5.2123957	1
36042	ACSL4	1.3816476	0.7582295	-0.86559737	5.1637297	1
