	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1212	ANGPTL3	0.5135719	1.3060111	1.3463584	11.3447275	1
2150	FDPS	0.7864351	1.4065782	0.83870924	6.524497	1
2497	GAS5	2.7837021	1.9600713	-0.5060769	8.283917	1
2688	CFHR1	0.023328852	0.23598334	3.3329382	7.3761077	1
2899	G0S2	0.8611652	0.19876286	-2.1146836	5.5405664	1
3163	AGT	0.9552896	1.6431085	0.7823545	6.1733437	1
3231	TOMM20	1.6412426	1.1409111	-0.52456355	7.1969867	1
3649	APOB	1.4455315	2.7427197	0.92395985	13.276603	1
4156	PCBP1	1.293495	0.90873456	-0.5092965	5.011529	1
4576	CNOT11	0.61153746	0.22391489	-1.4490821	6.7893286	1
4771	INSIG2	0.89689314	0.39107376	-1.1972874	6.9597783	1
4931	HNMT	1.0208561	0.36714715	-1.4750978	8.739738	1
6581	SELENOK	0.72766125	0.35170442	-1.0486917	5.502804	1
7017	FAM162A	1.5172746	0.9197712	-0.72207355	5.9322615	1
7174	TF	2.1561499	3.2131052	0.5754888	7.83605	1
7405	SSR3	1.6062695	1.0495561	-0.613887	7.4099026	1
7519	SLC2A2	-5.820766e-11	0.13512282	10.401124	5.523402	1
7680	EIF4A2	1.7030574	1.1529675	-0.56273484	7.3395166	1
8418	UGT2A3	0.12382393	0.4018794	1.6976668	5.6304317	1
8454	GC	0.02013154	0.66467965	5.0381985	15.374184	1
8462	ALB	2.4052634	5.127535	1.0920389	15.100742	1
8463	AFP	3.1467519	4.630479	0.5572834	6.5823236	1
8767	CFI	0.20960657	0.50575906	1.2703635	5.8021784	1
9097	FGB	0.91106695	1.6939538	0.89469236	6.8038554	1
9324	ANKRD37	1.0020041	0.20542766	-2.2856278	7.763817	1
9682	PRLR	0.045840356	0.23052843	2.3277364	6.14999	1
9752	GHR	0.026102083	0.19851266	2.9222043	6.7072244	1
9768	HMGCS1	0.5130397	1.1416422	1.1538134	7.5142636	1
10016	NSA2	1.2769214	0.7997252	-0.67502606	5.1666946	1
10291	EPB41L4A-AS1	0.9691846	0.3366382	-1.5252929	8.934547	1
10323	CDO1	0.24853136	0.7309758	1.5560127	8.272437	1
10525	LECT2	-5.820766e-11	0.13651392	10.41589	5.4462647	1
10526	TGFBI	0.60082555	1.0756897	0.8401379	6.007948	1
10928	CCNG1	0.7905774	0.4400106	-0.8452231	5.039131	1
11818	RPS10	1.64588	1.0853986	-0.6005889	7.582487	1
11997	VEGFA	1.3662221	0.8875746	-0.62219477	5.487926	1
12298	PNRC1	1.6181122	0.86993176	-0.8952608	10.115782	1
13178	ARL4A	0.07648543	0.2781654	1.8613195	5.216067	1
13884	PEG10	0.42633337	1.0878665	1.3512421	8.431043	1
13934	CYP3A7	0.01199016	0.33453277	4.7906733	9.550908	1
14236	HILPDA	0.8994901	0.11936682	-2.912658	8.559307	1
14652	INSIG1	0.1682057	0.45814863	1.4450465	5.368286	1
15322	TCEA1	1.3899213	0.8374242	-0.73090416	5.9917927	1
15445	SNHG6	1.4881145	0.77341276	-0.9440854	10.320018	1
15552	TPD52	0.57093763	0.16133569	-1.8226262	6.8767657	1
15855	EIF3H	1.2158647	0.8009575	-0.60212356	5.1255136	1
16862	FBP1	0.13934854	0.44719738	1.6815015	5.451003	1
16954	ALDOB	0.07279351	0.34289336	2.2343183	5.630984	1
17062	AMBP	1.938869	2.8662543	0.5639272	7.966039	1
17316	ASS1	0.20025676	0.5401684	1.4311051	7.7198257	1
17441	AGPAT2	0.6492137	1.1654164	0.8439817	5.66833	1
17562	KLF6	0.45253748	0.8911562	0.9774842	5.725378	1
17626	ITIH2	0.43307212	1.3532082	1.6434782	16.393929	1
18170	DDIT4	1.7079393	0.77572215	-1.1385432	8.318721	1
18180	P4HA1	1.1574268	0.6200119	-0.9004451	6.8187695	1
18338	GLUD1	0.6261818	1.3729609	1.1325119	8.7332945	1
