	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	2.910383e-10	0.0	-4.213581e-06	44.55244	0
1	FAM138A	2.910383e-10	0.0	-4.213581e-06	44.55244	0
2	OR4F5	2.910383e-10	0.0	-4.213581e-06	44.55244	0
3	AL627309.1	0.0036883396	0.0	-5.243494	0.8004364	0
4	AL627309.3	2.910383e-10	0.0	-4.213581e-06	44.55244	0
5	AL627309.2	2.910383e-10	0.0	-4.213581e-06	44.55244	0
6	AL627309.5	0.054292716	0.0	-9.08727	6.8399644	1
7	AL627309.4	0.00623423	0.0	-5.9850974	1.0450658	0
8	AP006222.2	2.910383e-10	0.0	-4.213581e-06	44.55244	0
9	AL732372.1	2.910383e-10	0.0	-4.213581e-06	44.55244	0
10	OR4F29	2.910383e-10	0.0	-4.213581e-06	44.55244	0
11	AC114498.1	2.910383e-10	0.0	-4.213581e-06	44.55244	0
12	OR4F16	2.910383e-10	0.0	-4.213581e-06	44.55244	0
13	AL669831.2	2.910383e-10	0.0	-4.213581e-06	44.55244	0
14	LINC01409	0.056494415	0.0	-9.144516	7.0009313	1
15	FAM87B	2.910383e-10	0.0	-4.213581e-06	44.55244	0
16	LINC01128	0.08745779	0.0	-9.774092	10.464033	1
17	LINC00115	0.016203774	0.0	-7.3490624	2.5880008	0
18	FAM41C	0.006097252	0.0	-5.9535565	1.0715106	0
19	AL645608.6	2.910383e-10	0.0	-4.213581e-06	44.55244	0
20	AL645608.2	0.001180171	0.0	-3.6782646	0.49771154	0
21	AL645608.4	0.001841212	0.0	-4.278886	0.4977079	0
22	LINC02593	0.008435981	0.0	-6.4154854	1.3057661	0
23	SAMD11	0.06973681	0.0	-9.447844	8.932463	1
24	NOC2L	0.23897916	0.0	-11.223272	30.967287	1
25	KLHL17	0.026258012	0.0	-8.042098	3.7063577	0
26	PLEKHN1	0.0036445537	0.0	-5.226722	0.766502	0
27	PERM1	2.910383e-10	0.0	-4.213581e-06	44.55244	0
28	AL645608.7	0.0016475031	0.0	-4.127223	0.49771088	0
29	HES4	0.47524273	0.48932353	0.042115394	0.0080245305	0
30	ISG15	0.2593479	0.0	-11.341229	27.087658	1
31	AL645608.1	2.910383e-10	0.0	-4.213581e-06	44.55244	0
32	AGRN	0.1289732	0.0	-10.333974	16.612656	1
33	AL645608.5	2.910383e-10	0.0	-4.213581e-06	44.55244	0
34	AL645608.8	2.910383e-10	0.0	-4.213581e-06	44.55244	0
35	RNF223	2.910383e-10	0.0	-4.213581e-06	44.55244	0
36	C1orf159	0.01642861	0.0	-7.3688216	2.6848655	0
37	AL390719.3	2.910383e-10	0.0	-4.213581e-06	44.55244	0
38	LINC01342	2.910383e-10	0.0	-4.213581e-06	44.55244	0
