	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
774	SFPQ	0.76683027	0.49512735	-0.63100445	5.8787107	1
1631	GSTM3	0.7923098	0.5472766	-0.5337129	5.946949	1
1935	ECM1	0.777738	0.50449014	-0.6243577	6.195656	1
4054	USP34	0.56241506	0.36002836	-0.64338064	5.068028	1
6083	FBLN2	0.80227774	0.5318039	-0.59311587	5.180261	1
8359	REST	0.5827904	0.35376376	-0.7200307	5.870671	1
13920	ARPC1B	0.81445116	0.5367249	-0.6015536	5.9424706	1
14341	PTN	1.4069142	0.95222247	-0.5631149	6.5581946	1
25844	HACD3	0.7214824	0.47174606	-0.61284804	6.077047	1
32064	PSMC4	0.45593897	0.26074514	-0.8059635	5.9064636	1
32266	VASP	0.5062787	0.26308158	-0.9441582	7.4786906	1
32939	CPXM1	0.5457439	0.33352754	-0.71025014	5.197689	1
33774	COL9A3	0.9132365	0.5528329	-0.72404206	6.8820744	1
