	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
16	LINC01128	0.13464734	0.0	-10.396041	9.550705	1
24	NOC2L	0.26656827	0.0	-11.380831	17.877878	1
30	ISG15	0.244438	0.0	-11.255843	13.61192	1
32	AGRN	0.1933168	0.0	-10.917498	13.798505	1
52	PUSL1	0.1245159	0.0	-10.283273	10.138055	1
53	INTS11	0.18652849	0.0	-10.865953	13.47425	1
55	CPTP	0.10818829	0.0	-10.080662	7.9662976	1
57	DVL1	0.10063011	0.0	-9.976279	7.5930386	1
58	MXRA8	0.19994454	0.0	-10.966105	12.087326	1
68	VWA1	0.1240803	0.0	-10.27822	8.09553	1
71	ATAD3A	0.08504172	0.0	-9.733723	6.728749	1
75	FNDC10	0.11396936	0.0	-10.155696	9.068393	1
78	MIB2	0.16333415	0.0	-10.674494	11.399806	1
79	MMP23B	0.25087693	0.0	-11.293339	14.171702	1
82	SLC35E2B	0.12027601	0.0	-10.233333	7.7035775	1
97	FAAP20	0.7871866	0.0	-12.942674	44.55244	1
99	SKI	0.21743087	0.0	-11.087005	15.130402	1
105	PEX10	0.086117096	0.0	-9.75183	6.973242	1
136	TPRG1L	0.16159017	0.0	-10.659017	11.053532	1
137	WRAP73	0.08614887	0.0	-9.752362	6.614684	1
142	SMIM1	0.19758204	0.0	-10.948966	11.761128	1
143	LRRC47	0.15230817	0.0	-10.573725	9.944778	1
147	C1orf174	0.17370097	0.0	-10.763221	13.071977	1
180	ESPN	0.14302512	0.0	-10.483061	7.1972923	1
184	NOL9	0.08124101	0.0	-9.667839	6.8105426	1
189	THAP3	0.18432848	0.0	-10.8488455	13.234814	1
190	DNAJC11	0.1174638	0.0	-10.199228	8.290327	1
211	ERRFI1	0.19795543	0.0	-10.951689	11.475405	1
216	RERE	0.42667538	0.0	-12.059261	28.519861	1
227	H6PD	0.14014123	0.0	-10.453695	10.040383	1
232	SLC25A33	0.08071734	0.0	-9.658521	6.2501235	1
237	CLSTN1	0.3558189	0.0	-11.797333	23.016827	1
238	CTNNBIP1	0.23195662	0.0	-11.180262	17.976194	1
243	NMNAT1	0.096342325	0.0	-9.913523	7.2964435	1
246	UBE4B	0.12826145	0.0	-10.325996	8.89418	1
254	DFFA	0.29777247	0.0	-11.540479	21.01912	1
264	SRM	0.5328507	0.0	-12.3797865	32.235954	1
265	EXOSC10	0.17045549	0.0	-10.736026	11.827753	1
280	MAD2L2	0.2669182	0.0	-11.382723	19.229237	1
285	MTHFR	0.16745327	0.0	-10.710404	11.801588	1
290	KIAA2013	0.20189223	0.0	-10.980084	14.038711	1
291	PLOD1	1.4646463	0.0	-13.838364	44.55244	1
293	MFN2	0.10621692	0.0	-10.054155	7.9509516	1
297	TNFRSF1B	0.0705173	0.0	-9.463878	5.681497	1
298	VPS13D	0.103306666	0.0	-10.014113	8.248413	1
339	KAZN	0.09591965	0.0	-9.907186	7.3613353	1
344	TMEM51	0.07615681	0.0	-9.574722	5.6619534	1
362	PLEKHM2	0.21348782	0.0	-11.060614	16.965244	1
367	FBLIM1	0.19651164	0.0	-10.9411335	13.379821	1
369	AL450998.2	0.111582555	0.0	-10.125188	8.51112	1
370	SPEN	0.3263636	0.0	-11.672707	21.552683	1
374	HSPB7	0.21286754	0.0	-11.056418	12.37354	1
385	FBXO42	0.10580313	0.0	-10.04853	7.820643	1
386	SZRD1	0.29087746	0.0	-11.506692	19.880003	1
398	CROCC	0.07493931	0.0	-9.551503	5.805237	1
401	BX284668.5	0.10290204	0.0	-10.008457	7.9559402	1
406	ATP13A2	0.06474795	0.0	-9.340918	5.102653	1
407	SDHB	0.25222224	0.0	-11.301052	18.81188	1
431	UBR4	0.1543016	0.0	-10.592472	10.559092	1
433	EMC1	0.20011841	0.0	-10.967359	15.074122	1
437	SLC66A1	0.0782784	0.0	-9.614312	5.520269	1
441	NBL1	0.13383053	0.0	-10.387269	8.436981	1
468	PINK1	0.18159105	0.0	-10.827271	12.264343	1
475	EIF4G3	0.4342591	0.0	-12.084673	27.914494	1
477	ECE1	0.8581937	0.0	-13.067256	44.55244	1
487	HSPG2	0.23846567	0.0	-11.220171	17.01621	1
491	LINC00339	0.065672755	0.0	-9.361346	5.278749	1
507	KDM1A	0.5615954	0.0	-12.455572	35.440624	1
526	ELOA	0.23276281	0.0	-11.185265	17.403345	1
529	GALE	0.14219813	0.0	-10.474701	11.24551	1
531	FUCA1	0.19330078	0.0	-10.917377	12.06879	1
535	SRSF10	0.58752006	0.0	-12.520668	40.118492	1
545	NIPAL3	0.06649857	0.0	-9.379348	5.480268	1
547	RCAN3	0.16982624	0.0	-10.730693	12.453933	1
550	SRRM1	1.2185789	0.0	-13.57303	44.55244	1
552	CLIC4	0.6747564	0.0	-12.720365	40.084076	1
567	MACO1	0.28968117	0.0	-11.500748	19.237244	1
570	MAN1C1	0.12881415	0.0	-10.332195	8.634319	1
572	SELENON	0.2054302	0.0	-11.005135	14.869864	1
579	STMN1	1.2038832	0.0	-13.555528	44.55244	1
585	PDIK1L	0.08177353	0.0	-9.677254	6.255174	1
599	DHDDS	0.2338211	0.0	-11.191807	16.176378	1
604	ARID1A	0.41949633	0.0	-12.034786	28.185198	1
605	PIGV	0.087989524	0.0	-9.782826	6.2504683	1
614	TRNP1	0.07087865	0.0	-9.471241	5.523914	1
628	AHDC1	0.21617074	0.0	-11.078623	15.10125	1
631	IFI6	0.3621069	0.0	-11.822598	19.980782	1
635	STX12	0.22054146	0.0	-11.107489	15.359725	1
639	PPP1R8	0.1157935	0.0	-10.178584	9.357449	1
641	RPA2	0.18912856	0.0	-10.885914	12.582142	1
644	XKR8	0.10497758	0.0	-10.037239	7.840604	1
645	EYA3	0.06405702	0.0	-9.325463	5.920603	1
651	SESN2	0.17385106	0.0	-10.764465	10.375566	1
655	SNHG3	0.13313466	0.0	-10.379754	9.959076	1
656	TRNAU1AP	0.2018774	0.0	-10.979979	13.467596	1
662	GMEB1	0.13965257	0.0	-10.448659	10.526816	1
666	EPB41	0.09867048	0.0	-9.947936	7.103635	1
670	MECR	0.105888836	0.0	-10.049697	8.027542	1
693	FABP3	0.1290369	0.0	-10.334685	8.34053	1
694	SERINC2	0.11383719	0.0	-10.154023	8.446704	1
702	COL16A1	0.09631884	0.0	-9.913172	7.9955916	1
716	TXLNA	0.35665208	0.0	-11.800706	22.200415	1
721	TMEM234	0.085542485	0.0	-9.742183	6.9562	1
729	FAM229A	0.10919571	0.0	-10.094021	8.487381	1
732	ZBTB8A	0.27577457	0.0	-11.429797	18.021322	1
733	ZBTB8OS	0.26407546	0.0	-11.367281	18.853931	1
735	SYNC	0.18866141	0.0	-10.882348	12.069939	1
738	YARS	0.45810667	0.0	-12.161783	24.920033	1
739	S100PBP	0.13825901	0.0	-10.434201	10.022977	1
746	AK2	0.41789123	0.0	-12.029257	28.224173	1
750	ZNF362	0.1276241	0.0	-10.318815	8.802653	1
771	ZMYM6	0.08677019	0.0	-9.762717	6.240565	1
772	ZMYM1	0.14790331	0.0	-10.531414	9.997644	1
775	ZMYM4	0.28719968	0.0	-11.48834	20.141916	1
777	KIAA0319L	0.25882372	0.0	-11.338311	17.203016	1
782	C1orf216	0.07540762	0.0	-9.560478	5.835895	1
785	AGO4	0.108891286	0.0	-10.089997	7.291358	1
786	AGO1	0.1333974	0.0	-10.382596	10.320137	1
789	AGO3	0.42964455	0.0	-12.069263	28.231716	1
797	SH3D21	0.17042628	0.0	-10.735779	9.442052	1
800	STK40	0.19858469	0.0	-10.956265	14.336556	1
801	LSM10	0.40647316	0.0	-11.989299	28.460894	1
824	YRDC	0.1477482	0.0	-10.5299015	10.839119	1
828	INPP5B	0.060952637	0.0	-9.25391	5.5267153	1
829	SF3A3	0.29193106	0.0	-11.511906	20.117908	1
831	UTP11	0.3822172	0.0	-11.900555	23.502054	1
854	HEYL	0.08202306	0.0	-9.6816435	5.984595	1
858	PPIE	0.26878908	0.0	-11.392796	19.320185	1
865	TRIT1	0.072133824	0.0	-9.496531	5.5660887	1
871	RLF	0.4687431	0.0	-12.194889	31.711817	1
875	COL9A2	0.19697182	0.0	-10.944506	10.840515	1
876	SMAP2	0.27414465	0.0	-11.4212475	17.990738	1
891	NFYC	0.18411022	0.0	-10.847137	13.4288	1
917	PPIH	0.20243333	0.0	-10.983944	16.014471	1
922	P3H1	0.77723646	0.0	-12.924323	42.55244	1
923	C1orf50	0.25158417	0.0	-11.297399	19.206867	1
930	SLC2A1	0.71357876	0.0	-12.801059	31.507338	1
944	MED8	0.39998242	0.0	-11.966082	27.770256	1
946	SZT2	0.08473695	0.0	-9.728549	6.5397215	1
950	PTPRF	0.23722863	0.0	-11.21267	15.4576435	1
