	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
16	LINC01128	0.08626744	0.0	-9.754344	12.397491	1
23	SAMD11	0.05228856	0.0	-9.033108	6.5129743	1
24	NOC2L	0.22423218	0.0	-11.131421	29.844276	1
30	ISG15	0.30419022	0.0	-11.571232	38.56591	1
32	AGRN	0.1664083	0.0	-10.701379	23.450903	1
52	PUSL1	0.14414541	0.0	-10.494309	21.091316	1
53	INTS11	0.20635423	0.0	-11.011606	28.348083	1
55	CPTP	0.09476967	0.0	-9.889803	14.338224	1
57	DVL1	0.071867116	0.0	-9.491194	10.97416	1
58	MXRA8	0.11767607	0.0	-10.201831	15.202364	1
61	MRPL20-AS1	0.04994231	0.0	-8.967005	7.2724066	1
68	VWA1	0.13073277	0.0	-10.353508	17.433012	1
70	ATAD3B	0.05506876	0.0	-9.107708	8.408511	1
71	ATAD3A	0.15316679	0.0	-10.581829	21.01354	1
72	TMEM240	0.07582328	0.0	-9.568398	9.803835	1
75	FNDC10	0.12386282	0.0	-10.275692	16.97711	1
78	MIB2	0.09111105	0.0	-9.833065	12.742014	1
79	MMP23B	0.36655113	0.0	-11.840192	40.878864	1
82	SLC35E2B	0.09838352	0.0	-9.943739	13.053626	1
84	SLC35E2A	0.038019218	0.0	-8.574375	5.740491	1
97	FAAP20	0.82580954	0.0	-13.011768	44.55244	1
99	SKI	0.23965499	0.0	-11.227345	33.33673	1
105	PEX10	0.07681688	0.0	-9.587156	11.995983	1
136	TPRG1L	0.15408011	0.0	-10.590401	21.360338	1
137	WRAP73	0.0881432	0.0	-9.785341	12.094646	1
142	SMIM1	0.071556635	0.0	-9.484957	9.370993	1
143	LRRC47	0.11393823	0.0	-10.155302	16.12635	1
147	C1orf174	0.16315657	0.0	-10.672925	23.21393	1
176	GPR153	0.063318335	0.0	-9.308756	8.997135	1
177	ACOT7	0.13303311	0.0	-10.378654	18.60174	1
182	TNFRSF25	0.036869075	0.0	-8.530175	6.11585	1
183	PLEKHG5	0.0323534	0.0	-8.342226	5.1557727	1
184	NOL9	0.14567205	0.0	-10.509499	19.505466	1
186	ZBTB48	0.05326056	0.0	-9.05963	7.346202	1
189	THAP3	0.118027076	0.0	-10.206124	16.770725	1
190	DNAJC11	0.1020883	0.0	-9.997014	14.034974	1
211	ERRFI1	0.33470848	0.0	-11.709121	35.98513	1
216	RERE	0.5369117	0.0	-12.390738	44.55244	1
227	H6PD	0.111276686	0.0	-10.121232	15.845783	1
232	SLC25A33	0.06828043	0.0	-9.417439	9.76149	1
237	CLSTN1	0.38920194	0.0	-11.926674	44.55244	1
238	CTNNBIP1	0.2792741	0.0	-11.447983	40.372627	1
243	NMNAT1	0.08037285	0.0	-9.652358	11.711329	1
246	UBE4B	0.15523832	0.0	-10.601198	21.5646	1
252	CENPS	0.07845734	0.0	-9.617602	11.85064	1
254	DFFA	0.28713503	0.0	-11.488016	39.14246	1
256	PEX14	0.047285028	0.0	-8.888288	7.3559656	1
264	SRM	0.7686598	0.0	-12.908318	44.55244	1
265	EXOSC10	0.19141181	0.0	-10.903217	25.469137	1
271	UBIAD1	0.08192638	0.0	-9.679944	11.862199	1
278	FBXO44	0.036899235	0.0	-8.531352	5.707582	1
280	MAD2L2	0.18961412	0.0	-10.889611	25.728998	1
285	MTHFR	0.14492053	0.0	-10.502042	20.045273	1
290	KIAA2013	0.22705147	0.0	-11.149439	30.261084	1
291	PLOD1	1.1456516	0.0	-13.484007	44.55244	1
293	MFN2	0.09429329	0.0	-9.882541	12.562539	1
294	MIIP	0.07365309	0.0	-9.52656	11.161265	1
297	TNFRSF1B	0.053945363	0.0	-9.078027	7.7217507	1
298	VPS13D	0.11800296	0.0	-10.20583	16.587423	1
339	KAZN	0.09476852	0.0	-9.889786	12.8446455	1
344	TMEM51	0.0851149	0.0	-9.7349615	11.832904	1
350	EFHD2	0.06013711	0.0	-9.2345085	9.465159	1
362	PLEKHM2	0.26706734	0.0	-11.383528	35.563877	1
367	FBLIM1	0.47791174	0.0	-12.222831	44.55244	1
368	UQCRHL	0.050860867	0.0	-8.993246	6.1429844	1
369	AL450998.2	0.05378986	0.0	-9.07387	8.143387	1
370	SPEN	0.37223697	0.0	-11.862393	44.55244	1
371	ZBTB17	0.04646086	0.0	-8.862974	7.743069	1
374	HSPB7	0.076354586	0.0	-9.57846	10.684547	1
385	FBXO42	0.10098349	0.0	-9.981332	14.792485	1
386	SZRD1	0.32124278	0.0	-11.649898	43.511047	1
393	NBPF1	0.06440131	0.0	-9.333185	8.152801	1
398	CROCC	0.09213306	0.0	-9.84914	13.5829735	1
401	BX284668.5	0.048033353	0.0	-8.910893	7.337335	1
406	ATP13A2	0.12581219	0.0	-10.2982025	17.985765	1
407	SDHB	0.26875454	0.0	-11.392611	35.33393	1
417	ARHGEF10L	0.03273295	0.0	-8.359	5.371875	1
429	IFFO2	0.10878639	0.0	-10.088608	15.718879	1
431	UBR4	0.22158909	0.0	-11.114322	29.29159	1
433	EMC1	0.19376472	0.0	-10.920835	28.261198	1
437	SLC66A1	0.06853641	0.0	-9.422831	9.635171	1
441	NBL1	0.1369082	0.0	-10.420047	18.718666	1
446	OTUD3	0.08021468	0.0	-9.64952	11.242671	1
465	MUL1	0.09264111	0.0	-9.857065	12.559589	1
468	PINK1	0.18052214	0.0	-10.818759	25.331703	1
475	EIF4G3	0.569576	0.0	-12.475926	44.55244	1
477	ECE1	1.1869982	0.0	-13.5351515	44.55244	1
481	NBPF3	0.035430655	0.0	-8.47292	5.8828936	1
487	HSPG2	0.37959063	0.0	-11.890609	40.584938	1
503	EPHB2	0.060473055	0.0	-9.242533	8.645201	1
507	KDM1A	0.52573615	0.0	-12.360397	44.55244	1
514	ZNF436	0.037064157	0.0	-8.537768	5.220763	1
518	ASAP3	0.039532196	0.0	-8.630529	5.8444533	1
526	ELOA	0.32476807	0.0	-11.665638	42.29476	1
529	GALE	0.11002844	0.0	-10.104971	15.576013	1
531	FUCA1	0.089754194	0.0	-9.811442	11.705267	1
535	SRSF10	0.6540997	0.0	-12.675515	44.55244	1
545	NIPAL3	0.04885933	0.0	-8.93544	7.814073	1
547	RCAN3	0.072017305	0.0	-9.494202	10.8393345	1
550	SRRM1	0.91676325	0.0	-13.162491	44.55244	1
552	CLIC4	0.6148369	0.0	-12.586223	44.55244	1
567	MACO1	0.3024834	0.0	-11.563117	39.353195	1
568	LDLRAP1	0.051450297	0.0	-9.009837	7.412289	1
572	SELENON	0.19792262	0.0	-10.951449	27.830662	1
579	STMN1	1.5037489	0.0	-13.876372	44.55244	1
586	FAM110D	0.035943564	0.0	-8.493598	5.665856	1
599	DHDDS	0.17616193	0.0	-10.783505	24.178358	1
604	ARID1A	0.4779988	0.0	-12.223093	44.55244	1
605	PIGV	0.034911696	0.0	-8.451694	5.1965394	1
606	ZDHHC18	0.038435668	0.0	-8.590051	5.688392	1
610	GPATCH3	0.033208575	0.0	-8.37975	5.760422	1
614	TRNP1	0.05670134	0.0	-9.149781	8.232204	1
621	MAP3K6	0.048302688	0.0	-8.918943	7.73596	1
628	AHDC1	0.1765135	0.0	-10.78638	22.951033	1
631	IFI6	0.2060091	0.0	-11.009192	25.152948	1
635	STX12	0.26331308	0.0	-11.3631115	34.762943	1
639	PPP1R8	0.1500521	0.0	-10.552209	20.537714	1
641	RPA2	0.10836132	0.0	-10.082965	14.216403	1
644	XKR8	0.09054172	0.0	-9.824032	12.9963875	1
645	EYA3	0.07014775	0.0	-9.456308	9.9533415	1
651	SESN2	0.101798445	0.0	-9.992916	13.187062	1
654	RCC1	0.05156032	0.0	-9.012913	8.063768	1
655	SNHG3	0.17079277	0.0	-10.738875	23.148863	1
656	TRNAU1AP	0.18855247	0.0	-10.8815155	26.271358	1
659	RAB42	0.0384961	0.0	-8.592311	5.517288	1
662	GMEB1	0.17887501	0.0	-10.805543	23.53087	1
666	EPB41	0.08904623	0.0	-9.80003	11.786571	1
667	TMEM200B	0.05039923	0.0	-8.980118	7.3664227	1
670	MECR	0.10375542	0.0	-10.020361	14.739927	1
672	PTPRU	0.034664102	0.0	-8.441455	5.0154552	1
693	FABP3	0.08124741	0.0	-9.667953	10.757464	1
694	SERINC2	0.111531734	0.0	-10.124532	13.714233	1
702	COL16A1	0.06270869	0.0	-9.294821	8.185285	1
716	TXLNA	0.3441255	0.0	-11.749138	44.55244	1
721	TMEM234	0.089904524	0.0	-9.813853	13.32398	1
729	FAM229A	0.091492325	0.0	-9.839083	12.563153	1
732	ZBTB8A	0.3458117	0.0	-11.756188	42.08262	1
733	ZBTB8OS	0.25051868	0.0	-11.291278	36.095486	1
735	SYNC	0.16878437	0.0	-10.72182	22.977863	1
738	YARS	0.3558397	0.0	-11.797417	44.075317	1
739	S100PBP	0.12979811	0.0	-10.343164	16.623371	1
746	AK2	0.26403388	0.0	-11.367054	35.215096	1
750	ZNF362	0.11721937	0.0	-10.196225	17.225382	1
771	ZMYM6	0.07034041	0.0	-9.460259	9.576194	1
772	ZMYM1	0.14264745	0.0	-10.479249	20.158003	1
775	ZMYM4	0.3611398	0.0	-11.818741	44.55244	1
777	KIAA0319L	0.2715457	0.0	-11.407511	34.092045	1
778	NCDN	0.064527154	0.0	-9.335997	9.256604	1
782	C1orf216	0.08149234	0.0	-9.67229	10.421483	1
783	CLSPN	0.13352652	0.0	-10.38399	14.100841	1
785	AGO4	0.11092045	0.0	-10.11661	15.296248	1
786	AGO1	0.17525284	0.0	-10.776045	23.214262	1
789	AGO3	0.4089441	0.0	-11.998041	44.55244	1
797	SH3D21	0.09412332	0.0	-9.87994	12.289885	1
800	STK40	0.20735353	0.0	-11.018573	27.92824	1
801	LSM10	0.47780153	0.0	-12.222498	44.55244	1
811	LINC01137	0.04326913	0.0	-8.760525	5.488574	1
820	CDCA8	0.07252771	0.0	-9.504376	7.1828628	1
824	YRDC	0.12618478	0.0	-10.302465	17.19947	1
826	MTF1	0.07360983	0.0	-9.525713	11.169083	1
828	INPP5B	0.056872092	0.0	-9.154112	8.328455	1
829	SF3A3	0.3477394	0.0	-11.764206	44.55244	1
831	UTP11	0.3863856	0.0	-11.916199	44.55244	1
854	HEYL	0.19676666	0.0	-10.943003	23.146732	1
858	PPIE	0.22141837	0.0	-11.113211	31.785738	1
865	TRIT1	0.06399783	0.0	-9.324132	9.112293	1
871	RLF	0.28796464	0.0	-11.492177	38.34712	1
876	SMAP2	0.29753634	0.0	-11.539335	40.113644	1
878	ZFP69B	0.044433493	0.0	-8.798747	6.3038073	1
882	EXO5	0.041610703	0.0	-8.704274	6.0091968	1
885	ZNF684	0.036185604	0.0	-8.503254	5.4470825	1
891	NFYC	0.15362056	0.0	-10.586094	21.530567	1
896	CTPS1	0.12237208	0.0	-10.258237	16.922598	1
905	HIVEP3	0.04968737	0.0	-8.959636	7.6442122	1
917	PPIH	0.17322318	0.0	-10.759249	23.411516	1
922	P3H1	0.7484619	0.0	-12.869906	44.55244	1
923	C1orf50	0.23086655	0.0	-11.173469	32.0283	1
927	ERMAP	0.040243667	0.0	-8.6561985	5.4433656	1
930	SLC2A1	0.3022298	0.0	-11.561908	34.34851	1
942	CDC20	0.107665025	0.0	-10.073673	8.838301	1
944	MED8	0.46185184	0.0	-12.173527	44.55244	1
946	SZT2	0.065721594	0.0	-9.362417	9.901713	1
950	PTPRF	0.25528955	0.0	-11.318483	34.956047	1
952	KDM4A-AS1	0.04240584	0.0	-8.731518	6.5654736	1
961	B4GALT2	0.22212884	0.0	-11.11783	30.165527	1
967	DMAP1	0.11377922	0.0	-10.153289	16.762623	1
968	ERI3	0.31456378	0.0	-11.619596	43.47326	1
970	RNF220	0.128774	0.0	-10.331745	17.563545	1
971	TMEM53	0.06333896	0.0	-9.309225	8.79021	1
973	KIF2C	0.07150415	0.0	-9.483899	8.127836	1
977	PLK3	0.12525448	0.0	-10.291798	17.25895	1
982	HECTD3	0.06402708	0.0	-9.32479	8.31973	1
983	UROD	0.2880185	0.0	-11.492447	38.675026	1
988	TOE1	0.0475906	0.0	-8.897561	7.1625853	1
998	IPP	0.1088082	0.0	-10.088897	16.257198	1
1000	MAST2	0.05483757	0.0	-9.101649	8.536914	1
1001	PIK3R3	0.11066959	0.0	-10.113346	15.629031	1
1009	LRRC41	0.26952866	0.0	-11.396758	38.50889	1
1011	NSUN4	0.093746334	0.0	-9.874157	12.922252	1
1018	MKNK1	0.0768195	0.0	-9.587206	11.785223	1
1023	EFCAB14	0.28425103	0.0	-11.473457	39.988876	1
1034	STIL	0.03706532	0.0	-8.537813	5.7578936	1
1035	CMPK1	0.48207405	0.0	-12.235338	44.55244	1
1049	SPATA6	0.15794103	0.0	-10.626083	20.970768	1
1052	BEND5	0.07647324	0.0	-9.580697	9.156555	1
1064	FAF1	0.12475607	0.0	-10.28605	16.683302	1
1069	RNF11	0.21868755	0.0	-11.095315	30.043037	1
1073	EPS15	0.20687968	0.0	-11.015273	27.722916	1
1082	KTI12	0.05039732	0.0	-8.980063	8.186948	1
1086	ZFYVE9	0.12836832	0.0	-10.327197	18.37856	1
1087	CC2D1B	0.038805876	0.0	-8.603845	6.2350187	1
1091	PRPF38A	0.25366038	0.0	-11.309251	32.307617	1
1094	GPX7	0.47616503	0.0	-12.217549	44.55244	1
1097	ZYG11B	0.28809458	0.0	-11.492827	38.963802	1
1101	SCP2	0.42854562	0.0	-12.06557	44.55244	1
1106	CPT2	0.08902813	0.0	-9.799737	13.047297	1
1108	CZIB	0.34708953	0.0	-11.761508	44.55244	1
1110	MAGOH	0.29760227	0.0	-11.539655	39.916733	1
