	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1580	NTNG1	-7.275958e-12	0.0	1.7198263e-07	0.52993184	0
5688	SCG2	0.41186625	0.0	-12.00831	0.4272434	0
6740	ROBO2	-7.275958e-12	0.0	1.7198263e-07	0.52993184	0
6854	ALCAM	-7.275958e-12	0.50979495	12.315985	0.58516186	0
7947	CYTL1	-7.275958e-12	0.84743553	13.049058	0.9900343	0
8386	ADGRL3	-7.275958e-12	0.0	1.7198263e-07	0.52993184	0
8999	HHIP-AS1	-7.275958e-12	0.0	1.7198263e-07	0.52993184	0
9738	PTGER4	-7.275958e-12	0.0	1.7198263e-07	0.52993184	0
14112	LRRN3	-7.275958e-12	0.0	1.7198263e-07	0.52993184	0
16872	PTCH1	-7.275958e-12	0.0	1.7198263e-07	0.52993184	0
17935	CXCL12	-7.275958e-12	0.16414905	10.681669	0.44865057	0
20626	NCAM1	0.38369533	0.055243477	-2.7938519	0.35382318	0
20801	CLMP	-7.275958e-12	0.0	1.7198263e-07	0.52993184	0
21960	GLI1	-7.275958e-12	0.0	1.7198263e-07	0.52993184	0
27802	CNTNAP4	-7.275958e-12	0.0	1.7198263e-07	0.52993184	0
30699	CDH7	-7.275958e-12	0.0	1.7198263e-07	0.52993184	0
30742	CBLN2	-7.275958e-12	0.0	1.7198263e-07	0.52993184	0
31588	PDE4C	0.45711836	0.0	-12.158668	0.69344556	0
