	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
1	FAM138A	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
2	OR4F5	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
3	AL627309.1	-7.275958e-12	0.0018106302	4.2559767	1.319837	0
4	AL627309.3	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
5	AL627309.2	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
6	AL627309.5	-7.275958e-12	0.02269349	7.832478	10.103295	1
7	AL627309.4	-7.275958e-12	0.0013356832	3.8436656	1.03337	0
8	AP006222.2	-7.275958e-12	0.00056147494	2.7256866	0.49837315	0
9	AL732372.1	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
10	OR4F29	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
11	AC114498.1	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
12	OR4F16	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
13	AL669831.2	-7.275958e-12	0.0018973135	4.319989	1.3155899	0
14	LINC01409	-7.275958e-12	0.044561714	8.802895	19.077248	1
15	FAM87B	-7.275958e-12	0.00023123363	1.7278494	0.4983761	0
16	LINC01128	-7.275958e-12	0.08233245	9.687069	33.69487	1
17	LINC00115	-7.275958e-12	0.008236676	6.3814006	4.2534976	0
18	FAM41C	-7.275958e-12	0.0018215909	4.2642293	0.9908485	0
19	AL645608.6	-7.275958e-12	0.0022837971	4.5751896	1.2520441	0
20	AL645608.2	-7.275958e-12	0.018991418	7.576781	8.312522	1
21	AL645608.4	-7.275958e-12	0.0008474866	3.2441056	0.77172524	0
22	LINC02593	-7.275958e-12	0.05265547	9.043177	20.906284	1
23	SAMD11	-7.275958e-12	0.44344953	12.11488	44.55244	1
24	NOC2L	0.8198463	0.22496538	-1.8651853	0.73199075	0
25	KLHL17	-7.275958e-12	0.021264521	7.7390733	8.866299	1
26	PLEKHN1	-7.275958e-12	0.0020672656	4.437804	1.3159225	0
27	PERM1	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
28	AL645608.7	0.1530401	0.011624732	-3.7072253	0.389561	0
29	HES4	1.235262	0.6801488	-0.8607995	0.6648924	0
30	ISG15	0.23871483	0.22589014	-0.0796326	0.017837053	0
31	AL645608.1	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
32	AGRN	0.1530401	0.16028072	0.066648625	0.015662795	0
33	AL645608.5	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
34	AL645608.8	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
35	RNF223	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
36	C1orf159	-7.275958e-12	0.024432344	7.9385414	10.476958	1
37	AL390719.3	-7.275958e-12	0.0006032616	2.8140616	0.4983747	0
38	LINC01342	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
39	AL390719.2	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
40	TTLL10-AS1	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
41	TTLL10	-7.275958e-12	1.4406396e-09	2.080975e-05	44.55244	0
42	TNFRSF18	-7.275958e-12	0.002233747	4.5445766	1.3339	0
43	TNFRSF4	-7.275958e-12	0.0031666276	5.0297303	1.7884669	0
44	SDF4	0.15987408	0.40405807	1.3370813	0.6953362	0
45	B3GALT6	0.3052126	0.1521262	-1.0040704	0.33818164	0
46	C1QTNF12	-7.275958e-12	0.038133733	8.578702	15.278156	1
47	AL162741.1	-7.275958e-12	0.0015568746	4.0503926	1.0619512	0
48	UBE2J2	0.15217246	0.28814325	0.9206317	0.37391162	0
49	LINC01786	-7.275958e-12	0.0013930203	3.900162	0.79197186	0
50	SCNN1D	-7.275958e-12	0.0015552079	4.0489407	1.0184702	0
51	ACAP3	0.15217246	0.10082823	-0.59332526	0.123225816	0
52	PUSL1	0.31291422	0.08568515	-1.8674283	0.52058625	0
53	INTS11	-7.275958e-12	0.17872831	10.804359	44.55244	1
54	AL139287.1	-7.275958e-12	0.0005562955	2.7143457	0.49837133	0
55	CPTP	-7.275958e-12	0.06785874	9.408515	26.71301	1
56	TAS1R3	-7.275958e-12	0.00056172453	2.7262309	0.49837303	0
57	DVL1	-7.275958e-12	0.060973316	9.254398	25.244295	1
58	MXRA8	0.31204656	0.2822356	-0.14481252	0.053640455	0
59	AURKAIP1	0.62801456	0.733208	0.22339149	0.09418611	0
