	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1580	NTNG1	0.0	0.11159897	10.125401	40.84958	1
5688	SCG2	0.0	0.23811992	11.218079	44.55244	1
6740	ROBO2	0.0	0.2904139	11.504392	44.55244	1
6854	ALCAM	0.50979495	0.11506442	-2.146505	0.42860302	0
7947	CYTL1	0.84743553	0.18962121	-2.1593928	0.7317525	0
8386	ADGRL3	0.0	0.13521162	10.40207	44.55244	1
8999	HHIP-AS1	0.0	0.031005496	8.281026	11.857525	1
9738	PTGER4	0.0	0.093484	9.870118	35.77079	1
14112	LRRN3	0.0	0.08219013	9.684576	29.859932	1
16872	PTCH1	0.0	0.08565645	9.744102	31.882935	1
17935	CXCL12	0.16414905	0.63727486	1.9562571	1.5551233	0
20626	NCAM1	0.055243477	0.1944215	1.8134444	1.3426559	0
20801	CLMP	0.0	0.16428825	10.682892	44.55244	1
21960	GLI1	0.0	0.02590825	8.022825	11.133028	1
27802	CNTNAP4	0.0	0.036714	8.524111	13.915253	1
30699	CDH7	0.0	0.48578045	12.246386	44.55244	1
30742	CBLN2	0.0	0.17920531	10.808203	44.55244	1
31588	PDE4C	0.0	0.077145346	9.593305	31.608986	1
