	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	0.0	1.1496013e-09	1.651024e-05	44.55244	0
1	FAM138A	0.0	1.1496013e-09	1.651024e-05	44.55244	0
2	OR4F5	0.0	1.1496013e-09	1.651024e-05	44.55244	0
3	AL627309.1	0.0	0.0011645274	3.6605263	0.49820817	0
4	AL627309.3	0.0	1.1496013e-09	1.651024e-05	44.55244	0
5	AL627309.2	0.0	1.1496013e-09	1.651024e-05	44.55244	0
6	AL627309.5	0.0	0.023652036	7.891907	5.4745107	1
7	AL627309.4	0.0	0.0037302002	5.259348	0.7289604	0
8	AP006222.2	0.0	1.1496013e-09	1.651024e-05	44.55244	0
9	AL732372.1	0.0	1.1496013e-09	1.651024e-05	44.55244	0
10	OR4F29	0.0	1.1496013e-09	1.651024e-05	44.55244	0
11	AC114498.1	0.0	1.1496013e-09	1.651024e-05	44.55244	0
12	OR4F16	0.0	1.1496013e-09	1.651024e-05	44.55244	0
13	AL669831.2	0.0	0.0028980717	4.905963	0.79134417	0
14	LINC01409	0.0	0.0453786	8.829044	8.267098	1
15	FAM87B	0.0	1.1496013e-09	1.651024e-05	44.55244	0
16	LINC01128	0.16414905	0.06271049	-1.3868077	0.25203887	0
17	LINC00115	0.0	0.012166136	6.938537	2.965255	0
18	FAM41C	0.0	0.001343447	3.8514462	0.49821103	0
19	AL645608.6	0.0	1.1496013e-09	1.651024e-05	44.55244	0
20	AL645608.2	0.0	0.016065683	7.3367906	3.6103551	0
21	AL645608.4	0.0	0.0021514455	4.4927797	0.79617107	0
22	LINC02593	0.0	0.041485548	8.699939	8.858893	1
23	SAMD11	0.0	0.2862725	11.483677	44.55244	1
24	NOC2L	0.5526546	0.1832913	-1.591714	0.51592445	0
25	KLHL17	0.0	0.027217604	8.093687	5.76728	1
26	PLEKHN1	0.0	0.0012326743	3.7362523	0.49820173	0
27	PERM1	0.0	1.1496013e-09	1.651024e-05	44.55244	0
28	AL645608.7	0.0	0.005403038	5.7821565	1.5464208	0
29	HES4	0.30510592	0.7666629	1.3289976	1.2097557	0
30	ISG15	0.055243477	0.18196127	1.7179388	1.2028365	0
31	AL645608.1	0.0	1.1496013e-09	1.651024e-05	44.55244	0
