	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
23	SAMD11	0.21982221	0.045817982	-2.2598622	44.55244	1
29	HES4	0.2376281	0.85484785	1.846524	44.55244	1
32	AGRN	0.09539471	0.1834975	0.9430537	14.022081	1
44	SDF4	0.27602124	0.44475472	0.68803245	22.201342	1
45	B3GALT6	0.09819162	0.17660218	0.8461796	11.48452	1
46	C1QTNF12	0.027379751	0.0065674223	-2.043168	5.942848	1
53	INTS11	0.1131056	0.1654843	0.5486205	5.375658	1
59	AURKAIP1	0.4627058	0.85390615	0.8838396	44.55244	1
71	ATAD3A	0.035282046	0.07449449	1.0760516	7.318069	1
79	MMP23B	0.14795244	0.008938378	-4.0339007	44.55244	1
85	NADK	0.052964643	0.114952505	1.1164696	11.909496	1
86	GNB1	0.4925892	0.84503204	0.778499	44.55244	1
104	RER1	0.29306716	0.53990555	0.88125086	41.12479	1
111	AL139246.5	0.0011145874	0.012684452	3.395852	5.38929	1
113	TNFRSF14	0.0029566127	0.022535233	2.8885643	8.143689	1
134	MEGF6	0.031237094	0.0035923647	-3.0852544	9.485878	1
136	TPRG1L	0.0501097	0.09517185	0.9240839	7.3973517	1
142	SMIM1	0.09040333	0.041371938	-1.1258355	8.33363	1
173	ICMT	0.05845789	0.108778134	0.89477885	8.08253	1
194	CAMTA1	0.3892984	0.6071355	0.6410092	28.313147	1
202	VAMP3	0.13917233	0.28325844	1.0247194	25.354563	1
208	PARK7	1.0166131	1.4784684	0.54028827	44.55244	1
238	CTNNBIP1	0.14917485	0.21348979	0.5168715	6.2825074	1
245	RBP7	0.0021809353	0.120618396	5.7258763	44.55244	1
246	UBE4B	0.08901063	0.13568796	0.6076861	5.281737	1
250	PGD	0.27321932	0.4777204	0.80588114	31.14851	1
264	SRM	0.28401378	0.48337963	0.7669863	28.915232	1
291	PLOD1	0.2984761	0.20489343	-0.54252094	9.023061	1
350	EFHD2	0.036760155	0.26851642	2.8654132	44.55244	1
362	PLEKHM2	0.14304052	0.22292984	0.6398046	9.392841	1
367	FBLIM1	0.16119063	0.52465904	1.7019925	44.55244	1
386	SZRD1	0.20713004	0.31820467	0.6191751	12.641922	1
388	NECAP2	0.17531054	0.34223562	0.96467596	28.829098	1
403	MFAP2	1.0307115	0.56324077	-0.8717007	44.55244	1
406	ATP13A2	0.034719247	0.09453985	1.4425628	14.162707	1
407	SDHB	0.12679395	0.24196446	0.931768	18.654509	1
429	IFFO2	0.047226284	0.083638	0.8232408	5.4567723	1
431	UBR4	0.10347192	0.1642258	0.66592604	7.3970356	1
436	AKR7A2	0.256511	0.4683133	0.86819905	34.429375	1
438	CAPZB	0.44321612	0.7892144	0.8322643	44.55244	1
439	MICOS10	0.65621585	1.2219267	0.89681363	44.55244	1
441	NBL1	0.034227714	0.100114115	1.54564	16.642992	1
449	PLA2G5	-1.542503e-09	0.009065314	6.5181346	5.6325126	1
464	CAMK2N1	0.37526068	0.26313895	-0.51190454	9.459114	1
467	CDA	0.15507007	0.07786602	-0.99293286	11.868873	1
477	ECE1	0.02861382	0.36495283	3.668288	44.55244	1
482	ALPL	-1.542503e-09	0.0087817805	6.4727993	5.480463	1
503	EPHB2	0.045293685	0.0010533521	-5.298587	16.629356	1
509	LUZP1	0.31036025	0.4962469	0.67694026	24.19885	1
518	ASAP3	0.057101987	0.027266067	-1.0636772	5.0531673	1
521	ID3	1.2558506	2.4789863	0.98102874	44.55244	1
