	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1580	NTNG1	0.017415704	0.050733037	1.5371176	5.0163193	1
5688	SCG2	0.0040697753	0.027172405	2.7094004	3.8795426	0
6740	ROBO2	0.040099014	0.107253775	1.4171408	9.388337	1
6854	ALCAM	0.015635988	0.051744066	1.7201111	5.7815685	1
7947	CYTL1	0.0749514	0.09929761	0.40533212	1.4185654	0
8386	ADGRL3	0.019025577	0.04805316	1.3321272	4.103097	0
8999	HHIP-AS1	0.0027611475	0.008393786	1.5698137	1.2918545	0
9738	PTGER4	0.010434083	0.023472792	1.162058	2.0175266	0
14112	LRRN3	0.04148956	0.074786685	0.8484878	3.1751623	0
16872	PTCH1	0.021976799	0.03233666	0.55509436	0.97498053	0
17935	CXCL12	0.2300273	0.38097376	0.727638	11.130338	1
20626	NCAM1	0.020085417	0.14510886	2.8467443	24.229376	1
20801	CLMP	0.002785834	0.06495623	4.494627	13.93615	1
21960	GLI1	0.0010575386	0.004300266	1.9265306	0.9145875	0
27802	CNTNAP4	0.0006743604	0.0043804576	2.532569	1.1173282	0
30699	CDH7	0.19099642	0.23915969	0.32427657	2.0523412	0
30742	CBLN2	0.05508964	0.100200355	0.8618573	4.093152	0
31588	PDE4C	0.0056702886	0.009477629	0.7310251	0.62431675	0
