	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
832	POU3F1	0.1474885	0.06745937	-1.1273526	8.167867	1
841	AL139260.1	0.021721682	0.0033479577	-2.6619482	5.426875	1
930	SLC2A1	0.1840342	0.091863066	-1.0016311	9.706225	1
1580	NTNG1	0.11159897	0.044502504	-1.3244193	9.031981	1
2072	S100A16	0.12426373	0.060307704	-1.0417614	7.032265	1
2899	G0S2	0.21274246	0.46809873	1.137335	18.816193	1
3276	GREM2	0.033525795	0.0051437197	-2.680906	6.86783	1
4557	AFF3	0.19174083	0.092181094	-1.0558028	10.834791	1
5020	GALNT13	0.032522537	0.006569213	-2.2902806	6.6825333	1
5105	SCN9A	0.17400457	0.06541959	-1.4099557	13.57436	1
5284	ZNF804A	0.0944586	0.044400323	-1.0873928	5.7968855	1
5688	SCG2	0.23811992	0.037827194	-2.6509895	32.899353	1
6360	TMEM158	0.04876476	0.12862217	1.3973942	7.652955	1
6740	ROBO2	0.2904139	0.12429052	-1.2237306	19.694696	1
6854	ALCAM	0.11506442	0.0507361	-1.1797698	7.144411	1
6954	GAP43	0.07596376	0.024192931	-1.6466726	8.206581	1
7947	CYTL1	0.18962121	0.078449644	-1.2722043	13.696276	1
8386	ADGRL3	0.13521162	0.05595916	-1.2712636	9.945716	1
8462	ALB	0.11612752	0.03125763	-1.8900632	16.391779	1
8488	PARM1	0.109640695	0.03346981	-1.7088622	13.102992	1
8999	HHIP-AS1	0.031005496	0.003975702	-2.932049	7.3428497	1
9000	HHIP	0.01778613	0.0007299624	-4.4296513	6.559149	1
9114	TDO2	0.09467685	0.20102471	1.0854837	8.193001	1
9147	FSTL5	0.23416305	0.09004535	-1.3778045	16.703632	1
9211	GALNTL6	0.043034736	0.012348777	-1.7928462	5.620427	1
9657	NPR3	0.040121086	0.0076149255	-2.382228	7.2695	1
9738	PTGER4	0.093484	0.043067053	-1.1163312	6.000918	1
10629	PCDHA12	0.10523654	0.05222164	-1.0095263	5.997088	1
10936	AC109466.1	0.04851253	0.01528057	-1.6602193	5.4993415	1
12508	PLN	0.10368664	0.22681478	1.1285298	10.067523	1
13502	MYL7	0.345116	0.16214697	-1.0893077	20.977892	1
14112	LRRN3	0.08219013	0.03530148	-1.2169098	5.7670484	1
14300	PLXNA4	0.1964024	0.0956827	-1.0367098	9.811025	1
15271	CEBPD	0.056802947	0.11451327	1.0101987	5.1189036	1
15485	KCNB2	0.04315092	0.0046996325	-3.171735	10.908846	1
15512	GDAP1	0.0723952	0.03133899	-1.2053305	5.3097863	1
15587	RALYL	0.09142867	0.02267613	-2.006701	13.850589	1
15968	MYC	0.054142017	0.1363115	1.3304826	8.890094	1
16872	PTCH1	0.08565645	0.027742343	-1.6229645	9.645538	1
17631	GATA3-AS1	0.034708794	0.009309487	-1.8872638	5.383248	1
17647	CELF2	0.24363941	0.106522374	-1.1928294	15.448724	1
17935	CXCL12	0.63727486	0.28608605	-1.1551889	37.625576	1
18396	ANKRD1	0.038803935	0.0020497665	-4.1776643	13.013228	1
19398	LUZP2	0.14647943	0.06181608	-1.2432966	9.677458	1
20626	NCAM1	0.1944215	0.081263	-1.2574849	13.500024	1
20801	CLMP	0.16428825	0.070640266	-1.2165036	10.524618	1
21960	GLI1	0.02590825	0.0052733915	-2.2750645	5.671389	1
22502	MYL2	0.02205893	1.1496013e-09	-7.791728	9.380638	1
22505	CUX2	0.020866523	0.0023094167	-3.1213317	5.600274	1
23159	LACC1	0.05358494	0.11804414	1.1379586	6.5723743	1
23960	MYH7	0.06091846	0.015617315	-1.9568911	8.728761	1
24762	SERPINA1	0.07969976	0.03369107	-1.2397424	6.333899	1
25343	LPCAT4	0.019222165	0.06727922	1.802047	6.8125143	1
27058	SBK1	0.078559205	0.03293526	-1.2516088	6.1254053	1
27309	NETO2	0.15587597	0.07351756	-1.0832019	7.8904257	1
27802	CNTNAP4	0.036714	0.0065101306	-2.4775038	7.212851	1
28325	FGF11	0.08690651	0.041275218	-1.0723563	5.3844395	1
28693	ALDOC	0.09266528	0.044980794	-1.0410719	5.522771	1
29895	SOCS3	0.034440584	0.08854697	1.3597788	5.729074	1
30699	CDH7	0.48578045	0.2296424	-1.0805842	24.920155	1
30742	CBLN2	0.17920531	0.05286506	-1.7593055	19.728092	1
31588	PDE4C	0.077145346	0.03041504	-1.3399276	6.8025274	1
32045	ZFP36	0.089935884	0.31177196	1.7923818	27.975899	1
33073	FLRT3	0.20091273	0.09071996	-1.1462055	11.7409315	1
33390	NNAT	0.35941356	0.15578376	-1.2055755	22.442654	1
33530	MMP9	0.38416755	0.91819656	1.256849	21.17677	1
34137	RUNX1	0.07917901	0.16798308	1.0841637	8.18675	1
35908	DACH2	0.021497088	0.0032183344	-2.7023056	5.69892	1
35928	SRPX2	0.020719342	0.06217	1.5806128	5.37616	1
