	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
1	FAM138A	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
2	OR4F5	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
3	AL627309.1	0.0018106302	0.0011645274	-0.59545034	0.17871928	0
4	AL627309.3	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
5	AL627309.2	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
6	AL627309.5	0.02269349	0.023652036	0.059429295	0.05753077	0
7	AL627309.4	0.0013356832	0.0037302002	1.4156824	0.38264933	0
8	AP006222.2	0.00056147494	1.1496013e-09	-2.7256699	0.49837178	0
9	AL732372.1	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
10	OR4F29	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
11	AC114498.1	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
12	OR4F16	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
13	AL669831.2	0.0018973135	0.0028980717	0.5859741	0.1798124	0
14	LINC01409	0.044561714	0.0453786	0.026149223	0.032189213	0
15	FAM87B	0.00023123363	1.1496013e-09	-1.7278326	0.4983728	0
16	LINC01128	0.08233245	0.06271049	-0.3922069	1.1542196	0
17	LINC00115	0.008236676	0.012166136	0.5571366	0.45131683	0
18	FAM41C	0.0018215909	0.001343447	-0.4127831	0.105615675	0
19	AL645608.6	0.0022837971	1.1496013e-09	-4.575173	1.2520431	0
20	AL645608.2	0.018991418	0.016065683	-0.23998985	0.2289589	0
21	AL645608.4	0.0008474866	0.0021514455	1.2486742	0.36727428	0
22	LINC02593	0.05265547	0.041485548	-0.34323844	0.6995491	0
23	SAMD11	0.44344953	0.2862725	-0.6312022	10.631723	0
24	NOC2L	0.22496538	0.1832913	-0.29541895	1.7578001	0
25	KLHL17	0.021264521	0.027217604	0.35461393	0.4310187	0
26	PLEKHN1	0.0020672656	0.0012326743	-0.7015517	0.21768226	0
27	PERM1	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
28	AL645608.7	0.011624732	0.005403038	-1.0912547	1.1268214	0
29	HES4	0.6801488	0.7666629	0.17271805	2.1599152	0
30	ISG15	0.22589014	0.18196127	-0.31183583	1.9229577	0
31	AL645608.1	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
32	AGRN	0.16028072	0.15024294	-0.09324361	0.2861377	0
33	AL645608.5	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
34	AL645608.8	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
35	RNF223	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
36	C1orf159	0.024432344	0.022814149	-0.098446414	0.10282299	0
37	AL390719.3	0.0006032616	1.1496013e-09	-2.8140447	0.49837333	0
38	LINC01342	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
39	AL390719.2	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
40	TTLL10-AS1	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
41	TTLL10	1.4406396e-09	1.1496013e-09	-4.213581e-06	9.36753	0
42	TNFRSF18	0.002233747	0.010199074	2.1417944	1.3928478	0
43	TNFRSF4	0.0031666276	0.0046984106	0.55475456	0.21325368	0
44	SDF4	0.40405807	0.4166461	0.04424902	0.23052092	0
45	B3GALT6	0.1521262	0.1349033	-0.17322199	0.61181426	0
46	C1QTNF12	0.038133733	0.03438182	-0.14901002	0.19315217	0
47	AL162741.1	0.0015568746	0.001029839	-0.5523472	0.1541771	0
48	UBE2J2	0.28814325	0.26771125	-0.10607027	0.5186901	0
49	LINC01786	0.0013930203	0.00095574703	-0.4999695	0.12421433	0
50	SCNN1D	0.0015552079	0.004316287	1.4158216	0.61310565	0
51	ACAP3	0.10082823	0.12240094	0.27946308	0.95222974	0
52	PUSL1	0.08568515	0.08538118	-0.0051210904	0.0090274615	0
53	INTS11	0.17872831	0.16356562	-0.12782386	0.46477422	0
